N	2gram	Voloshinov	Poddanst
1	не только	18	17
2	и в	32	14
3	и не	42	12
4	в области	3	11
5	в этом	27	10
6	в отношении	7	10
7	н а	1	10
8	в том	13	9
9	то же	19	9
10	в качестве	4	9
11	но в	13	9
12	хотя бы	8	8
13	в пределах	7	8
14	только в	14	7
15	же время	7	7
16	в то	7	7
17	в ней	5	6
18	xix века	4	6
19	было бы	8	6
20	но и	17	6
21	в смысле	11	6
22	и пр	31	5
23	может быть	50	5
24	отношении к	8	5
25	с другой	6	5
26	не в	13	5
27	в русской	3	4
28	и к	3	4
29	что в	5	4
30	в котором	6	4
31	по себе	5	4
32	и если	2	4
33	и потому	7	4
34	мы должны	4	4
35	на пути	1	4
36	не может	40	4
37	в гораздо	1	4
38	а в	5	4
39	то что	12	4
40	как бы	31	4
41	если бы	12	4
42	в своем	3	4
43	же в	1	4
44	том что	12	4
45	в себе	5	3
46	исторического материализма	1	3
47	что мы	1	3
48	с одной	2	3
49	мы не	6	3
50	это не	5	3
51	одной стороны	2	3
52	для того	8	3
53	между тем	8	3
54	с точки	31	3
55	хотя и	1	3
56	с тем	1	3
57	потому что	2	3
58	она есть	1	3
59	прежде всего	19	3
60	сводится к	5	3
61	тем самым	1	3
62	сами по	1	3
63	в россии	1	3
64	но не	2	3
65	могут быть	4	3
66	и как	8	3
67	с ними	5	3
68	столь же	2	3
69	в нем	17	3
70	и без	1	3
71	тот же	4	3
72	точки зрения	48	3
73	с этим	6	2
74	во всех	13	2
75	является в	5	2
76	и это	6	2
77	и других	3	2
78	осуществляется в	1	2
79	было в	1	2
80	которую мы	1	2
81	и вот	2	2
82	в значительной	3	2
83	том числе	3	2
84	не будем	4	2
85	еще более	1	2
86	по сравнению	1	2
87	хх века	1	2
88	в ее	9	2
89	и тем	4	2
90	того что	5	2
91	как раз	5	2
92	в недрах	1	2
93	в частности	2	2
94	в его	10	2
95	в глубинах	1	2
96	не о	1	2
97	в хозяйстве	1	2
98	а не	15	2
99	все это	4	2
100	в которую	1	2
101	говорить о	2	2
102	в тот	2	2
103	для них	2	2
104	материализма и	1	2
105	и есть	3	2
106	стороны и	2	2
107	в русском	1	2
108	в виде	1	2
109	творчества и	1	2
110	надстройка над	1	2
111	не было	6	2
112	к чему	1	2
113	и с	4	2
114	из важнейших	4	2
115	в начале	7	2
116	как на	2	2
117	слова но	3	2
118	в общем	1	2
119	мысль о	1	2
120	которое в	1	2
121	главным образом	2	2
122	особый и	1	2
123	потому в	1	2
124	она ни	1	2
125	именно в	6	2
126	должно быть	4	2
127	в жизни	2	2
128	отношения к	2	2
129	друг другу	2	2
130	во всей	2	2
131	в силу	1	2
132	одна из	6	2
133	между прочим	1	2
134	например в	2	2
135	не менее	5	2
136	не столько	5	2
137	отнюдь не	14	2
138	со стороны	2	2
139	да и	1	2
140	исключительно в	1	2
141	из них	3	2
142	но к	2	2
143	тем более	3	2
144	есть в	1	2
145	переход от	4	2
146	не к	3	2
147	бы ни	1	2
148	в статье	1	2
149	и везде	1	1
150	что было	2	1
151	этих двух	1	1
152	и мир	2	1
153	были бы	2	1
154	представить себе	1	1
155	нет ничего	4	1
156	ли они	1	1
157	как к	2	1
158	от нее	2	1
159	во всяком	8	1
160	могли бы	2	1
161	быть разрешена	2	1
162	ни к	3	1
163	разрешения в	1	1
164	не есть	6	1
165	наша задача	1	1
166	собственном смысле	2	1
167	у каждого	1	1
168	находятся в	2	1
169	и то	4	1
170	но как	3	1
171	бы и	2	1
172	момент когда	1	1
173	мы можем	6	1
174	на этой	6	1
175	мы видим	2	1
176	а с	1	1
177	в данном	8	1
178	с его	6	1
179	к формам	2	1
180	что оно	3	1
181	стремиться к	1	1
182	темы и	4	1
183	и более	6	1
184	можно говорить	1	1
185	те же	5	1
186	вместе с	2	1
187	и здесь	9	1
188	определенных и	1	1
189	по природе	1	1
190	поскольку вообще	1	1
191	хозяйстве и	1	1
192	основная задача	2	1
193	выражена в	1	1
194	пр в	4	1
195	до тех	2	1
196	взятые в	1	1
197	относятся следовательно	1	1
198	с большою	1	1
199	и на	8	1
200	отличие от	7	1
201	в самом	14	1
202	вопрос о	6	1
203	и очень	1	1
204	о духе	1	1
205	не означает	1	1
206	значение если	1	1
207	они не	2	1
208	среды в	1	1
209	в исторической	1	1
210	них в	1	1
211	социального бытия	1	1
212	только что	2	1
213	мысль и	2	1
214	в философии	2	1
215	они являются	3	1
216	также что	1	1
217	получили в	1	1
218	с двух	1	1
