N	3gram	Voloshinov	Myslijsy
1	в том что	4	47
2	по отношению к	11	26
3	не может быть	7	19
4	тем не менее	3	18
5	по крайней мере	1	17
6	сам по себе	1	14
7	в свою очередь	1	14
8	а между тем	1	13
9	то же время	1	13
10	в то же	1	13
11	более или менее	1	12
12	с другой стороны	2	12
13	и в этом	1	12
14	до сих пор	3	12
15	во всяком случае	1	12
16	сами по себе	1	11
17	подобно тому как	1	11
18	в то время	1	10
19	но тем не	2	10
20	с одной стороны	2	10
21	то что я	1	10
22	но и в	1	9
23	о том что	1	9
24	на самом деле	2	8
25	в этом смысле	1	7
26	и то же	2	7
27	сама по себе	1	7
28	с точки зрения	2	7
29	как и в	1	7
30	можно сказать что	5	7
31	одно и то	2	7
32	может быть только	1	6
33	то же самое	2	6
34	то что мы	1	6
35	с самого начала	1	6
36	между тем как	1	5
37	и таким образом	1	5
38	по себе не	1	5
39	и проч и	1	5
40	если бы не	1	5
41	и тот же	1	4
42	в том же	1	4
43	все более и	1	4
44	в данном случае	2	4
45	зависит от того	2	4
46	в том и	1	4
47	и тем же	1	4
48	один и тот	1	4
49	что не только	1	4
50	более и более	1	4
51	в противном случае	1	4
52	одним и тем	1	4
53	дело в том	4	4
54	в этом отношении	1	4
55	то время как	1	4
56	одной стороны и	2	3
57	до известной степени	2	3
58	ничего общего с	1	3
59	с этой стороны	2	3
60	так относится к	1	3
61	бы то ни	3	3
62	таким образом мы	1	3
63	равно как и	1	3
64	это не так	2	3
65	не есть только	1	3
66	что не может	2	3
67	не может стать	1	3
68	со всех сторон	1	3
69	можно было бы	1	3
70	бы они ни	1	3
71	этой точки зрения	3	3
72	мы увидим что	1	3
73	нам кажется что	1	3
74	даже тогда когда	1	2
75	и тогда когда	1	2
76	к нему как	1	2
77	бы не было	1	2
78	на этом основании	1	2
79	связь слова с	1	2
80	могут быть только	1	2
81	и по отношению	3	2
82	в поэтическом произведении	1	2
83	только в нем	1	2
84	имеет дело с	1	2
85	но все же	1	2
86	только то что	1	2
87	то ни было	3	2
88	так как в	1	2
89	и не может	3	2
90	мы имеем дело	1	2
91	и потому не	1	2
92	друг к другу	1	2
93	если бы слово	1	2
94	для нас не	1	2
95	как на нечто	1	2
96	и не в	3	2
97	и та же	1	2
98	так же как	1	2
99	они ни были	1	2
100	и независимо от	1	2
101	одна и та	1	2
102	и в истории	1	2
103	как на самом	1	2
104	в каком отношении	2	1
105	не нуждаются в	1	1
106	в самом деле	1	1
107	в некоторых языках	2	1
108	можно подумать что	1	1
109	же время не	1	1
110	том что все	1	1
111	как одно из	1	1
112	не может находиться	1	1
113	одной точки зрения	1	1
114	мы таким образом	1	1
115	если бы эта	1	1
116	влияние на все	1	1
117	не может получить	1	1
118	то что оно	1	1
119	но в них	1	1
120	далеко не всегда	1	1
121	не совпадает с	1	1
122	мы уже сказали	1	1
123	и грамматических форм	1	1
124	как мы уже	1	1
125	форма поэтического произведения	1	1
126	точек зрения и	1	1
127	внутренней и внешней	1	1
128	формы и содержания	2	1
129	и степень его	1	1
130	связи с ним	1	1
131	при этом оно	1	1
132	мы можем сказать	2	1
133	она не может	1	1
134	это как бы	3	1
135	чтобы убедиться в	1	1
136	и поэтическое произведение	1	1
137	в чем не	1	1
138	влияние на другие	1	1
139	кажется что мы	1	1
140	к тому же	1	1
141	ко второму лицу	1	1
142	как если бы	4	1
143	мы видели в	1	1
144	и др и	1	1
145	непосредственно сливается с	1	1
146	но все это	1	1
147	к вопросу о	1	1
148	все же не	1	1
149	в нем находит	1	1
150	слово есть выражение	1	1
151	слова и его	1	1
152	можно найти в	1	1
153	если бы даже	1	1
154	в художественном произведении	3	1
155	сих пор не	1	1
156	словах и в	1	1
157	того о ком	1	1
158	и для него	1	1
159	каком отношении находится	1	1
160	его значение и	1	1
161	во всех языках	1	1
162	содержании слова и	1	1
163	не имеют общего	1	1
164	и притом со	1	1
165	только там где	1	1
166	в такой степени	1	1
167	вместе со словом	2	1
168	в настоящее время	2	1
169	но если бы	1	1
170	находящееся в душе	1	1
171	с такою же	1	1
172	как в жизни	1	1
173	художественного произведения и	2	1
174	бы оно ни	1	1
175	что мы имеем	1	1
176	и здесь мы	1	1
177	отношению к ним	1	1
178	на второй план	1	1
179	бы даже и	1	1
180	самом деле в	1	1
181	то что называется	1	1
182	не зная этого	1	1
183	убедиться в этом	1	1
184	в словах и	1	1
185	в нашем же	1	1
186	же как и	1	1
187	тогда когда он	1	1
188	может находиться в	1	1
189	случае мы имеем	1	1
190	сказать что и	1	1
191	имеет в виду	3	1
192	искусства может быть	1	1
193	же нам не	1	1
194	и в поэзии	1	1
195	как уже сказано	1	1
196	и притом с	1	1
197	к содержанию как	1	1
198	в истории литературы	1	1
199	имеем дело с	1	1
200	если же он	1	1
201	может быть и	3	1
