N	3gram	Kanaev_Sov	formyVre
1	то же время	1	21
2	в то же	1	18
3	в связи с	1	15
4	с точки зрения	5	15
5	друг с другом	2	13
6	и в то	1	10
7	до сих пор	1	10
8	и прежде всего	1	8
9	не может быть	4	7
10	в отличие от	2	7
11	и в этом	1	6
12	с одной стороны	1	6
13	в том что	1	5
14	одной стороны и	1	5
15	той или иной	1	5
16	времени и пространства	2	5
17	по отношению к	1	4
18	и во всех	1	4
19	прежде всего необходимо	1	4
20	друг на друга	1	4
21	но все же	1	4
22	равно как и	1	4
23	в этом случае	1	4
24	во всяком случае	2	4
25	может быть и	2	4
26	но все эти	1	3
27	может быть только	1	3
28	сами по себе	1	3
29	все же в	1	3
30	в зависимости от	4	3
31	то же самое	2	3
32	так же как	1	3
33	с самого начала	3	3
34	всего необходимо отметить	1	3
35	тот или иной	1	3
36	в дальнейшем мы	1	2
37	с другом мы	1	2
38	совершенно так же	1	2
39	они не могут	1	2
40	важную роль в	1	2
41	все более и	1	2
42	как мы видим	1	2
43	быть и речи	1	2
44	в данном случае	1	2
45	самому своему существу	1	2
46	так как он	2	2
47	это значит что	1	2
48	в свою очередь	2	2
49	на другой день	1	2
50	не было бы	1	2
51	и та же	1	2
52	со всеми его	1	2
53	ни в один	1	2
54	на этой стадии	1	2
55	со всеми ее	1	2
56	более и более	1	2
57	под углом зрения	1	2
58	и до сих	1	2
59	дело в том	1	2
60	и ничего не	1	2
61	и во всей	1	2
62	по самому своему	1	2
63	одна и та	1	2
64	играть в нем	1	1
65	как и во	1	1
66	в целом может	1	1
67	это как бы	1	1
68	можно говорить об	1	1
69	в себе в	1	1
70	в этом смысле	1	1
71	мы говорим о	1	1
72	до наших дней	1	1
73	лишь там где	1	1
74	в самом деле	1	1
75	тем не менее	2	1
76	когда мы говорим	1	1
77	но они не	1	1
78	дело идет о	1	1
79	может иметь место	1	1
80	по аналогии с	1	1
81	как мы это	1	1
82	и все же	1	1
83	мы уже знаем	1	1
84	совершенно независимо от	1	1
85	между собой поэтому	1	1
86	не может не	3	1
87	в конечном счете	1	1
88	каждая из этих	1	1
89	мы должны еще	1	1
90	и не может	1	1
91	и у нас	1	1
92	зрения может быть	1	1
93	своему существу не	1	1
94	очень важную роль	1	1
95	точки зрения для	1	1
96	и может быть	1	1
97	таким образом все	1	1
98	как и вся	1	1
99	его таким образом	1	1
100	и к другому	1	1
101	тот факт что	1	1
102	и той же	1	1
103	мы можем назвать	2	1
104	из многих его	1	1
105	на ее месте	1	1
106	природы и от	1	1
107	между собой но	1	1
108	если бы эти	1	1
109	на самом деле	1	1
110	конечно вовсе не	1	1
111	вполне достаточно для	1	1
112	но отнюдь не	1	1
113	именно в том	1	1
114	в дословном переводе	1	1
115	не могут быть	1	1
116	в новое время	1	1
117	мы в дальнейшем	1	1
118	мы можем поставить	1	1
119	о жизни и	1	1
120	одной и той	1	1
121	теперь мы должны	1	1
122	ровно ничего не	1	1
