N	2gram	Losev_Dial	Formalny
1	и в	35	95
2	т е	49	94
3	и не	51	78
4	может быть	30	66
5	в этом	18	61
6	не может	16	57
7	и пр	7	53
8	вовсе не	19	53
9	таким образом	5	52
10	и его	6	51
11	так и	18	50
12	точки зрения	25	47
13	в нем	25	42
14	в его	4	42
15	прежде всего	14	41
16	с точки	18	40
17	как и	10	39
18	и т	31	37
19	в самом	6	35
20	не в	12	35
21	а не	24	34
22	но и	17	33
23	то же	21	32
24	самом деле	6	32
25	не только	26	30
26	в том	20	26
27	отнюдь не	13	26
28	если бы	12	26
29	то что	25	25
30	при этом	2	24
31	в своей	9	24
32	на почве	2	24
33	на самом	5	24
34	было бы	14	23
35	связи с	3	23
36	в ней	4	23
37	в то	10	22
38	и ее	1	22
39	и с	10	21
40	что в	19	21
41	в истории	1	21
42	как бы	19	21
43	между ними	1	20
44	с тем	2	20
45	не менее	5	20
46	как мы	5	20
47	и от	5	20
48	же время	9	20
49	место в	1	20
50	в их	5	20
51	по себе	39	19
52	хотя бы	6	19
53	т д	28	19
54	не могут	4	19
55	все это	14	19
56	все же	9	18
57	в связи	3	18
58	т п	3	18
59	должна быть	5	18
60	только в	7	18
61	и все	11	18
62	все эти	4	18
63	и их	5	18
64	именно как	2	17
65	как раз	7	17
66	как в	3	17
67	во всяком	5	16
68	с другой	10	16
69	так же	6	16
70	всяком случае	3	16
71	в искусстве	2	16
72	совершенно не	13	16
73	потому что	23	16
74	именно в	4	15
75	все время	4	15
76	должно быть	7	15
77	с другими	2	15
78	его в	3	15
79	бы в	3	15
80	во всех	3	15
81	так как	24	15
82	но в	8	15
83	в поэзии	8	15
84	в литературе	1	15
85	в жизни	3	14
86	только на	3	14
87	в своем	7	14
88	в ее	3	14
89	в этой	3	14
90	что он	16	14
91	вместе с	3	14
92	еще не	4	14
93	если мы	3	14
94	и потому	6	14
95	жизни и	9	14
96	в целом	1	14
97	в результате	2	13
98	тем что	2	13
99	что и	7	13
100	ни в	20	13
101	как его	1	13
102	могут быть	6	13
103	независимо от	2	13
104	как таковой	6	13
105	для них	1	13
106	со стороны	2	13
107	что же	5	13
108	того что	6	13
109	она не	10	13
110	а в	8	13
111	там где	1	12
112	уже не	3	12
113	к тому	6	12
114	как это	8	12
115	и здесь	1	12
116	оно не	2	12
117	того чтобы	1	12
118	и для	2	12
119	лишь как	3	12
120	в корне	2	11
121	в реальном	1	11
122	никогда не	18	11
123	что они	8	11
124	так сказать	1	11
125	между тем	3	11
126	зависимости от	2	11
127	они не	3	11
128	это и	6	11
129	для него	2	11
130	этом отношении	2	11
131	в основе	4	11
132	в общем	2	11
133	но не	9	11
134	слова и	1	11
135	не как	4	10
136	другой стороны	7	10
137	в своих	1	10
138	в дальнейшем	6	10
139	раз и	2	10
140	конечно не	9	10
141	в зависимости	2	10
142	не было	7	10
143	не есть	67	10
144	действительности и	4	10
145	он не	5	10
146	если же	2	10
147	главным образом	2	10
148	как о	2	10
149	конструкции и	1	10
150	не является	3	10
151	и теперь	1	10
152	тем же	3	10
153	друг друга	1	10
154	и др	2	10
155	мы не	1	10
156	по существу	2	10
157	и как	14	10
158	не о	5	10
159	еще более	3	9
160	и даже	23	9
161	говорить о	9	9
162	для понимания	1	9
163	мы знаем	1	9
164	ни было	2	9
165	но ведь	2	9
166	в каждом	4	9
167	совсем не	1	9
168	литературы и	1	9
169	бы ни	3	9
170	отношения к	3	9
171	язык и	1	9
172	и до	2	9
173	здесь не	1	9
174	но это	12	9
175	ничего не	19	9
176	менее всего	1	9
177	быть и	7	9
178	и может	7	9
179	и к	8	8
180	в них	4	8
181	в данном	5	8
182	одной стороны	3	8
183	была бы	4	8
184	следует что	2	8
185	как такового	1	8
186	с одной	4	8
187	ясно что	11	8
188	же как	3	8
189	в сторону	1	8
190	в других	1	8
191	сих пор	4	8
192	поэтическое произведение	2	8
193	и является	2	8
194	из этого	2	8
195	всех этих	4	8
196	до сих	4	8
197	и должно	3	8
198	что это	21	8
199	с этим	5	8
200	не должна	2	8
201	это не	18	8
202	должен быть	2	8
203	для того	2	8
204	в области	2	8
205	для этого	2	8
206	в той	4	7
207	можно говорить	2	7
208	же и	11	7
209	более или	5	7
210	но все	5	7
211	мы увидим	2	7
212	даже и	3	7
213	сказать что	19	7
214	что именно	3	7
215	к этому	2	7
216	в сущности	2	7
217	из них	5	7
218	время в	1	7
219	говорит в	1	7
220	от этого	5	7
221	смысл и	6	7
222	в систему	1	7
223	в себе	23	7
224	столь же	1	7
225	в особенности	6	7
226	не на	1	7
227	творчества и	1	7
228	сами по	4	7
229	смысла и	3	7
230	жизни в	1	7
231	том что	18	7
232	что бы	1	7
233	чем же	1	7
234	известной степени	1	7
235	форм и	2	7
236	ничем не	4	7
237	он и	2	7
238	реальном времени	1	7
239	и более	7	7
240	в какой	3	7
241	и понимания	1	7
242	только и	5	7
243	или менее	5	7
244	в одной	4	7
245	того или	1	7
246	стороны и	4	7
247	в понимании	1	7
248	и только	5	7
249	и наконец	1	7
250	кроме того	2	6
251	в живом	1	6
252	в этих	6	6
253	как она	7	6
254	если он	1	6
255	например в	2	6
256	их в	2	6
257	при таком	1	6
258	отличается от	3	6
259	о том	8	6
260	действительности в	1	6
261	и отчасти	1	6
262	он был	1	6
263	жизнь и	5	6
264	только не	2	6
265	по преимуществу	1	6
266	от его	1	6
267	именно так	1	6
268	и других	1	6
269	в которой	3	6
270	но для	2	6
271	в конце	5	6
272	учение о	11	6
273	и это	6	6
274	в смысле	5	6
275	на этом	4	6
276	и тем	2	6
277	должны быть	2	6
278	за пределы	4	6
279	от нее	1	6
280	один из	3	6
281	они и	1	6
282	его с	6	6
283	с ним	9	6
284	сам по	8	6
285	к его	2	6
286	его и	1	6
287	из этих	2	6
288	именно на	1	6
289	нет и	2	6
290	той же	1	6
291	у них	3	6
292	данном случае	1	6
293	уже в	5	6
294	ее в	2	6
295	как таковая	2	6
296	по их	1	6
297	так в	1	6
298	нисколько не	7	6
299	его не	7	6
300	не по	2	6
