N	3gram	Trubetskoy	Myslijsy
1	в том что	16	47
2	по отношению к	11	26
3	не может быть	4	19
4	заключает в себе	2	19
5	тем не менее	4	18
6	только тогда когда	1	17
7	по крайней мере	1	17
8	в свою очередь	2	14
9	не в том	1	13
10	а между тем	8	13
11	то же время	2	13
12	в то же	2	13
13	более или менее	8	12
14	смысле этого слова	1	12
15	с другой стороны	4	12
16	до сих пор	15	12
17	только в том	1	12
18	во всяком случае	2	12
19	для того чтобы	7	11
20	а в том	1	11
21	в то время	2	10
22	с одной стороны	2	10
23	одного и того	3	9
24	и того же	3	9
25	на то что	7	9
26	о том что	4	9
27	до тех пор	1	9
28	вместе с тем	3	8
29	на самом деле	7	8
30	как бы ни	1	8
31	в этом случае	4	8
32	и то же	1	7
33	не только не	1	7
34	и в том	2	7
35	с точки зрения	8	7
36	как и в	2	7
37	не в состоянии	3	7
38	и той же	1	7
39	одно и то	1	7
40	одной и той	1	7
41	может быть не	1	6
42	друг от друга	6	6
43	то же самое	1	6
44	то что мы	1	6
45	и может быть	2	6
46	с самого начала	1	6
47	потому что как	1	5
48	в том случае	4	5
49	между тем как	1	5
50	с тем и	1	5
51	и таким образом	1	5
52	к тому что	1	5
53	не только по	1	5
54	в одно целое	1	5
55	таким образом в	3	5
56	и проч но	1	5
57	и то что	3	5
58	мы видели что	1	4
59	мы не знаем	1	4
60	в том же	3	4
61	все то что	1	4
62	с этой точки	1	4
63	но на деле	1	4
64	по его мнению	1	4
65	или лучше сказать	1	4
66	в данном случае	3	4
67	в том и	2	4
68	лишь тогда когда	2	4
69	дело в том	1	4
70	так что в	1	4
71	именно в том	1	4
72	не более как	2	4
73	что касается до	6	4
74	в общих чертах	1	4
75	в том виде	2	4
76	то время как	1	4
77	это было бы	1	4
78	точно так же	1	3
79	лишь в том	5	3
80	и в жизни	1	3
81	рано или поздно	2	3
82	говоря уже о	1	3
83	потому что для	1	3
84	том и другом	1	3
85	том виде в	1	3
86	то есть в	1	3
87	так или иначе	5	3
88	том что он	2	3
89	ничего общего с	2	3
90	а потому что	1	3
