N	4gram	Ircho_Kome	Myshleni
1	в то время как	3	20
2	одного и того же	1	17
3	состоит в том что	1	17
4	с этой точки зрения	1	16
5	один и тот же	3	12
6	в том числе и	2	10
7	с одной стороны и	2	10
8	в собственном смысле слова	1	9
9	но вместе с тем	1	9
10	в том что в	1	8
11	только в том что	1	8
12	к одному и тому	1	7
13	то же самое что	1	7
14	одному и тому же	1	7
15	по самой своей природе	1	6
16	в той мере в	1	5
17	той мере в какой	1	4
18	в этом случае в	1	4
19	с самого начала что	1	4
20	в тех случаях когда	1	4
21	в том виде как	1	4
22	по сравнению с тем	1	4
23	для того чтобы показать	1	4
24	несмотря на то что	1	4
25	вопрос о том как	1	3
26	мы имеем в виду	2	3
27	о чем идет речь	2	3
28	в том что она	1	3
29	бы то ни было	3	3
30	мы можем заключить что	1	2
31	в зависимости от того	1	2
32	сомневаться в том что	1	2
33	в то же время	11	2
34	вместе с тем мы	1	2
35	что он так же	1	2
36	начинается с того что	1	2
37	сомнения в том что	1	2
38	в конце концов к	1	2
39	с точки зрения самого	1	2
40	едва ли можно сомневаться	1	2
41	таким же образом как	1	2
42	только для того чтобы	2	2
43	с точки зрения того	1	2
44	она стремится не к	1	2
45	само собой разумеется что	3	2
46	иначе обстоит дело с	3	1
47	к тому что и	1	1
48	и в том что	1	1
49	не с точки зрения	1	1
50	потому что он не	1	1
51	но как раз в	1	1
52	и в силу этого	1	1
53	но подобно тому как	1	1
54	в этой области не	1	1
55	до сих пор в	1	1
56	другой стороны нет ничего	1	1
57	и в самом деле	7	1
58	одного из современных авторов	1	1
59	и там и здесь	3	1
60	о том что он	1	1
61	с другой стороны нет	1	1
62	трудно было бы ожидать	1	1
63	которые послужили основанием для	1	1
64	и тем самым создает	1	1
65	друг с другом и	1	1
66	этого было бы достаточно	1	1
67	о том в чем	1	1
68	по отношению ко всем	1	1
69	в один и тот	1	1
70	с самого начала не	1	1
71	все то же самое	1	1
72	друг на друга как	1	1
73	и в то же	2	1
74	и того же слова	1	1
75	быть с полным основанием	1	1
76	до тех пор пока	1	1
77	только после того как	1	1
78	в том что его	1	1
79	мы можем сказать что	1	1
80	ни в чем не	2	1
81	вдвое по сравнению с	1	1
82	основных линий в развитии	1	1
83	не говоря уже о	2	1
84	ни у кого не	1	1
85	для того чтобы дать	1	1
86	следует рассматривать не как	1	1
87	на вопрос почему в	1	1
88	состоит в том чтобы	1	1
89	который в свою очередь	1	1
90	дело таким образом что	1	1
91	как и всякий другой	1	1
92	от одного к другому	1	1
93	это в свою очередь	1	1
94	одних и тех же	1	1
95	с одной стороны он	1	1
96	иное по сравнению с	1	1
97	ничем не отличаются от	1	1
98	для того чтобы в	1	1
99	как в случае с	1	1
100	с точки зрения ее	1	1
