N	3gram	Bakhtin_sl	Problemy
1	то же время	15	26
2	в то же	15	26
3	с точки зрения	11	25
4	по отношению к	2	18
5	и т п	49	18
6	не может быть	11	14
7	на чужое слово	1	13
8	в большинстве случаев	11	12
9	но в то	6	11
10	в пределах одного	8	11
11	в романах достоевского	1	10
12	до сих пор	4	10
13	в отношении к	9	10
14	с другой стороны	5	9
15	с самого начала	1	9
16	во всяком случае	7	9
17	в том что	4	8
18	в его целом	1	8
19	и не может	2	8
20	друг с другом	2	8
21	сама по себе	2	7
22	и в то	6	7
23	на свой предмет	1	7
24	в одной плоскости	1	7
25	то перед нами	1	7
26	бы то ни	1	7
27	и т д	7	7
28	мы уже говорили	1	7
29	и в этом	2	7
30	себе самому и	1	6
31	между тем как	1	6
32	в отличие от	12	6
33	не входит в	1	6
34	с чужим словом	15	6
35	то ни было	1	6
36	к чужому слову	6	6
37	том что он	1	6
38	в той или	12	5
39	хотя бы и	5	5
40	в зависимости от	4	5
41	чужое слово и	1	5
42	той или иной	13	5
43	по крайней мере	1	5
44	а не как	2	5
45	но все же	1	5
46	и в нем	1	5
47	можно было бы	2	5
48	и не в	1	4
49	и наконец в	2	4
50	в одном слове	1	4
51	его отношение к	1	4
52	тем не менее	2	4
53	сами по себе	1	4
54	так и в	5	4
55	именно потому что	1	4
56	а между тем	2	4
57	по себе еще	1	4
58	более или менее	5	4
59	и прежде всего	1	4
60	как мы сказали	6	4
61	о том что	2	4
62	как и в	2	4
63	зрения на мир	6	4
64	в этом отношении	2	4
65	хотя и не	1	4
66	на протяжении всего	1	4
67	как и у	1	4
68	с ним и	1	4
69	а вовсе не	4	4
70	одной плоскости с	1	4
71	может быть и	2	4
72	для него самого	1	3
73	ивана карамазова и	1	3
74	все то что	1	3
75	это не значит	2	3
76	можно сказать что	1	3
77	к своему предмету	5	3
78	слово героя и	1	3
79	чужого слова с	1	3
80	и то же	2	3
81	как мы уже	4	3
82	и все это	1	3
83	точек зрения и	1	3
84	чужого слова и	3	3
85	в данном случае	3	3
86	не только не	2	3
87	выходит за пределы	3	3
88	в самом предмете	3	3
89	рядом с другими	1	3
90	в том и	2	3
91	даже там где	1	3
92	на то что	1	3
93	большей или меньшей	5	3
94	и его слово	14	3
95	никогда не бывает	1	3
96	прямое авторское слово	1	3
97	в чужих устах	1	3
