N	2gram	Potebnia_M	SlovoVZh
1	не может	18	16
2	может быть	46	14
3	точки зрения	4	14
4	как бы	10	13
5	и его	4	13
6	таким образом	24	12
7	и в	48	12
8	отношению к	10	11
9	по отношению	12	11
10	в нашем	1	11
11	и не	28	10
12	так как	20	9
13	если бы	20	9
14	прежде всего	6	8
15	для нас	40	7
16	сказать что	8	7
17	художественного произведения	6	7
18	в ней	11	6
19	слова и	8	6
20	в том	47	6
21	в процессе	2	6
22	только в	29	6
23	в нем	16	6
24	при этом	6	6
25	к содержанию	4	6
26	и др	1	5
27	можно сказать	4	5
28	что мы	16	5
29	хотя бы	3	5
30	должна быть	2	5
31	то же	35	5
32	поэтическое произведение	1	5
33	а не	22	5
34	в виду	1	5
35	то что	37	5
36	в жизни	1	5
37	как и	22	5
38	как в	17	5
39	том что	28	5
40	и следовательно	3	5
41	но в	8	5
42	никогда не	2	5
43	в самом	11	4
44	и к	5	4
45	и на	5	4
46	не только	32	4
47	ни было	2	4
48	на самом	4	4
49	за пределы	2	4
50	от того	10	4
51	его в	6	4
52	с другой	8	4
53	не в	24	4
54	дело в	1	4
55	отношение к	2	4
56	что не	12	4
57	так и	17	4
58	уже не	11	4
59	жизни и	3	4
60	в этом	19	4
61	все же	3	4
62	зависимости от	1	4
63	к нему	7	4
64	поэтического произведения	2	3
65	бы то	2	3
66	и с	4	3
67	до сих	4	3
68	и более	4	3
69	в котором	7	3
70	и по	5	3
71	в поэзии	4	3
72	мы не	17	3
73	то ни	1	3
74	или не	3	3
75	между тем	19	3
76	для него	14	3
77	отношении к	3	3
78	с ним	10	3
79	того что	24	3
80	быть и	1	3
81	когда он	1	3
82	тем не	7	3
83	имеет в	1	3
84	все это	4	3
85	он должен	2	3
86	ни в	2	3
87	в пределах	1	3
88	конечно не	2	3
89	по себе	26	3
90	так же	6	3
91	в них	9	3
92	в каком	8	3
93	самом деле	5	3
94	только на	4	3
95	но для	1	3
96	в себе	26	3
97	слово в	6	3
98	произведения и	1	3
99	ясно что	1	3
100	художественном произведении	3	3
101	все эти	1	3
102	о том	7	3
103	в своей	2	3
104	здесь не	1	3
105	не менее	9	3
106	в художественном	1	3
107	и проч	25	3
108	в такой	2	3
109	слово так	2	3
110	да и	2	3
111	но и	30	3
112	бы мы	2	3
113	точек зрения	1	3
114	художественное произведение	6	3
115	и ее	1	3
116	и наконец	3	3
117	сих пор	4	3
118	и вообще	4	3
119	формы и	2	3
120	не к	4	3
121	внутренней речи	1	3
122	еще не	9	3
123	что в	30	2
124	самое слово	4	2
125	к говорящему	1	2
126	нет ничего	2	2
127	перестает быть	5	2
128	слова так	2	2
129	но это	9	2
130	не так	1	2
131	и потому	9	2
132	слово взятое	1	2
133	и то	13	2
134	мы можем	13	2
135	влияние на	3	2
136	и самое	3	2
137	в данном	3	2
138	в душе	17	2
139	произведение и	1	2
140	в то	16	2
141	еще раз	2	2
142	находит в	2	2
143	которые мы	3	2
144	как форма	2	2
145	и содержания	1	2
146	слово это	2	2
147	и поэтическое	1	2
148	сливается с	2	2
149	к слову	3	2
150	данном случае	3	2
151	со всех	3	2
152	нас и	1	2
153	зависит от	7	2
154	с одной	8	2
155	уже в	10	2
156	там где	6	2
157	в его	6	2
158	с этой	2	2
159	она не	4	2
160	это не	2	2
161	одной стороны	4	2
162	относится к	6	2
163	с точки	3	2
164	была бы	5	2
165	искусства и	3	2
166	словом и	6	2
167	нашего сознания	1	2
168	на него	3	2
169	тем как	4	2
170	тогда когда	20	2
171	в себя	1	2
172	от всех	1	2
173	и слово	6	2
174	но тем	4	2
175	как это	1	2
176	те же	6	2
177	форму в	1	2
178	но все	2	2
179	мы в	3	2
180	если же	1	2
181	одно и	7	2
182	тесную связь	1	2
183	и та	5	2
184	из него	4	2
185	и что	13	2
186	что и	16	2
187	в форме	2	2
188	же самое	3	2
189	о ком	1	2
190	и значение	2	2
191	конечно в	1	2
