N	4gram	Tiupa_Disk	Analitik
1	в то же время	7	14
2	состоит в том что	2	7
3	покойного ивана петровича белкина	1	6
4	одного и того же	4	6
5	повести покойного ивана петровича	1	5
6	петровича белкина изданные а.п	1	5
7	в той или иной	1	5
8	ивана петровича белкина изданные	1	5
9	мы имеем дело с	1	5
10	и не может быть	1	4
11	с той или иной	2	4
12	в том что он	1	4
13	в том или ином	1	4
14	одни и те же	1	3
15	субъекта объекта и адресата	2	3
16	дело в том что	3	3
17	мы имеем дело не	2	3
18	притчи о блудном сыне	3	3
19	может быть сведено к	1	2
20	что же касается самого	1	2
21	мысль о том что	1	2
22	в поход почти отроками	1	2
23	том что случилось однажды	1	2
24	мертвый без гроба не	1	2
25	мира вокруг я героя	1	2
26	в тех случаях когда	1	2
27	нет и не может	1	2
28	не говоря уже о	2	2
29	в такой же мере	1	2
30	ивана петровича белкина в	2	2
31	в начале х годов	1	2
32	заключается в том что	1	2
33	исходя из того что	1	2
34	имеем дело не с	2	2
35	но в таком случае	1	2
36	суженого конем не объедешь	1	2
37	без гроба не живет	1	2
38	одно и то же	2	2
39	и того и другого	1	2
40	не последнюю роль в	1	2
41	то же время они	1	2
42	человеческого я в мире	1	2
43	неразвернутость характеристик и описаний	2	1
44	герой притчи владимир развивающий	1	1
45	же свойственны притче как	1	1
46	ушедшие в поход почти	1	1
47	принесите лучшую одежду и	1	1
48	слово сказания еще не	1	1
49	с малым временем индивидуального	1	1
50	младший офицерский чин приличный	1	1
51	планирует осуществить с машей	1	1
52	множества преданий о царских	1	1
53	существенно связаны с языком	1	1
54	тебя брат рука не	1	1
55	высказывания жанр в свою	1	1
56	в полном его составе	1	1
57	кощунство и непристойность необыкновенное	1	1
58	в новелле есть нарушение	1	1
59	всегда предносится целое нашего	1	1
60	обязан он был лучшей	1	1
61	не есть она сама	1	1
62	притча в паремию пословично-афористическую	1	1
63	анекдота выбор лексики например	1	1
64	разделение иерархично оно не	1	1
65	возвращались возмужав на бранном	1	1
66	скупость деталей отсутствие развернутых	1	1
