N	4gram	Voloshinov	Formalny
1	в то же время	7	20
2	и не может быть	1	7
3	и в то же	2	6
4	одни и те же	2	5
5	в связи с этим	2	5
6	нет и не может	1	4
7	вместе с тем и	2	3
8	не может быть понято	1	3
9	но в то же	2	3
10	одних и тех же	1	2
11	одним и тем же	1	2
12	иметь в виду что	1	2
13	в зависимости от того	2	2
14	то же время и	1	2
15	таким образом мы приходим	1	1
16	с нашей точки зрения	1	1
17	и в этом случае	1	1
18	так и от всех	1	1
19	не что иное как	2	1
20	иное значение лишь в	1	1
21	так и по отношению	1	1
22	на другого человека на	1	1
23	одно и то же	5	1
24	как и всякий идеологический	1	1
25	о котором мы говорили	1	1
26	точном смысле этого слова	2	1
27	к одной и той	1	1
28	в одних и тех	1	1
29	в той же мере	1	1
30	в гораздо большей степени	1	1
31	или иное значение лишь	1	1
32	в жизни и в	1	1
33	в свою очередь определяет	1	1
34	ведь может показаться что	1	1
35	может быть понято и	2	1
36	как по отношению к	1	1
37	одной и той же	4	1
38	минуту не должен забывать	1	1
39	в точном смысле этого	2	1
40	на минуту не должен	1	1
41	в собственном смысле слова	1	1
42	и в жизни и	1	1
43	отражается и преломляется в	1	1
44	в виду прежде всего	1	1
45	того что было в	1	1
46	бы совершенно иной но	1	1
47	и по отношению к	1	1
48	то же самое и	1	1
49	одного и того же	1	1
50	то или иное значение	1	1
51	и в наши дни	1	1
52	социального коллектива в котором	1	1
53	но вместе с тем	1	1
54	так а не иначе	1	1
55	ни на минуту не	1	1
56	здесь нет и не	1	1
57	теперь мы можем подвести	1	1
58	того социального коллектива в	1	1
59	образом мы приходим к	1	1
60	то или иное место	1	1
61	речи но все же	1	1
62	есть не что иное	2	1
