N	2gram	Berdyaev_V	TeoriaLi
1	в мире	5	26
2	не только	2	24
3	и в	16	24
4	то есть	1	22
5	может быть	1	22
6	в том	3	20
7	тогда как	1	18
8	я в	1	18
9	и не	20	17
10	а в	2	15
11	но и	5	14
12	а не	7	14
13	так и	4	14
14	но не	2	13
15	в этом	4	12
16	но в	3	12
17	в его	4	12
18	то же	1	12
19	том что	2	11
20	что в	3	10
21	как это	1	10
22	лишь в	3	10
23	только в	2	9
24	с другой	1	9
25	в искусстве	1	9
26	не в	3	9
27	в своей	3	8
28	как бы	5	8
29	в самом	1	7
30	в своем	1	7
31	отношение к	1	7
32	в нем	4	7
33	другой стороны	1	6
34	как и	4	6
35	еще не	8	6
36	то что	9	6
37	уже не	2	6
38	с его	3	6
39	в ее	1	6
40	ни в	3	5
41	в виду	1	5
42	как в	1	5
43	того чтобы	2	5
44	для того	1	5
45	для него	2	5
46	того что	5	5
47	в себя	2	5
48	между тем	2	5
49	и тем	1	5
50	могут быть	2	5
51	не случайно	1	5
52	по пути	5	4
53	и сам	2	4
54	в этих	3	4
55	что он	4	4
56	говорить о	4	4
57	к тому	3	4
58	этого слова	1	4
59	никогда не	3	4
60	это не	2	4
61	хотя и	5	4
62	в их	1	4
63	или даже	1	4
64	мира и	1	4
65	со своей	1	4
66	личности и	3	4
67	и что	3	4
68	в форме	2	4
69	в целом	1	4
70	и ее	1	4
71	для себя	1	3
72	с этой	1	3
73	о чем	1	3
74	все эти	3	3
75	в жизни	3	3
76	их в	3	3
77	роль в	1	3
78	в роли	1	3
79	в противоположность	1	3
80	потому что	4	3
81	в одном	1	3
82	вслед за	2	3
83	и внешней	1	3
84	и для	3	3
85	и то	2	3
86	человека к	1	3
87	и вот	1	3
88	и потому	7	3
89	прежде всего	2	3
90	вовсе не	1	3
91	во всех	3	3
92	а с	2	3
93	в которой	1	3
94	не будет	2	3
95	не с	2	3
96	нового времени	1	3
97	в этой	1	3
98	человеческой жизни	1	3
99	и по	1	3
100	мира в	2	3
101	ведет к	1	2
102	мире и	1	2
103	и другие	1	2
104	один из	2	2
105	и на	1	2
106	если в	1	2
107	которая в	1	2
108	и который	1	2
109	на этом	1	2
110	мы в	1	2
111	не могут	2	2
112	в них	3	2
113	оно не	3	2
114	значения и	2	2
115	в одно	1	2
116	с ними	1	2
117	к нам	2	2
118	вместе с	1	2
119	жизни в	1	2
120	себя и	1	2
121	ни для	1	2
122	в известном	1	2
123	еще и	1	2
