N	2gram	Tiupa_Hudo	Literetu
1	уединенного сознания	5	70
2	а не	23	50
3	и не	15	47
4	не только	22	46
5	и в	34	44
6	может быть	12	43
7	при этом	21	41
8	но и	13	41
9	тогда как	10	40
10	в том	24	39
11	в этом	22	38
12	своего рода	19	37
13	том что	31	32
14	такого рода	4	30
15	в частности	10	30
16	то что	13	29
17	в мире	10	28
18	в качестве	13	27
19	то же	14	26
20	состоит в	8	26
21	как и	16	23
22	в то	12	23
23	себя в	11	22
24	не в	16	22
25	того что	5	22
26	так и	19	22
27	не может	10	22
28	я и	7	21
29	х годов	1	21
30	же время	11	21
31	и т.п	2	20
32	в себе	19	20
33	я в	2	19
34	прежде всего	12	19
35	как бы	11	18
36	с другой	4	17
37	точки зрения	7	17
38	то есть	1	17
39	в его	17	17
40	в жизни	9	16
41	сознания в	2	16
42	в этой	11	16
43	не менее	9	15
44	я не	8	15
45	в русской	4	15
46	только в	8	15
47	произведение искусства	1	15
48	со стороны	6	15
49	тем самым	2	15
50	в целом	2	15
51	и даже	4	14
52	по отношению	15	14
53	однако в	4	14
54	что он	14	14
55	в рамках	2	14
56	уже не	12	13
57	в своем	9	13
58	с одной	4	13
59	как это	8	13
60	в тексте	8	13
61	но не	7	13
62	и его	8	13
63	в своей	15	12
64	о том	21	12
65	в данном	3	12
66	одной стороны	4	12
67	художественного письма	2	12
68	к себе	8	12
69	всего лишь	7	12
70	художественного мышления	8	12
71	еще не	10	12
72	отношению к	15	12
73	а также	4	12
74	в е	2	12
75	не столько	4	11
76	в другом	3	11
77	никогда не	8	11
78	в конечном	5	11
79	и сам	3	11
80	столь же	6	11
81	еще в	4	11
82	вместе с	2	11
83	как в	11	11
84	в основе	3	11
85	в отличие	1	11
86	с его	9	11
87	данном случае	3	11
88	это не	12	11
89	отличие от	1	11
90	или иначе	3	11
91	а в	11	11
92	даже в	4	10
93	в принципе	1	10
94	конечном счете	4	10
95	в противовес	2	10
96	из них	5	10
97	в ее	16	10
98	не случайно	14	10
99	что в	8	10
100	и на	6	10
101	для себя	9	10
102	так или	3	10
103	жизни в	12	10
104	причастность к	1	10
105	потому что	7	10
106	другого в	1	10
107	этом отношении	4	10
108	жизни и	10	10
109	отнюдь не	4	10
110	в области	1	10
111	с этой	3	9
112	на смену	2	9
113	художественной деятельности	1	9
114	наш взгляд	6	9
115	к тому	11	9
116	представляет собой	1	9
117	русской классической	1	9
118	связи с	4	9
119	один из	6	9
120	уединенное сознание	1	9
121	на наш	6	9
122	что я	4	9
123	одно из	4	9
124	отказ от	2	9
125	в начале	3	9
126	и т.д	3	9
127	лишь в	5	9
128	же в	3	9
129	быть может	7	8
130	в своих	4	8
131	тем что	6	8
132	все же	5	8
133	исходит из	1	8
134	одна из	4	8
135	едва ли	6	8
136	ли не	1	8
137	с точки	5	8
138	как раз	7	8
139	на себя	3	8
140	что не	4	8
141	в конце	5	8
142	о себе	3	8
143	и ты	2	8
144	а именно	1	8
145	собственного я	2	8
146	слова и	1	8
147	присутствия в	1	8
148	соответствии с	2	8
149	той же	3	8
150	в глазах	11	8
151	но в	6	8
152	уже в	2	8
153	для него	15	8
154	xix века	1	8
155	по существу	1	8
156	и как	1	8
157	и я	1	8
158	в искусстве	1	8
159	вплоть до	1	8
160	в самом	7	7
161	русской литературе	3	7
162	в одном	3	7
163	другой стороны	1	7
164	для всех	1	7
165	на свою	1	7
166	именно в	9	7
167	в художественном	6	7
168	на фоне	5	7
169	как правило	6	7
170	по преимуществу	6	7
171	не как	3	7
172	говоря словами	1	7
173	между я	2	7
174	он не	8	7
175	и тем	2	7
176	и с	10	7
177	в нем	5	7
178	с тобой	1	7
179	по своей	5	7
180	наконец в	2	7
181	в сфере	2	7
182	до конца	3	7
183	друг друга	5	7
184	и для	5	7
185	он и	2	7
186	в их	2	7
187	так в	2	7
188	человека в	10	7
189	личности в	9	7
190	и других	1	7
191	тому как	4	7
192	в виду	1	6
193	например в	3	6
194	культуры в	1	6
195	казалось бы	12	6
196	при всей	3	6
197	как на	2	6
198	и он	6	6
199	в ситуации	1	6
200	в третьем	1	6
201	у него	13	6
202	его в	5	6
203	не было	8	6
204	во всех	2	6
205	в каждом	1	6
206	перед лицом	1	6
207	было бы	8	6
208	подобно тому	4	6
209	с ее	7	6
210	но одновременно	3	6
211	то в	6	6
212	разумеется не	2	6
213	самом деле	6	6
214	самим собой	1	6
215	как о	3	6
216	в слове	1	6
217	еще и	2	6
218	то и	5	6
219	одного из	1	6
220	и др	1	6
221	и то	2	6
222	с читателем	1	6
223	том числе	1	6
224	в жизнь	1	6
225	в ней	6	6
226	по характеристике	1	6
227	далеко не	1	6
228	как будто	7	6
229	и только	2	6
230	и к	6	5
231	к этой	4	5
232	тех кто	2	5
233	по выражению	3	5
234	субъекта жизни	1	5
235	в связи	3	5
236	с собой	2	5
237	личности с	3	5
238	в соответствии	1	5
239	мы с	3	5
240	хотя бы	2	5
241	жизни как	7	5
242	в нашем	2	5
243	русской литературы	1	5
244	он сам	3	5
245	от себя	3	5
246	всего в	1	5
247	том чтобы	2	5
248	должно быть	2	5
249	несмотря на	7	5
250	тем не	7	5
251	и за	1	5
252	к жизни	6	5
253	не знает	2	5
254	по аналогии	1	5
255	одном из	1	5
256	в себя	3	5
257	этом как	1	5
258	этой точки	1	5
259	между тем	14	5
260	так что	3	5
261	все более	1	5
262	эти слова	3	5
263	я это	2	5
264	в силу	2	5
265	обращается к	1	5
266	во втором	2	5
267	в сущности	2	5
268	литературного произведения	1	5
269	как писал	1	5
270	и одновременно	1	5
271	в романе	1	5
272	в словах	1	5
273	себя и	4	5
274	следует признать	1	5
275	не с	2	5
276	идет о	3	5
277	автора и	4	5
278	быть не	1	5
279	вслед за	3	5
280	без другого	2	5
281	так как	2	5
282	мы не	2	5
283	в литературе	3	5
284	как у	2	5
285	что и	3	5
286	читателя в	6	5
287	но с	3	5
288	в равной	3	5
289	но уже	1	5
290	однако не	1	5
291	на свете	2	5
292	как он	4	5
293	место в	3	5
294	или иной	2	5
295	все еще	3	5
296	а я	1	5
297	что было	3	4
298	исходя из	1	4
299	оказывается не	1	4
300	но тем	2	4
301	не бывает	3	4
302	в них	3	4
303	героя как	2	4
304	с тем	1	4
305	только для	4	4
306	в природе	1	4
307	жизни на	4	4
308	жизни к	1	4
309	во всяком	1	4
310	однако его	1	4
311	духовной жизни	2	4
312	входит в	1	4
313	для того	3	4
314	не всегда	1	4
315	в руках	1	4
316	только на	6	4
317	за собой	1	4
318	перед ним	2	4
319	как мы	5	4
320	я с	2	4
321	художественности как	2	4
322	под названием	1	4
323	к этому	1	4
324	не мог	1	4
325	это точка	1	4
326	бы то	1	4
327	мышления и	3	4
328	личностного я	1	4
329	хотя и	3	4
330	начала века	1	4
331	для своего	2	4
332	все время	2	4
333	что его	1	4
334	человеческого существования	1	4
335	века в	2	4
336	себе и	3	4
337	в сторону	2	4
338	на этом	5	4
339	то ни	2	4
340	и что	3	4
341	общего с	1	4
342	к своему	2	4
343	могут быть	1	4
344	можно сказать	9	4
345	из этого	1	4
346	на рубеже	1	4
347	самим собою	2	4
348	на жизнь	1	4
349	от жизни	1	4
350	о которой	3	4
351	сводится к	7	4
352	от своего	2	4
353	и все	10	4
354	в пределах	4	4
355	отношения к	1	4
356	в творческом	3	4
357	приводит к	5	4
358	бы не	3	4
359	все они	2	4
360	нет ничего	4	4
361	художественного мира	3	4
362	ни к	2	4
363	совершенно не	1	4
364	то он	1	4
