N	2gram	Tiupa_Anal	RusskieA
1	и в	36	79
2	в том	16	64
3	том что	19	59
4	что в	15	57
5	т е	2	54
6	не только	40	41
7	а а	5	40
8	во время	2	38
9	и другие	1	33
10	в этом	19	33
11	состоит в	14	32
12	как бы	14	31
13	но и	26	31
14	новый год	1	30
15	в и	1	30
16	как и	27	28
17	и на	5	28
18	может быть	19	28
19	в этот	1	26
20	этот день	1	25
21	одна из	6	24
22	о том	9	23
23	и т	1	23
24	при этом	19	22
25	в поле	1	22
26	это не	4	20
27	а в	17	20
28	как мы	4	20
29	из них	4	19
30	все это	5	18
31	с тем	2	17
32	таким образом	4	17
33	то что	5	17
34	вместе с	3	17
35	об этом	3	17
36	потому что	1	17
37	во многих	2	16
38	мы не	4	16
39	будто бы	1	15
40	один из	6	15
41	в них	4	14
42	и с	1	14
43	не менее	9	14
44	тем не	3	14
45	как это	7	14
46	и что	2	14
47	и не	14	14
48	для нас	1	14
49	у нас	1	14
50	уже не	9	13
51	к этому	3	13
52	так что	2	13
53	и по	3	13
54	как в	9	13
55	еще не	7	13
56	не может	3	13
57	тем что	3	12
58	между собой	1	12
59	этом случае	1	12
60	мы имеем	5	12
61	а затем	2	11
62	на ивана	1	11
63	не имеет	1	11
64	но это	3	11
65	а на	2	11
66	далеко не	8	11
67	что на	3	11
68	все же	6	10
69	представляет собой	7	10
70	том чтобы	2	10
71	его в	4	10
72	между тем	8	10
73	что и	10	10
74	в течение	1	10
75	так и	19	10
76	или в	4	10
77	а также	5	10
78	по существу	1	10
79	и других	1	10
80	то же	7	9
81	о чем	5	9
82	на украине	1	9
83	что они	3	9
84	к жизни	5	9
85	с ней	1	9
86	и все	3	9
87	данном случае	11	9
88	того как	1	9
89	но в	8	9
90	в г	1	9
91	но не	13	9
92	одно из	3	8
93	в этих	2	8
94	что по	4	8
95	так же	1	8
96	связи с	1	8
97	на себя	5	8
98	во всех	4	8
99	что это	1	8
100	подобно тому	4	8
101	их в	1	8
102	того чтобы	1	8
103	состояла в	1	8
104	того что	4	8
105	ее в	2	8
106	в данном	12	8
107	не все	1	8
108	как уже	4	8
109	тому как	3	8
110	для того	1	8
111	же в	5	8
112	в это	1	7
113	в своем	7	7
114	на них	1	7
115	а и	4	7
116	не в	9	7
117	а с	2	7
118	не совсем	1	7
119	было бы	6	7
120	только в	9	7
121	с этого	2	7
122	из этих	4	7
123	а не	16	7
124	в деревне	1	7
125	начиная с	1	7
126	ничего не	3	7
127	не можем	1	7
128	и как	5	7
129	предположить что	1	7
130	мы должны	1	7
131	по этому	1	7
132	как будто	1	7
133	для этого	1	7
134	в году	5	6
135	же как	1	6
136	к тому	10	6
137	что этот	1	6
138	и другой	1	6
139	не всегда	4	6
140	только на	1	6
141	но они	2	6
142	в одном	4	6
143	что она	3	6
144	после того	1	6
145	в качестве	22	6
146	в таком	2	6
147	на земле	1	6
148	должно было	1	6
149	и у	1	6
150	на этом	2	6
151	после чего	2	6
152	должны были	1	6
153	в этой	10	6
154	в нем	3	6
155	должен был	2	6
156	с ними	2	6
157	приводит к	5	6
158	и более	1	6
159	что здесь	1	6
160	не будем	2	6
161	или с	1	6
162	в их	7	6
163	на нее	1	6
164	все эти	2	6
165	так в	4	6
166	связаны с	2	6
167	она не	3	6
168	в новый	1	6
169	но она	1	6
170	и их	3	6
171	и о	1	6
172	и к	7	5
173	в разных	1	5
174	нас к	2	5
175	например в	2	5
176	тогда как	37	5
177	с этим	4	5
178	вопрос о	1	5
179	входит в	4	5
180	с другой	10	5
181	связь между	1	5
182	к ним	1	5
183	как правило	6	5
184	по поводу	5	5
185	с целью	1	5
186	не было	3	5
187	в связи	1	5
188	мы уже	2	5
189	в тех	2	5
190	можно было	2	5
191	в москве	1	5
192	и др	1	5
193	чаще всего	1	5
194	там где	2	5
195	в то	8	5
196	прежде всего	7	5
197	в особенности	4	5
198	с ним	2	5
199	что он	5	5
200	в свою	9	5
201	к себе	1	5
202	но если	1	5
203	видел в	1	5
204	и для	4	5
205	тот же	3	5
206	в его	12	5
207	на самом	1	5
208	или даже	1	5
