N	3gram	Medvedev_S	Myslijsy
1	в том что	2	47
2	по отношению к	2	26
3	по крайней мере	1	17
4	не в том	2	13
5	а между тем	1	13
6	то же время	1	13
7	в то же	1	13
8	и в этом	1	12
9	во всяком случае	1	12
10	а в том	1	11
11	с одной стороны	1	10
12	сама по себе	1	7
13	друг от друга	1	6
14	то же самое	1	6
15	не было бы	1	6
16	то что в	1	5
17	в том и	1	4
18	в противном случае	1	4
19	именно в том	1	4
20	в связи с	1	3
21	в наше время	1	3
22	бы они ни	1	3
23	том что это	1	2
24	о том как	1	2
25	в сущности есть	1	2
26	что на ней	1	2
27	главным образом в	1	2
28	а тем более	1	2
29	быть не только	1	2
30	и стало быть	1	2
31	только то что	1	2
32	они ни были	1	2
33	дает нам право	1	2
34	что он говорит	1	1
35	это дает нам	1	1
36	бы он ни	1	1
37	слова но она	1	1
38	что все это	1	1
39	сказать и о	1	1
40	все это происходит	1	1
41	это зависит от	1	1
42	что в них	1	1
43	и мы еще	1	1
44	отношению к субъекту	1	1
45	случае пришлось бы	1	1
46	между ними в	1	1
47	как бы он	1	1
48	и не от	1	1
49	и как только	1	1
50	конечно не в	1	1
51	только в этом	2	1
52	в настоящее время	1	1
53	не в этих	1	1
54	и должны служить	1	1
55	противном случае пришлось	1	1
56	дело не в	2	1
