N	2gram	Propp_Russ	Komedia
1	и в	59	77
2	и не	6	47
3	iv в	2	45
4	в том	33	44
5	том что	33	42
6	о том	14	33
7	т е	41	33
8	в г	6	33
9	но и	20	32
10	может быть	14	30
11	из них	12	29
12	таким образом	10	29
13	в то	3	28
14	и его	2	28
15	в этом	18	27
16	потому что	15	27
17	что он	2	26
18	к тому	4	26
19	тому же	1	25
20	не только	28	25
21	вместе с	16	25
22	так как	25	24
23	в дом	10	23
24	как и	19	23
25	ни в	1	23
26	в доме	2	23
27	что в	35	23
28	что и	8	22
29	если бы	1	22
30	то же	6	21
31	в конце	1	21
32	так и	8	21
33	а в	16	21
34	в его	3	20
35	к этому	7	19
36	во время	23	19
37	в этой	4	18
38	тем что	7	17
39	в нем	3	17
40	и здесь	3	17
41	и т	13	17
42	еще не	7	17
43	при этом	11	16
44	все же	7	16
45	не менее	3	16
46	у него	2	16
47	до нас	1	16
48	он не	1	16
49	и сам	1	16
50	тот же	2	16
51	не в	2	15
52	в своем	3	15
53	точки зрения	3	15
54	его в	9	15
55	в которой	3	15
56	на себя	4	15
57	между тем	9	15
58	один из	10	15
59	и на	14	15
60	было бы	3	15
61	прежде всего	2	15
62	этой комедии	1	15
63	и с	12	14
64	к нему	3	14
65	iii в	1	14
66	в свою	3	14
67	все это	12	14
68	ли не	1	14
69	об этом	11	14
70	только что	1	13
71	самом деле	1	13
72	о чем	7	13
73	в них	10	13
74	в одном	4	13
75	что она	4	13
76	того же	1	13
77	как раз	1	13
78	мы можем	2	13
79	в двух	2	13
80	так что	4	13
81	то что	10	13
82	того чтобы	6	13
83	но в	5	13
84	в котором	2	12
85	для того	6	12
86	так же	7	12
87	с другой	1	12
88	несмотря на	4	12
89	хотя и	3	12
90	в качестве	5	12
91	как это	11	12
92	комедии и	1	12
93	т п	1	12
94	из которых	2	12
95	как в	10	12
96	уже в	2	12
97	в истории	1	12
98	не по	1	12
99	в начале	1	12
100	не может	6	12
101	но не	7	12
102	и даже	1	11
103	с тем	14	11
104	по отношению	1	11
105	наряду с	1	11
106	что его	1	11
107	с ним	2	11
108	то время	3	11
109	должны были	3	11
110	как мы	11	11
111	на этот	3	11
112	и для	3	11
113	в их	5	11
114	из дому	1	11
115	в частности	2	11
116	к ней	4	11
117	с этим	4	10
118	сразу же	2	10
119	он был	2	10
120	свою очередь	2	10
121	на него	1	10
122	тут же	2	10
123	с одной	1	10
124	к себе	1	10
125	в чем	1	10
126	как бы	18	10
127	и что	8	10
128	и все	4	10
129	на основании	1	10
130	с его	1	10
131	ничего не	4	10
132	мы не	11	10
133	тем более	1	10
134	что касается	1	10
135	еще в	6	10
136	отношение к	1	10
137	же в	5	10
138	в целом	2	10
139	все что	2	9
140	но все	3	9
141	в своей	1	9
142	одной стороны	1	9
143	говорить о	2	9
144	и еще	2	9
145	тому что	4	9
146	время как	1	9
147	только в	4	9
148	друг друга	3	9
149	в тех	5	9
150	даже не	1	9
151	судя по	2	9
152	и по	10	9
153	независимо от	3	9
154	комедии с	1	9
155	в образе	3	9
156	однако в	1	9
157	ответ на	2	9
158	того как	6	9
159	а также	6	9
160	отличие от	4	9
161	в ней	3	9
162	и особенно	1	9
163	отношению к	1	9
164	с этой	2	8
165	а затем	5	8
166	г в	5	8
167	то это	1	8
168	по поводу	1	8
169	что у	3	8
170	не было	3	8
171	не знает	1	8
172	во всех	6	8
173	можно было	3	8
174	примерно в	2	8
175	что для	4	8
176	первую очередь	1	8
177	если не	1	8
178	в которых	8	8
179	в течение	7	8
180	связи с	6	8
181	возможно что	2	8
182	по содержанию	3	8
183	по своему	2	8
184	и других	9	8
185	как он	2	8
186	при всем	1	8
187	в в	3	8
188	и ее	3	8
189	место в	2	8
190	и к	3	7
191	в этих	3	7
192	если в	3	7
193	обращает на	1	7
194	себе в	1	7
195	во всяком	1	7
196	в первую	1	7
197	вопрос о	4	7
198	в другом	1	7
199	в руках	3	7
200	ii в	2	7
201	по которым	1	7
202	что они	8	7
203	в н	1	7
204	в связи	4	7
205	и это	2	7
206	в других	24	7
207	себя внимание	2	7
208	в себе	1	7
209	и у	5	7
210	это время	4	7
211	не имеет	9	7
212	не является	2	7
213	из этих	6	7
214	и поэтому	3	7
215	после смерти	1	7
216	мы знаем	1	7
217	целый ряд	1	7
218	и во	2	7
219	до конца	5	7
220	но если	2	7
221	в народном	4	7
222	всяком случае	1	7
223	для нас	12	7
224	должен был	3	7
225	отнюдь не	3	7
226	тех же	1	7
227	и о	4	7
228	по всему	2	6
229	его от	2	6
230	в виду	3	6
231	с собой	4	6
232	в своих	3	6
233	там же	15	6
234	в дальнейшем	2	6
235	до того	3	6
236	представляет собой	5	6
237	как правило	4	6
238	и он	1	6
239	после того	3	6
240	с точки	3	6
241	как видно	1	6
242	что не	1	6
243	на этом	6	6
244	не дает	1	6
245	и тем	1	6
246	не приходится	1	6
247	могут быть	3	6
248	в силу	2	6
249	с и	1	6
250	в другой	1	6
251	между и	1	6
252	в древней	3	6
253	как из	1	6
254	в середине	4	6
255	а не	3	6
256	в отличие	4	6
257	нет и	1	6
258	в и	19	6
259	главным образом	5	6
260	в области	3	6
261	тем не	3	6
