N	2gram	Medvedev_V	Problema
1	и в	2	182
2	и не	1	152
3	потому что	1	89
4	в этом	1	88
5	в том	2	81
6	том что	2	81
7	только в	1	73
8	то же	1	42
9	и то	1	40
10	так как	1	40
11	хотя бы	1	37
12	в конце	2	31
13	но это	1	31
14	все это	1	31
15	ясно что	1	30
16	крайней мере	1	26
17	да и	1	26
18	по крайней	1	26
19	и его	1	26
20	тем более	1	24
21	конце концов	2	23
22	а только	1	23
23	в самом	1	21
24	и только	1	21
25	именно в	1	20
26	самом деле	1	19
27	гораздо более	1	17
28	далеко не	1	16
29	в частности	1	15
30	в их	1	13
31	дело в	1	13
32	в другом	1	12
33	для них	1	12
34	не будем	1	12
35	по поводу	1	11
36	все время	1	10
37	в которых	1	9
38	имеется в	1	9
39	как же	1	9
40	значит и	1	7
41	в значительной	1	7
42	даже не	1	7
43	что слово	1	6
44	ни к	1	6
45	по существу	1	6
46	в теории	1	6
47	другое дело	1	5
48	к этому	1	5
49	я не	1	5
50	одно и	1	5
51	чем больше	1	5
52	сводится к	1	5
53	ведь это	1	5
54	под влиянием	1	4
55	на одном	1	4
56	теории литературы	1	4
57	и почти	1	4
58	совершенно ясно	1	3
59	все дело	1	3
60	и заключается	1	3
61	от других	1	3
62	отношений но	1	3
63	не хотел	1	3
64	вещь и	1	3
65	время в	1	3
66	столь же	1	3
67	том же	1	3
68	то чего	1	3
69	говорили в	1	2
70	же все	1	2
71	образы которые	1	2
72	стоит на	1	2
73	что имеется	1	2
74	чего не	1	2
75	и мало	1	2
76	и самым	1	2
77	или без	1	2
78	с большой	1	2
79	а значит	1	2
80	говоря о	1	2
81	их тем	1	1
82	поэтический акт	1	1
83	по своим	1	1
84	хотел сказать	1	1
85	но разве	1	1
86	не одно	1	1
87	разве это	1	1
88	сказать чтобы	1	1
89	в устах	1	1
90	речи и	1	1
91	о или	1	1
92	о пределах	1	1
93	они на	1	1
94	тут ни	1	1
95	и сводится	1	1
96	говорится в	1	1
97	которые они	1	1
98	и том	1	1
99	что сами	1	1
100	за свою	1	1
101	впрочем не	1	1
102	главным образом	1	1
103	не стоило	1	1
104	о теории	1	1
105	заключается что	1	1
106	достаточно но	1	1
107	что язык	1	1
108	все то	1	1
109	ничуть не	1	1
110	одном и	1	1
111	их как	1	1
112	не хочу	1	1
113	этому и	1	1
114	образом связаны	1	1
