N	3gram	Tiupa_Teor	NovoeSre
1	не может быть	5	4
2	со всех сторон	1	3
3	подобно тому как	3	3
4	в том и	1	2
5	так же как	1	2
6	в этом смысле	3	2
7	с одной стороны	3	2
8	с другой стороны	6	2
9	в том что	10	1
10	в том случае	1	1
11	в этой системе	2	1
12	и в жизни	1	1
13	и потому что	1	1
14	в зависимости от	1	1
15	по своей природе	3	1
16	нового времени в	1	1
17	том числе и	2	1
18	в большинстве случаев	1	1
19	не было и	1	1
20	в отличие от	7	1
21	в значительной степени	2	1
22	не менее чем	1	1
23	весь мир все	1	1
24	о том что	1	1
25	и того же	4	1
26	не могут быть	2	1
27	добро и зло	1	1
28	мы говорим о	1	1
29	заключает в себе	1	1
30	в новое время	1	1
31	как и в	2	1
32	том случае если	1	1
33	а не с	1	1
34	та или иная	1	1
35	к одному из	1	1
36	в том числе	3	1
37	к вопросу о	1	1
38	содержанию а не	1	1
39	в то время	1	1
40	имея в виду	1	1
41	это и есть	1	1
42	в известном смысле	2	1
43	одного и того	4	1
44	я думаю что	1	1
