N	4gram	Losev_Vesc	Tvorches
1	в то же время	4	24
2	и в то же	3	6
3	но в то же	1	6
4	дело в том что	4	4
5	заключается в том что	2	2
6	это не значит что	1	2
7	в то же самое	1	1
8	на самом же деле	1	1
9	не что иное как	12	1
10	в том смысле что	1	1
11	и все же это	1	1
12	каких бы то ни	1	1
13	не может быть ни	3	1
14	одного и того же	1	1
15	в том что это	1	1
16	души и т д	1	1
17	и в самом деле	1	1
18	и т д и	11	1
19	т д и т	10	1
20	не только потому что	1	1
21	в этой связи очень	1	1
22	и т д в	1	1
23	бы то ни было	12	1
24	то же самое время	1	1
25	и тем не менее	5	1
26	что с точки зрения	1	1
27	в том что я	1	1
28	т д все это	1	1
29	и т д все	1	1
30	не содержит в себе	1	1
31	д и т д	10	1
