N	3gram	Voloshinov	Mirosoze
1	не может быть	3	28
2	в том что	1	9
3	это и есть	1	9
4	для того чтобы	1	7
5	в высшей степени	1	7
6	и в этом	2	6
7	вместе с тем	1	6
8	о том что	2	6
9	есть прежде всего	1	6
10	до сих пор	3	5
11	на этом пути	1	5
12	мы увидим что	1	5
13	человек не может	1	4
14	в любви к	1	4
15	его отношение к	1	4
16	в нем нет	2	4
17	в свою противоположность	1	4
18	не что иное	1	4
19	можно было бы	1	4
20	что иное как	1	4
21	он не был	1	3
22	одна и та	1	3
23	так как он	1	3
24	в конце пути	1	3
25	по сравнению с	3	3
26	и та же	1	3
27	так же как	2	3
28	же как и	1	3
29	во всяком случае	3	3
30	на всю жизнь	1	2
31	в чем не	3	2
32	в разных местах	1	2
33	одну и ту	1	2
34	как и всегда	1	2
35	и есть та	1	2
36	и ту же	1	2
37	в том смысле	1	2
38	на протяжении всей	2	2
39	подобно тому как	1	2
40	не могут быть	2	2
41	в этом отношении	1	2
42	ни в чем	3	2
43	не сознавая этого	1	1
44	в этот момент	1	1
45	а может быть	1	1
46	ничего общего не	1	1
47	новых и новых	1	1
48	влечет его к	1	1
49	вопрос можно ли	1	1
50	двойственное отношение к	1	1
51	во всех его	2	1
52	в самом деле	2	1
53	прежде всего а	2	1
54	друг на друга	2	1
55	в этом нет	1	1
56	друг с другом	1	1
57	жизни в этом	1	1
58	и на наших	1	1
59	ним может быть	1	1
60	по ту сторону	4	1
61	быть может наиболее	1	1
62	но даже и	1	1
63	человека и все	1	1
64	на наших глазах	1	1
65	этим не преодолевается	1	1
66	а в конце	1	1
67	той или иной	1	1
68	с точки зрения	6	1
69	со всеми его	1	1
70	его не интересует	1	1
71	имеем в виду	1	1
72	а иногда и	1	1
73	этап в развитии	1	1
74	один из моментов	1	1
75	но к чему	1	1
76	не был связан	1	1
77	в этой борьбе	1	1
78	в него все	1	1
79	в глубине ее	1	1
80	на самом деле	4	1
81	это делает его	1	1
82	он прежде всего	1	1
83	это находится в	1	1
84	мы имеем в	1	1
85	все что есть	1	1
86	она может быть	1	1
87	и она не	1	1
88	в нем и	1	1
89	с одной стороны	1	1
90	находится во власти	1	1
