N	4gram	Losev_Vesc	Komedia
1	в то же время	4	16
2	в то время как	4	9
3	бы то ни было	12	7
4	и в самом деле	1	7
5	в том что он	2	4
6	один и тот же	1	3
7	с этой точки зрения	3	2
8	с одной стороны и	1	2
9	к одному и тому	1	2
10	и в то же	3	2
11	одному и тому же	1	2
12	не что иное как	12	1
13	ни в коем случае	1	1
14	вопрос о том как	2	1
15	себя так как будто	1	1
16	подобно тому как мы	1	1
17	в здравом уме и	1	1
18	то одного то другого	1	1
19	только в том что	1	1
20	в самом деле не	1	1
21	здравом уме и твердой	1	1
22	одного и того же	1	1
23	о которых идет речь	1	1
24	о ней как о	1	1
25	и т д все	1	1
26	уме и твердой памяти	1	1
