N	4gram	Propp_Russ	Analitik
1	состоит в том что	16	7
2	не что иное как	3	6
3	одного и того же	1	6
4	обращает на себя внимание	1	4
5	одни и те же	1	3
6	в тех случаях когда	2	2
7	одна и та же	1	1
8	но это все же	1	1
9	и в этом случае	2	1
10	собой не что иное	1	1
11	еще в е годы	1	1
12	в былинах и в	1	1
13	во всяком случае не	1	1
14	подобно тому как на	1	1
15	на самом же деле	2	1
16	приходит к выводу что	1	1
17	можно сказать что в	1	1
18	как это имеет место	3	1
19	или по меньшей мере	1	1
20	приводит к тому что	1	1
21	значении этого слова в	1	1
