N	2gram	Medvedev_B	Tragedij
1	и в	1	18
2	не только	1	8
3	и на	1	7
4	и не	2	7
5	так и	1	5
6	все же	1	5
7	что в	1	4
8	все это	2	4
9	прежде всего	1	4
10	об этом	1	4
11	еще не	1	4
12	как будто	1	3
13	отнюдь не	1	3
14	что все	1	2
15	вопрос о	1	2
16	в данном	1	2
17	до конца	1	2
18	и ее	1	2
19	таким образом	1	1
20	также что	1	1
21	должна быть	1	1
22	же не	1	1
23	из ее	1	1
24	не было	1	1
25	своей книге	1	1
26	необходимо отметить	1	1
27	в эпоху	1	1
28	в своей	1	1
29	создает впечатление	1	1
30	нашему мнению	1	1
31	во всяком	1	1
32	и потому	1	1
33	совершенно не	1	1
34	в ней	2	1
35	а не	1	1
36	можно было	2	1
37	за пределы	1	1
38	не вполне	1	1
39	в книге	1	1
40	к ней	1	1
41	и о	1	1
42	в области	1	1
43	всяком случае	1	1
44	стиля и	1	1
45	по нашему	1	1
