N	4gram	Trubetskoy	VerxiiNi
1	в том числе и	1	4
2	бы то ни было	3	2
3	и для того чтобы	1	2
4	с этой точки зрения	1	2
5	в то же время	2	2
6	как бы то ни	2	2
7	до сих пор еще	1	2
8	но вместе с тем	2	2
9	в том виде в	1	2
10	в каковом случае между	1	1
11	состоит в том что	1	1
12	вместе с тем и	1	1
13	на то что эти	1	1
14	о том что все	1	1
15	и т.д таким образом	1	1
16	виде в котором они	1	1
17	в одно культурное целое	1	1
18	до сих пор не	5	1
19	есть не более как	1	1
20	надо иметь в виду	1	1
21	а в том что	1	1
22	тоже с точки зрения	1	1
23	общего запаса культурных ценностей	1	1
24	с психологической точки зрения	1	1
25	совершенно так же как	3	1
26	в том что они	1	1
27	одного и того же	3	1
28	не в том что	1	1
29	то ясно что и	1	1
30	том виде в котором	1	1
31	одно из двух или	1	1
32	в самом деле если	1	1
33	в том или ином	1	1
