N	2gram	Potebnia_M	Psycholo
1	то что	24	193
2	и в	58	190
3	в том	38	163
4	что в	34	123
5	потому что	89	114
6	том что	21	113
7	и что	13	108
8	может быть	47	107
9	таким образом	21	102
10	в этом	18	100
11	то есть	69	97
12	в самом	5	82
13	как бы	12	80
14	для того	8	78
15	того чтобы	4	78
16	что он	5	76
17	не только	32	75
18	на то	5	73
19	и не	34	73
20	что она	3	71
21	самом деле	2	70
22	точки зрения	8	69
23	и т	10	69
24	не может	30	68
25	если мы	5	66
26	так же	7	63
27	так как	29	63
28	было бы	21	56
29	если бы	23	55
30	то же	13	54
31	о том	6	54
32	и мы	1	54
33	совершенно ясно	1	54
34	в басне	1	54
35	при этом	17	52
36	как и	16	51
37	что и	16	50
38	а не	38	50
39	что это	5	49
40	сказать что	5	46
41	по себе	24	46
42	только в	36	46
43	в сущности	2	46
44	заключается в	3	46
45	говорит что	1	45
46	к тому	5	45
47	не в	23	45
48	в этой	3	43
49	показать что	1	43
50	никогда не	7	42
51	и все	6	42
52	вместе с	12	41
53	как это	1	40
54	но и	26	40
55	с и	3	40
56	при помощи	2	39
57	того что	15	39
58	т п	6	38
59	и это	3	37
60	мы видим	5	37
61	и как	11	36
62	с тем	9	35
63	вовсе не	13	34
64	как на	5	34
65	и если	6	34
66	и его	7	34
67	тому что	4	33
68	все же	11	33
69	что все	4	33
70	когда он	1	33
71	в себе	22	32
72	все это	3	32
73	он не	4	31
74	мы не	17	31
75	в его	7	31
76	для нас	29	31
77	в ней	9	31
78	мы увидим	3	30
79	как будто	2	30
80	никак не	3	30
81	как в	18	30
82	с одной	7	29
83	в нас	10	29
84	и для	8	29
85	одной стороны	6	29
86	с точки	4	29
87	в нем	26	29
88	увидим что	4	28
89	что они	6	28
90	мы можем	10	28
91	и то	4	28
92	что мы	11	28
93	в своих	4	27
94	на деле	6	27
95	и на	8	27
96	а в	11	27
97	с другой	13	27
98	все то	2	27
99	так что	23	26
100	совершенно не	1	26
101	только что	4	25
102	и здесь	1	25
103	жизни и	3	25
104	до сих	5	24
105	с таким	3	24
106	тем что	15	24
107	указывает на	2	24
108	и совершенно	2	24
109	в целом	3	24
110	в своем	3	23
111	сих пор	5	23
112	из этого	2	23
113	один из	2	23
114	что если	7	23
115	что оно	5	23
116	для этого	2	23
117	могут быть	17	23
118	с этим	11	22
119	из них	2	22
120	что у	2	22
121	между тем	7	22
122	и даже	4	22
123	когда мы	4	22
124	всякий раз	1	22
125	т д	6	22
126	как она	3	22
127	в котором	5	21
128	в которых	2	21
129	той же	3	21
130	в своей	3	21
131	ни в	2	21
132	но только	2	21
133	как мы	3	21
134	и только	6	21
135	другой стороны	7	20
136	в то	6	20
137	тот же	5	20
138	мы имеем	1	20
139	она не	3	20
140	дело с	2	20
141	несмотря на	5	20
142	на этом	3	20
143	там где	8	20
144	это не	10	20
145	все эти	3	20
146	в одном	13	19
147	что при	6	19
148	мы уже	1	19
149	в какой	2	19
150	мы должны	4	19
151	в ее	2	19
152	у него	3	19
153	он говорит	1	19
154	с этой	3	18
155	в которой	5	18
156	можно было	1	18
157	но в	12	18
158	зависимости от	1	18
159	в каком	7	18
160	вслед за	2	18
161	что с	3	18
162	на самом	2	18
163	но не	19	18
164	и есть	4	18
165	был бы	1	18
166	перед нами	1	18
167	есть не	7	18
168	в виду	2	17
169	во всяком	9	17
170	полагает что	3	17
171	время как	2	17
172	что для	5	17
173	из этих	8	17
174	но это	7	17
175	одна из	4	17
176	только не	2	17
177	у нас	3	17
178	и о	3	17
179	к этому	3	16
180	в психологии	1	16
181	та же	1	16
182	то это	8	16
183	самого начала	5	16
184	с самого	5	16
185	в таком	7	16
186	же как	1	16
187	и тем	5	16
188	чувства и	16	16
189	не имеет	9	16
190	так и	17	16
191	тому как	8	16
192	от того	9	16
193	в результате	1	15
194	в них	7	15
195	только на	4	15
196	что именно	2	15
197	во всех	12	15
198	мы знаем	2	15
199	о которых	5	15
200	могли бы	4	15
201	не могут	10	15
202	и так	1	15
203	о котором	4	15
204	совершенно верно	1	15
205	и потому	7	15
206	в зависимости	1	15
207	которых мы	3	15
208	утверждает что	3	15
209	далеко не	4	15
210	двух противоположных	2	15
211	еще не	9	15
212	для него	13	15
213	не можем	5	15
214	хотя бы	4	14
215	одной и	4	14
216	но он	3	14
217	очевидно что	5	14
218	и той	4	14
219	главным образом	4	14
220	то время	3	14
221	того как	12	14
222	прежде всего	8	14
223	что всякое	1	14
224	заключает в	6	14
225	такой же	4	14
226	что на	9	14
227	те же	4	14
228	в жизни	5	14
229	при таком	5	14
230	не то	3	14
231	этих двух	1	14
232	бы в	6	14
233	столь же	6	14
234	показывает что	3	14
235	должна быть	4	14
236	всяком случае	7	14
237	этом отношении	1	14
238	или в	4	14
239	есть только	16	14
240	в области	1	14
241	с ним	7	14
242	факт что	1	14
243	само по	6	14
244	именно в	2	13
245	не могли	2	13
246	могла бы	5	13
247	с такой	1	13
248	этот вопрос	2	13
249	знаем что	1	13
250	напротив того	1	13
251	в той	1	13
252	едва ли	1	13
253	говорит он	4	13
254	могло бы	4	13
255	как он	5	13
256	должен был	1	13
257	со стороны	11	13
258	и другие	1	12
259	в этих	10	12
260	их в	2	12
261	не менее	10	12
262	может служить	2	12
263	того же	13	12
264	в самой	5	12
265	тогда когда	15	12
266	сам по	5	12
267	в свою	8	12
268	и уже	6	12
269	состоит в	1	12
270	но если	4	12
271	и этот	1	12
272	и другое	7	12
273	и может	5	12
274	и с	3	12
275	например в	4	12
276	что по	3	12
277	как только	1	12
278	что этот	1	12
279	к психологии	1	12
280	что его	2	12
281	что не	15	12
282	этой точки	2	12
283	что самое	2	12
284	и до	1	12
285	действия и	1	12
286	ничего не	2	12
287	об этом	1	12
288	что эти	1	12
289	мы воспринимаем	1	12
290	в нашей	2	12
291	так например	5	11
292	понятно что	1	11
293	конечно не	1	11
294	не было	7	11
295	не будет	2	11
