N	2gram	Medvedev_F	Hudozhes
1	в качестве	2	31
2	в мире	4	24
3	и в	54	23
4	не только	14	20
5	состоит в	3	20
6	в том	17	20
7	при этом	14	19
8	может быть	30	19
9	в частности	4	18
10	художественной деятельности	1	17
11	и не	34	16
12	тогда как	1	15
13	но и	18	14
14	внутренней речи	1	14
15	литературного произведения	6	13
16	а не	11	13
17	но не	5	13
18	а в	11	13
19	в себе	4	13
20	в этом	39	12
21	то же	16	12
22	такого рода	1	12
23	так и	24	12
24	произведение искусства	4	12
25	и его	27	12
26	сводится к	6	11
27	как бы	10	11
28	точки зрения	21	11
29	в его	30	11
30	по отношению	4	10
31	но в	9	10
32	отношению к	4	10
33	своего рода	1	9
34	в душе	2	9
35	или иной	1	9
36	том что	3	9
37	с другой	8	9
38	не сводится	2	9
39	в искусстве	6	9
40	не в	16	9
41	не может	26	9
42	особого рода	1	8
43	себя в	1	8
44	в области	6	8
45	в то	14	8
46	что в	10	7
47	в самом	17	7
48	только в	6	7
49	в своей	16	7
50	в основе	7	7
51	же время	13	7
52	в отличие	2	7
53	отличие от	2	7
54	не столько	5	7
55	как это	8	7
56	по своей	1	7
57	лишь в	15	7
58	отношение к	4	7
59	другой стороны	5	6
60	в состав	1	6
61	более или	7	6
62	приводит к	4	6
63	уже не	9	6
64	можно сказать	2	6
65	с ее	7	6
66	художественного творчества	1	6
67	с его	12	6
68	мы имеем	1	6
69	в ее	10	6
70	а также	1	6
71	или менее	7	6
72	в нем	25	6
73	искусства в	4	6
74	художественного сознания	1	5
75	ни в	3	5
76	в виду	2	5
77	не на	3	5
78	что он	8	5
79	в художественном	5	5
80	не менее	12	5
81	не является	3	5
82	того чтобы	4	5
83	для того	3	5
84	со стороны	7	5
85	как к	5	5
86	для него	9	5
87	того что	7	5
88	прежде всего	34	5
89	с другими	11	5
90	в их	16	5
91	а на	2	5
92	или иначе	2	5
93	между ними	3	5
94	той или	1	5
95	самим собой	1	5
96	тем самым	5	5
97	то что	14	5
98	могут быть	7	5
99	место в	8	5
100	слова как	2	5
101	во втором	7	4
102	без исключения	2	4
103	так или	1	4
104	не следует	5	4
105	например в	1	4
106	отношения к	6	4
107	в слове	4	4
108	роли в	4	4
109	из которого	1	4
110	еще не	6	4
111	художественного восприятия	3	4
112	в данном	2	4
113	языка в	8	4
114	входит в	8	4
115	в другом	2	4
116	говорить о	4	4
117	сказать что	3	4
118	жизни как	1	4
119	к которому	2	4
120	в своем	12	4
121	к тому	6	4
122	на почве	20	4
123	и то	1	4
124	это не	4	4
125	в отношении	3	4
126	его в	5	4
127	не знает	1	4
128	и как	6	4
129	в этих	3	4
130	так в	3	4
131	а только	4	4
132	того или	6	4
133	произведения искусства	4	4
134	между тем	4	4
135	речи и	2	4
136	он не	8	4
137	и тем	3	4
138	и что	2	4
139	в форме	2	4
140	далеко не	2	4
141	со своей	1	4
142	и о	3	4
143	художественного произведения	27	4
144	в силу	1	4
145	или иного	8	4
146	хотя и	3	4
147	в той	3	3
148	и к	7	3
149	к действительности	3	3
150	на деле	1	3
151	и на	10	3
152	с этой	4	3
153	искусства это	1	3
154	литературы как	4	3
155	даже в	2	3
156	была бы	4	3
157	если бы	8	3
158	и сам	1	3
159	а именно	3	3
160	в жизни	3	3
161	имеет место	1	3
162	как и	18	3
163	к его	3	3
164	их в	2	3
165	никто не	2	3
166	тем не	2	3
167	культуры в	1	3
168	художественное произведение	8	3
169	и состоит	1	3
170	художественного целого	2	3
171	к нему	3	3
172	потому что	2	3
173	одной стороны	5	3
174	искусства и	5	3
175	как совокупность	1	3
176	отношении к	2	3
177	литературных произведений	5	3
178	в одном	2	3
179	не обязательно	1	3
180	о литературе	9	3
181	всех без	1	3
182	имеем в	1	3
183	известной степени	4	3
184	мог бы	1	3
185	это отношение	1	3
186	во всей	4	3
187	в структуре	2	3
188	из этих	4	3
189	и для	5	3
190	в системе	3	3
191	к содержанию	1	3
192	он должен	4	3
193	таким образом	28	3
194	на языке	2	3
195	по преимуществу	6	3
196	произведения как	3	3
197	с одной	5	3
198	том числе	1	3
199	в произведении	2	3
200	в художественной	2	3
201	с точки	17	3
202	знаковом материале	1	3
203	как раз	8	3
204	читателя в	1	3
205	и притом	2	3
206	связи с	12	3
207	но он	2	3
208	искусства как	2	3
209	в таком	2	3
210	в контексте	2	3
211	в связи	11	3
212	с художественной	3	3
213	или даже	3	3
214	по своему	1	3
215	во всех	9	3
216	в русской	1	3
217	в свою	8	3
218	с языком	1	3
219	в которой	5	3
220	не будет	2	3
221	иного жанра	1	3
222	говоря о	1	3
223	в пределах	13	3
224	этом смысле	3	3
225	художественной культуре	1	3
226	того же	1	3
227	тот или	2	3
228	слова в	2	3
229	в узком	1	3
230	и прежде	3	3
231	в точке	1	3
232	в целом	7	3
233	и ее	15	3
234	ведет к	1	2
235	более не	1	2
236	мире и	1	2
237	и другие	3	2
238	один из	4	2
239	жизни а	2	2
240	об искусстве	3	2
241	связей с	3	2
242	с ним	3	2
243	строго говоря	1	2
244	жить и	1	2
245	из которых	1	2
246	не как	7	2
247	в году	2	2
248	том и	1	2
249	по себе	10	2
250	в них	4	2
251	оно не	6	2
252	этой точки	1	2
253	художественное целое	1	2
254	самом деле	12	2
255	художественном языке	1	2
256	заключается в	1	2
257	все эти	12	2
258	именно в	12	2
259	по мысли	1	2
260	значения и	4	2
261	в порядке	1	2
262	значительной степени	3	2
263	из тех	1	2
264	с ними	1	2
265	как в	12	2
266	роль в	2	2
267	языка на	1	2
268	бы не	1	2
269	жизни в	2	2
270	отличается от	4	2
271	в итоге	1	2
272	которая не	1	2
273	в каком	1	2
274	жизни на	1	2
275	к другому	2	2
276	о том	1	2
277	не входит	2	2
278	при всем	1	2
279	свою очередь	6	2
280	это и	7	2
281	ни к	1	2
282	как художественное	1	2
283	во внешнем	2	2
