N	3gram	Bakhtin_Pr	Russkaja
1	друг с другом	3	14
2	то же время	13	10
3	в то же	13	10
4	с точки зрения	21	9
5	в том что	6	7
6	на самом деле	4	6
7	во всяком случае	4	6
8	для того чтобы	1	6
9	а между тем	1	5
10	до сих пор	9	5
11	не может быть	8	4
12	на то что	2	4
13	более или менее	4	4
14	бы то ни	3	4
15	во что бы	1	3
16	что бы то	1	3
17	при том условии	1	3
18	той или иной	1	3
19	в конце концов	7	3
20	можно было бы	3	3
21	в данном случае	2	3
22	в лучшем случае	2	3
23	в этом случае	1	3
24	не может не	1	3
25	и не может	6	3
26	то ни стало	1	3
27	что он не	1	2
28	с самим собой	1	2
29	в том и	2	2
30	и в том	1	2
31	ни одна из	1	2
32	того или иного	1	2
33	и во всяком	1	2
34	том и в	1	2
35	о котором идет	1	2
36	точно так же	1	2
37	в большинстве случаев	10	2
38	котором идет речь	1	2
39	но она не	1	2
40	и в другом	1	2
41	о том что	2	2
42	в себе и	2	2
43	сама по себе	5	2
44	не только к	1	2
45	к тому что	1	2
46	а следовательно и	2	2
47	в другом случае	1	2
48	друг от друга	1	2
49	в настоящее время	3	2
50	она не может	1	2
51	быть не может	1	1
52	что в большинстве	2	1
53	эта последняя может	1	1
54	здесь мы подходим	1	1
55	с другом как	1	1
56	в противном случае	1	1
57	его лежит не	1	1
58	но при этом	2	1
59	в самом деле	6	1
60	так чтобы в	1	1
61	и в жизни	1	1
62	лишь тогда когда	1	1
63	и в частности	1	1
64	что оно есть	1	1
65	может быть назван	1	1
66	дело в том	1	1
67	смысле этого слова	1	1
68	которая как мы	2	1
69	по себе еще	4	1
70	но в то	7	1
71	себе еще не	4	1
72	каждая из них	1	1
73	что же это	1	1
74	не могло бы	1	1
75	мы не знаем	1	1
76	том числе и	1	1
77	различны в зависимости	1	1
78	прежде всего на	1	1
79	как бы не	1	1
80	до известной степени	1	1
81	так же как	1	1
82	с нею и	1	1
83	и только в	1	1
84	его жизни и	1	1
85	тех или иных	1	1
86	по отношению к	12	1
87	такое положение в	1	1
88	есть то что	1	1
89	и вот в	1	1
90	как бы ни	1	1
91	и видеть в	1	1
92	и ту же	1	1
93	по крайней мере	2	1
94	прежде всего в	1	1
95	заключается в том	1	1
96	единство все же	1	1
97	а в том	1	1
98	и в других	2	1
99	с самого начала	1	1
100	на том же	1	1
101	но на самом	1	1
102	и что в	1	1
103	всяком случае не	1	1
104	второстепенную роль и	1	1
105	то ни было	2	1
106	о которых мы	1	1
107	то что для	1	1
108	сойтись друг с	1	1
109	одну и ту	1	1
110	на первый взгляд	1	1
111	тем что он	1	1
112	о себе самом	12	1
113	он не может	1	1
114	в связи с	1	1
115	то же самое	1	1
116	мы подходим к	1	1
117	в том же	1	1
118	что с точки	1	1
119	в том числе	1	1
120	тем не менее	2	1
121	в своем стремлении	1	1
122	но все же	3	1
123	того и другого	2	1
124	только то что	2	1
125	в другом месте	1	1
126	мы уже указали	1	1
127	по этому пути	1	1
128	может стремиться к	1	1
129	в этом отношении	3	1
130	перед нами не	1	1
131	в свою очередь	1	1
132	прежде всего необходимо	1	1
133	что он есть	2	1
134	точку зрения все	1	1
135	это и есть	1	1
136	приходится признать что	1	1
137	в его целом	6	1
138	в значительной степени	1	1
139	на этот вопрос	2	1
140	данном случае и	1	1
141	то и другое	1	1
142	зависит от того	1	1
143	а в нем	1	1
144	с нею в	1	1
145	неизбежно приводит к	1	1
146	к тому же	2	1
147	и в этом	5	1
148	в полной мере	1	1
149	идет не об	2	1
150	друг к другу	1	1
