N	2gram	Kanaev_Sov	RusskieA
1	и в	7	79
2	в том	4	64
3	том что	1	59
4	что в	2	57
5	не только	4	41
6	так как	4	34
7	в этом	7	33
8	как бы	4	31
9	в и	2	30
10	как и	6	28
11	может быть	12	28
12	в этот	1	26
13	одна из	3	24
14	о том	1	23
15	при этом	3	22
16	это не	4	20
17	а в	4	20
18	как мы	2	20
19	из них	4	19
20	xix в	1	18
21	все это	3	18
22	таким образом	11	17
23	вместе с	4	17
24	мы не	9	16
25	один из	1	15
26	не менее	2	14
27	тем не	2	14
28	и что	2	14
29	мы видели	4	14
30	и не	6	14
31	для нас	3	14
32	у нас	3	14
33	уже не	2	13
34	к этому	1	13
35	в некоторых	2	13
36	и по	2	13
37	еще не	3	13
38	не может	17	13
39	между собой	3	12
40	этом случае	1	12
41	мы имеем	1	12
42	в виде	2	12
43	а затем	1	11
44	следующим образом	3	11
45	не имеет	1	11
46	но это	1	11
47	а на	2	11
48	все же	3	10
49	его в	1	10
50	в течение	1	10
51	или в	1	10
52	по существу	1	10
53	то же	3	9
54	на части	1	9
55	и все	3	9
56	данном случае	1	9
57	но в	3	9
58	но не	1	9
59	представление о	1	8
60	так же	1	8
61	связи с	1	8
62	во всех	1	8
63	что это	2	8
64	их в	4	8
65	как например	1	8
66	в данном	1	8
67	же в	1	8
68	настоящее время	2	7
69	в своем	1	7
70	на них	1	7
71	к нему	1	7
72	не в	3	7
73	было бы	3	7
74	только в	1	7
75	еще в	1	7
76	из этих	2	7
77	а не	3	7
78	в настоящее	2	7
79	ничего не	6	7
80	не можем	7	7
81	мы должны	4	7
82	же как	1	6
83	только на	1	6
84	но они	1	6
85	в одном	3	6
86	что она	3	6
87	чем в	1	6
88	в таком	2	6
89	и у	1	6
90	на этом	2	6
91	в этой	3	6
92	в нем	3	6
93	видели что	3	6
94	должен был	1	6
95	приводит к	2	6
96	и более	1	6
97	и пр	2	6
98	в первый	1	6
99	не будем	2	6
100	все эти	5	6
101	так в	1	6
102	она не	1	6
103	и их	1	6
104	и к	3	5
105	с этим	2	5
106	вопрос о	4	5
107	с другой	1	5
108	не было	1	5
109	в связи	1	5
110	такие же	2	5
111	западной европе	1	5
112	мы уже	1	5
113	или же	2	5
114	можно было	1	5
115	там где	1	5
116	в то	1	5
