N	3gram	Tiupa_Teor	slovoVRo
1	не может быть	5	19
2	то же время	8	18
3	в то же	8	18
4	той или иной	3	15
5	с точки зрения	3	15
6	в отличие от	7	14
7	в той или	1	13
8	в отношении к	2	12
9	в большинстве случаев	1	11
10	с одной стороны	3	11
11	более или менее	6	9
12	в этом случае	1	9
13	в зависимости от	1	8
14	в значительной степени	2	7
15	но в то	2	7
16	и в то	2	6
17	с другой стороны	6	6
18	к чужому слову	1	6
19	в том что	10	5
20	по отношению к	10	5
21	может быть и	2	5
22	одной стороны и	1	4
23	для того чтобы	5	4
24	в известной степени	1	4
25	в свою очередь	3	4
26	то есть как	1	4
27	можно сказать что	3	4
28	в лучшем случае	1	4
29	не могут быть	2	4
30	в новое время	1	4
31	и в сущности	1	4
32	до известной степени	2	3
33	и то же	2	3
34	того или иного	6	3
35	человека и его	1	3
36	тех или иных	3	3
37	в данном случае	5	3
38	по ту сторону	1	3
39	в связи с	3	3
40	сама по себе	2	3
41	к тому что	2	3
42	в евгении онегине	1	3
43	как и в	2	3
44	в основе его	1	3
45	со всех сторон	1	3
46	включает в себя	2	3
47	одно и то	2	3
48	в истории литературы	1	3
49	своими корнями в	1	2
50	то или иное	1	2
51	с этой точки	2	2
52	тем не менее	3	2
53	то есть для	1	2
54	поэтического слова в	1	2
55	а между тем	1	2
56	в первом случае	1	2
57	не в качестве	1	2
58	здесь как бы	1	2
59	не только на	1	2
60	не только не	2	2
61	в известном смысле	2	2
62	а не только	1	2
63	в том и	1	2
64	отношение к своему	1	2
65	но прежде всего	1	2
66	иметь в виду	1	2
67	как в поэзии	1	2
68	о том что	1	2
69	этой точки зрения	2	2
70	тем и другим	1	2
71	в то время	1	2
72	то есть от	1	2
73	языка не может	1	2
74	бы они ни	1	2
75	они ни были	1	2
76	между автором и	1	2
77	уходит своими корнями	1	2
78	и в частности	1	2
79	и тем и	1	2
80	тот или иной	3	2
81	в контексте целого	1	1
82	что он не	1	1
83	все то что	1	1
84	одним из существеннейших	1	1
85	романного слова эта	1	1
86	слова так и	1	1
87	в конечном счете	6	1
88	по себе а	1	1
89	на задний план	1	1
90	точки зрения не	1	1
91	входит в эстетический	1	1
92	только в условиях	1	1
93	на мир глазами	1	1
94	при этом что	2	1
95	в xix веке	1	1
96	которые лежат в	1	1
97	мы говорим о	1	1
98	героев и их	1	1
99	дело не в	1	1
100	имеет дело со	1	1
101	в том числе	3	1
102	оттесняет на задний	1	1
103	том что она	1	1
104	бы ни был	1	1
105	отношений между людьми	1	1
106	как бы не	1	1
107	так или иначе	5	1
108	высказывания и в	1	1
109	не принадлежат к	1	1
110	в том случае	1	1
111	в особенности в	1	1
112	именно потому что	1	1
113	а также в	1	1
114	в иных случаях	1	1
115	по себе еще	1	1
116	речь идет о	1	1
117	не на языке	1	1
118	в его сознании	1	1
119	том числе и	2	1
120	при этом и	1	1
121	к автору и	1	1
122	и прежде всего	1	1
123	или даже вовсе	1	1
124	том что в	1	1
125	а в том	1	1
126	не могло быть	2	1
127	как это может	1	1
128	языки но и	1	1
129	такого языка в	1	1
130	и в пределах	1	1
131	то ни было	2	1
132	с его внешними	1	1
133	иметь место в	1	1
134	дистанции между ними	1	1
135	не входит в	1	1
136	чужой речи и	1	1
137	а не с	1	1
138	своему смыслу и	1	1
139	жизни на основании	1	1
140	во всей своей	1	1
141	бы то ни	2	1
142	перед нами не	1	1
143	в равной степени	3	1
144	весь его текст	1	1
145	могли бы быть	1	1
146	говорящего и его	1	1
147	шире и глубже	1	1
148	века и в	1	1
149	в нашем случае	2	1
150	может и не	1	1
151	в этих случаях	1	1
152	поэт не может	1	1
153	но в отличие	1	1
154	то есть в	1	1
155	никогда не бывает	1	1
156	что даже в	1	1
157	между собой в	1	1
158	лежат в основе	1	1
159	он не только	1	1
160	кто говорит и	2	1
161	по крайней мере	1	1
162	человек имеет дело	1	1
163	в данный момент	2	1
164	заключается в том	1	1
165	в эстетический объект	2	1
166	становления и развития	1	1
167	за ним всегда	1	1
168	имеем в виду	3	1
169	в последние десятилетия	1	1
170	в свое время	1	1
171	в виду не	3	1
172	в целом ряде	1	1
173	не менее чем	1	1
174	и не могла	1	1
175	как один из	1	1
176	между тем это	1	1
177	к одному из	1	1
178	может быть развернута	1	1
179	и романного слова	1	1
180	связи с этим	1	1
181	являются такими же	1	1
182	отношении к нему	1	1
183	но не знает	1	1
184	в противном случае	2	1
185	у нее нет	1	1
186	дело в том	1	1
187	как раз в	1	1
188	подобно тому как	3	1
189	рассеянной чужой речи	1	1
190	так же как	1	1
191	обоих типов но	1	1
192	мы имеем в	3	1
193	том что он	2	1
194	и оценки и	1	1
195	в нем по	1	1
196	не в самом	2	1
197	тем или иным	2	1
198	в русском языке	1	1
199	том случае если	1	1
200	языка но и	1	1
201	это возможно в	1	1
202	в таких случаях	1	1
203	однако при этом	2	1
204	становления мира в	1	1
205	точки зрения и	1	1
206	это было бы	1	1
