N	2gram	Berdyaev_M	Retstnzi
1	не может	39	4
2	и в	61	3
3	достоевского и	12	2
4	если в	2	2
5	в центре	4	2
6	один из	9	2
7	в иную	1	1
8	может быть	42	1
9	и истории	1	1
10	не только	42	1
11	первых своих	1	1
12	точки зрения	6	1
13	с точки	1	1
14	может не	3	1
15	для него	28	1
16	подхода к	1	1
17	в ней	23	1
18	тех же	1	1
19	права и	1	1
20	в каждом	4	1
21	не из	1	1
22	бы на	1	1
23	можно и	2	1
24	лучше всего	1	1
25	его от	1	1
26	если бы	5	1
27	смысл и	1	1
28	на примере	1	1
29	в его	10	1
30	ничего кроме	2	1
31	влияния на	1	1
32	не менее	1	1
33	и социальной	1	1
34	но и	34	1
35	мы видим	4	1
36	к тому	6	1
37	во второй	1	1
38	можно назвать	1	1
39	науку о	1	1
40	тому что	2	1
41	и можно	3	1
42	ней ничего	1	1
43	приведут к	1	1
44	в то	2	1
45	он в	4	1
46	то же	4	1
47	по своим	1	1
48	а не	36	1
49	бы в	3	1
50	нет и	6	1
51	и должно	3	1
52	и не	26	1
53	на нее	1	1
54	и все	13	1
55	и на	9	1
56	себя от	1	1
57	русской литературы	5	1
