N	2gram	Medvedev_S	IolandNe
1	стр и	1	7
2	что в	2	2
3	ничего не	1	2
4	и не	1	2
5	в этом	5	2
6	все эти	1	1
7	а в	1	1
8	и о	1	1
9	же это	1	1
10	тем что	1	1
11	с другой	1	1
12	в целом	1	1
13	более чем	3	1
14	очевидно что	2	1
15	автор не	1	1
16	слишком много	1	1
17	как только	2	1
18	отношению к	2	1
19	по существу	2	1
20	а с	1	1
21	стало быть	1	1
22	только для	1	1
23	так и	1	1
24	без этого	1	1
25	бы в	1	1
26	не дает	1	1
27	и в	3	1
28	никогда не	1	1
29	все это	7	1
30	по отношению	2	1
31	придется не	1	1
32	в них	1	1
