N	3gram	Voloshinov	Tragedij
1	то же время	7	5
2	в то же	9	5
3	в том что	1	2
4	и как бы	2	2
5	но в то	2	2
6	о чем он	1	2
7	бросается в глаза	1	2
8	между этими двумя	1	2
9	о том что	2	2
10	но все же	3	2
11	ничего не значит	1	1
12	выходящее за пределы	1	1
13	сильнее и сильнее	1	1
14	не только о	1	1
15	в одном из	1	1
16	друг друга и	1	1
17	в разговоре с	1	1
18	и при этом	1	1
19	смысле этого слова	2	1
20	в конце концов	3	1
21	это как бы	1	1
22	мысль о том	1	1
23	с тем и	2	1
24	ответа на вопрос	1	1
25	в той же	3	1
26	не может быть	2	1
27	все сильнее и	1	1
28	но при этом	2	1
29	в этом случае	3	1
30	что это значит?	1	1
31	по сравнению с	1	1
32	в нем ничего	1	1
33	с самого начала	4	1
34	не только не	1	1
35	значение выходящее за	1	1
36	в высшей степени	1	1
37	хотя бы и	1	1
38	как и в	1	1
39	в связи с	2	1
40	и все же	1	1
41	уже не к	1	1
42	в самом деле	2	1
43	к тому что	2	1
44	тем не менее	1	1
45	но уже не	1	1
46	он сказал что	1	1
47	отнюдь не был	1	1
48	на вопрос о	1	1
49	которой не может	1	1
50	что говорит о	1	1
51	и не может	1	1
52	и в этом	1	1
53	отнюдь не является	1	1
