N	3gram	Bakhtin_Fr	Tragedij
1	то же время	14	5
2	в то же	14	5
3	так и в	1	3
4	в том что	8	2
5	и как бы	2	2
6	и в частности	1	2
7	но в то	6	2
8	о чем он	1	2
9	в году в	1	2
10	это очень важно	2	2
11	в данном случае	4	2
12	о том что	5	2
13	и в самом	1	2
14	в отличие от	3	2
15	мы узнаем в	1	1
16	мировой литературы и	1	1
17	как своего рода	1	1
18	не только о	1	1
19	в разговоре с	1	1
20	что он не	1	1
21	все эти образы	2	1
22	в обоих случаях	1	1
23	и всегда будет	1	1
24	в конце концов	1	1
25	это как бы	1	1
26	своего отца и	1	1
27	никогда не был	1	1
28	с тем и	1	1
29	вместо того чтобы	1	1
30	не может быть	4	1
31	роль в романе	1	1
32	xii и xiii	2	1
33	же время он	1	1
34	с того что	1	1
35	в чем же	3	1
36	с самого начала	3	1
37	свою жизнь и	1	1
38	и то что	1	1
39	как и все	5	1
40	с начала и	1	1
41	подчеркнуть что образ	2	1
42	как и в	1	1
43	в связи с	5	1
44	в самом деле	2	1
45	это не просто	1	1
46	тем не менее	1	1
47	и до конца	1	1
48	в своей книге	1	1
49	в известной мере	5	1
50	это и есть	2	1
51	ко всему что	1	1
52	начала и до	1	1
53	второй части романа	1	1
54	по природе своей	1	1
55	после того как	1	1
56	все же не	1	1
57	никакой роли в	1	1
58	и не может	1	1
