N	2gram	Savitsky_E	Analitik
1	не только	18	71
2	тогда как	1	67
3	и в	37	66
4	в качестве	14	61
5	но и	14	57
6	в том	11	52
7	может быть	6	52
8	в этом	12	51
9	в частности	5	51
10	как и	7	50
11	и не	14	48
12	а не	2	42
13	при этом	1	40
14	том что	6	40
15	то есть	6	35
16	так и	10	35
17	в мире	2	31
18	представляет собой	3	30
19	состоит в	1	30
20	отнюдь не	9	29
21	как бы	6	29
22	не может	9	29
23	а в	2	28
24	в его	2	27
25	и его	1	27
26	не в	5	26
27	но не	5	26
28	всего лишь	3	24
29	в себе	9	24
30	иначе говоря	2	23
31	что в	21	22
32	и даже	6	22
33	к тому	8	22
34	в этой	2	22
35	лишь в	1	21
36	о том	3	20
37	в самом	4	19
38	то же	15	19
39	в своей	8	19
40	по отношению	1	19
41	с его	1	19
42	но в	14	19
43	в данном	3	18
44	в то	16	18
45	тем самым	5	17
46	с другой	7	17
47	только в	9	17
48	со стороны	5	17
49	или иной	4	17
50	что и	3	16
51	могут быть	2	16
52	то что	6	16
53	в пределах	25	16
54	и на	6	15
55	не есть	2	15
56	между тем	8	15
57	уже не	1	15
58	прежде всего	9	15
59	в их	11	15
60	в рамках	1	15
61	в принципе	1	14
62	не менее	1	14
63	того же	3	14
64	той или	4	14
65	же время	14	14
66	в отличие	1	14
67	данном случае	2	14
68	столь же	5	14
69	отличие от	1	14
70	далеко не	2	14
71	по себе	4	13
72	точки зрения	23	13
73	тому же	1	13
74	в случае	2	13
75	он не	2	13
76	этого слова	1	13
77	для него	1	13
78	а также	7	13
79	в начале	1	13
80	на уровне	2	13
81	и к	3	12
82	и сам	1	12
83	никогда не	3	12
84	как это	4	12
85	сводится к	1	12
86	как в	3	12
87	есть не	2	12
88	в той	5	11
89	даже в	4	11
90	по своей	2	11
91	в свою	3	11
92	той же	1	11
93	в сочетании	1	11
94	можно сказать	4	11
95	и как	2	11
96	во второй	3	11
97	именно в	4	10
98	все же	1	10
99	с одной	8	10
100	было бы	8	10
101	перед лицом	1	10
102	того или	4	10
103	один из	1	10
104	на себя	3	10
105	говорить о	1	9
106	говорит о	3	9
107	в результате	3	9
108	другой стороны	2	9
109	и того	2	9
110	одной стороны	8	9
111	свою очередь	2	9
112	в своем	14	9
113	таким образом	2	9
114	во всех	6	9
115	за пределы	1	9
116	или иного	4	9
117	имеет место	2	9
118	особого рода	1	9
119	вместе с	2	9
120	того что	7	9
121	дело с	1	8
122	одной из	5	8
123	в сторону	2	8
124	как известно	1	8
125	с ним	1	8
126	если бы	2	8
127	и все	2	8
128	не является	3	8
129	в основе	1	8
130	с точки	17	8
131	хотя и	2	8
132	этом отношении	3	8
133	одного из	1	8
134	во всяком	3	7
135	времени в	1	7
136	в одном	2	7
137	как мы	5	7
138	в нашем	1	7
139	который в	1	7
140	одна из	1	7
141	от себя	1	7
142	по природе	1	7
143	по преимуществу	2	7
144	как нам	5	7
145	внимание на	1	7
146	несмотря на	4	7
147	в ее	8	7
148	в таком	3	7
149	и тем	3	7
150	в свое	1	7
151	реальности в	1	7
152	в соответствии	1	7
153	всяком случае	3	7
154	и для	3	7
155	жизни но	1	7
156	со своим	1	7
157	однако не	1	7
158	в новом	1	7
159	на его	1	7
160	или иначе	1	7
161	место в	3	7
162	являет собой	1	7
163	как будто	2	7
164	вплоть до	1	7
165	во всем	1	6
166	для всех	1	6
167	те же	1	6
168	или в	2	6
169	казалось бы	1	6
170	одного и	1	6
171	хотя бы	15	6
172	вовсе не	6	6
173	из них	3	6
174	то в	4	6
175	что не	1	6
176	не будет	3	6
177	в силу	2	6
178	в нем	1	6
179	если в	2	6
180	на этом	1	6
181	из того	2	6
182	не более	3	6
183	и более	2	6
184	соответствии с	1	6
185	в сознании	1	6
186	более чем	2	6
187	и то	2	6
188	уже в	1	6
189	есть в	2	6
190	ли не	1	6
191	тем более	4	6
192	полной мере	1	6
193	в полной	4	6
194	же в	2	6
195	что на	2	6
196	все что	1	5
197	которая в	1	5
198	к числу	1	5
199	не как	1	5
200	а затем	1	5
201	в состав	1	5
202	в этих	2	5
203	в них	3	5
204	мысль о	1	5
205	тем что	3	5
206	речь идет	1	5
207	в котором	2	5
208	входит в	1	5
209	при рассмотрении	1	5
210	для того	6	5
211	для себя	1	5
212	в эту	2	5
213	с другими	2	5
214	к жизни	1	5
215	не о	1	5
216	и до	1	5
217	но как	2	5
218	и по	5	5
219	и потому	5	5
220	с ее	1	5
221	в культуре	3	5
222	во втором	2	5
223	связывается с	1	5
224	не могут	2	5
225	с таким	1	5
226	жизни в	3	5
227	что мы	1	5
228	на примере	1	5
229	он в	1	5
230	в аспекте	1	5
231	тот же	1	5
232	на вопрос	1	5
233	мы не	4	5
234	с той	1	5
235	с их	1	5
236	в общем	3	5
237	в глубине	1	5
238	все эти	1	5
239	одно из	1	5
240	и их	1	5
241	еще в	1	5
242	такой же	2	5
243	мира в	4	5
244	связь с	1	4
245	в своих	2	4
246	что по	1	4
247	большей или	1	4
248	нам представляется	1	4
249	с этим	2	4
250	значительной степени	1	4
251	что же	2	4
252	сказать что	4	4
253	известной степени	3	4
254	к нему	2	4
255	ни было	4	4
256	не было	1	4
257	лишь на	1	4
258	между ними	2	4
259	в двух	1	4
260	на себе	1	4
261	бы в	2	4
262	могли бы	1	4
263	не сводится	1	4
264	то ни	4	4
265	и что	2	4
266	этом смысле	3	4
267	или меньшей	1	4
268	известном смысле	3	4
269	и от	3	4
270	его к	1	4
271	однако с	1	4
272	в отношении	32	4
273	а именно	2	4
274	с ними	1	4
275	который не	1	4
276	в известном	3	4
277	и т	1	4
278	потому что	3	4
279	того чтобы	6	4
280	и если	2	4
281	или иных	1	4
282	вслед за	6	4
283	и во	2	4
284	но это	1	4
285	обратиться к	1	4
286	ее в	3	4
287	в полном	1	4
288	бы и	3	4
289	нас к	2	4
290	по своему	7	4
291	об этом	1	4
292	тех или	1	4
293	в значительной	2	4
294	на основе	2	4
295	и ее	1	4
296	и о	1	4
297	в области	11	4
298	или точнее	2	4
299	более того	1	4
300	в центре	1	3
301	человеческой жизни	1	3
302	к этой	1	3
303	с этой	6	3
304	тем как	1	3
305	какой бы	2	3
306	быть может	1	3
307	и с	2	3
308	в жизни	1	3
309	с тем	3	3
310	тем в	3	3
311	в такой	1	3
312	при условии	2	3
313	вопрос о	4	3
314	уже о	1	3
315	и те	1	3
316	от своей	1	3
317	себе в	3	3
318	то его	1	3
319	и далее	1	3
320	следует оговориться	1	3
321	как на	3	3
322	в мировом	1	3
323	что все	2	3
324	приобщения к	1	3
325	в противном	1	3
326	гораздо более	1	3
327	всего в	2	3
328	бы то	4	3
329	должно быть	1	3
330	в состоянии	1	3
331	связи с	1	3
332	и всего	1	3
333	очевидно что	3	3
334	в связи	1	3
335	между собой	2	3
336	что как	1	3
337	он сам	2	3
338	а для	1	3
339	человеческого бытия	1	3
340	включает в	1	3
341	отрекается от	1	3
342	в тех	1	3
343	и тот	1	3
344	а тем	2	3
345	бы ни	3	3
346	оно может	1	3
347	всех этих	1	3
348	означает что	1	3
349	нам кажется	7	3
350	в столь	1	3
351	например в	1	3
352	тогда когда	2	3
353	поэтому в	1	3
354	борьбы с	1	3
355	себе не	3	3
356	можно было	3	3
357	оно не	1	3
358	не случайна	1	3
359	если не	1	3
360	заключается в	2	3
361	поскольку в	1	3
362	ли он	1	3
363	о котором	1	3
364	только одно	2	3
365	тех же	1	3
366	поскольку он	2	3
367	для нее	1	3
368	в обоих	1	3
369	и наоборот	1	3
370	она может	1	3
371	мог бы	2	3
372	на этот	2	3
373	его можно	1	3
374	как кажется	1	3
375	так как	7	3
376	том числе	1	3
377	дело в	3	3
378	оговориться что	1	3
379	но с	2	3
380	понимать как	1	3
381	в какой	2	3
382	при таком	1	3
383	противном случае	1	3
384	мира и	3	3
385	один и	1	3
386	не говоря	2	3
387	ко всему	2	3
388	только к	2	3
389	она не	2	3
390	также и	7	3
391	в ней	4	3
392	независимо от	4	3
393	мы должны	2	3
394	этих случаях	1	3
395	идет о	3	3
396	которые в	1	3
397	когда он	3	3
398	жизни и	2	3
399	все еще	1	3
400	на то	6	3
401	ведь и	2	3
402	для этого	1	3
403	и наконец	2	3
404	не к	2	3
405	по нашему	3	3
406	ничего иного	1	2
407	является в	1	2
408	более высокой	1	2
409	которой могут	1	2
410	говоря уже	2	2
411	о будущем	1	2
412	за исключением	1	2
413	еще более	2	2
414	в применении	3	2
415	тому что	1	2
416	следует что	1	2
417	в разных	1	2
418	ни столь	2	2
419	не являются	1	2
420	или иному	2	2
421	далее в	1	2
422	и другими	1	2
423	долгое время	2	2
424	как было	3	2
425	мыслится как	1	2
426	от них	3	2
427	ко всем	1	2
428	более или	1	2
429	тому или	2	2
430	культуры в	4	2
431	в рассуждении	2	2
432	любви к	1	2
433	применении к	3	2
434	имеет в	2	2
435	и иных	1	2
436	и неизбежно	1	2
437	во многих	4	2
438	совершенно очевидно	2	2
439	из перечисленных	1	2
440	войти в	1	2
441	существенное значение	1	2
442	как совокупность	4	2
443	но они	1	2
444	на пути	1	2
445	связь между	1	2
446	не обязательно	1	2
447	принадлежит не	1	2
448	уже и	3	2
449	так же	9	2
450	всегда и	1	2
451	в прошлом	3	2
452	этого мира	1	2
453	к ним	3	2
454	тех случаях	1	2
455	быть в	1	2
456	к которому	1	2
457	во всей	2	2
458	в стране	2	2
459	а впоследствии	1	2
460	друг с	3	2
461	в отдельных	1	2
462	она есть	1	2
463	они могут	1	2
464	чем это	1	2
465	но сама	1	2
466	ближе к	1	2
467	ее и	1	2
468	мы видим	2	2
469	его частей	1	2
470	получает в	1	2
471	т е	9	2
472	что при	1	2
473	бытия и	1	2
474	мы можем	3	2
475	что между	1	2
476	то она	1	2
477	которое дает	1	2
478	том же	1	2
479	как его	1	2
480	исходит из	1	2
481	всех и	1	2
482	следует понимать	1	2
483	между прочим	7	2
484	одном из	2	2
485	о которых	1	2
486	же касается	1	2
487	выступает в	1	2
488	что даже	1	2
489	не означает	2	2
490	ни для	1	2
491	к любой	1	2
492	не придет	1	2
493	этой точки	5	2
494	вообще не	3	2
495	и та	2	2
496	этот вопрос	2	2
497	когда мы	1	2
498	к первому	1	2
499	культуры и	2	2
500	что во	1	2
501	что может	1	2
502	мы будем	1	2
503	в мировой	1	2
504	и сами	1	2
505	мире и	1	2
506	утверждать что	2	2
507	та же	1	2
508	что это	2	2
509	истории в	1	2
510	творчества и	1	2
511	на месте	2	2
512	даже не	1	2
513	в процессе	4	2
514	не имеет	4	2
515	может не	1	2
516	придет к	1	2
517	думать что	8	2
518	нет ничего	1	2
519	всех частей	1	2
520	бы с	1	2
521	в течение	5	2
522	весьма часто	1	2
523	время в	3	2
524	в которую	1	2
525	от других	1	2
526	констатировать что	2	2
527	при помощи	2	2
528	части этого	1	2
529	но от	1	2
530	начиная с	2	2
531	для всего	1	2
532	который по	1	2
533	но если	5	2
534	мира не	2	2
535	в самой	1	2
536	что автор	1	2
537	одних и	1	2
538	или к	1	2
539	значение в	1	2
540	рода и	1	2
541	зависит от	1	2
542	что с	1	2
543	способность к	1	2
544	для нас	4	2
545	не способен	1	2
546	у нас	1	2
547	многих отношениях	1	2
548	смысле этого	1	2
549	как нечто	1	2
550	реальности это	1	2
551	в ином	1	2
552	осуществляется в	1	2
553	иными словами	4	2
554	с теми	1	2
555	в ту	1	2
556	случаях когда	2	2
557	перед собой	1	2
558	на всем	4	2
559	бы дать	1	2
560	с другом	3	2
561	или менее	1	2
562	и таким	2	2
563	в одной	1	2
564	а на	1	2
565	всех прочих	2	2
566	там где	3	2
567	единое целое	1	2
568	то и	1	2
569	это случается	1	2
570	к тем	1	2
571	частности в	2	2
572	или из	1	2
573	кажется не	1	2
574	что из	1	2
575	в большинстве	2	2
576	не можем	2	2
577	по этому	1	2
578	и прежде	3	2
579	все более	9	2
580	и только	3	2
581	и ту	2	2
582	на большей	1	2
583	жизнью и	1	2
584	с которыми	1	1
585	они являются	1	1
586	поскольку не	1	1
587	бы столь	1	1
588	и другие	1	1
589	пределах одного	1	1
590	каждой из	1	1
591	для сферы	1	1
592	различия в	3	1
593	не увидит	1	1
594	ко второй	1	1
595	в сферу	2	1
596	и имеет	2	1
597	или по	2	1
598	в стороне	3	1
599	а у	1	1
600	для возникновения	1	1
601	в большей	1	1
602	положения и	1	1
603	по общему	3	1
604	общего плана	1	1
605	с более	3	1
606	нас в	1	1
607	например с	2	1
608	мы именуем	1	1
609	только тогда	1	1
610	чтобы на	1	1
611	с собой	1	1
612	в рамки	1	1
613	чтобы в	1	1
614	своих частях	1	1
615	на свой	1	1
616	но все	1	1
