N	2gram	Losev_Vlad	BTomashe
1	у нас	11	3
2	все это	7	2
3	в ней	5	2
4	не то	3	2
5	больше чем	2	2
6	и не	33	2
7	видеть в	1	2
8	неудивительно что	1	1
9	вопрос о	1	1
10	говорить о	1	1
11	и о	6	1
12	о них	1	1
13	было и	1	1
14	не только	35	1
15	в композиции	1	1
16	таким образом	6	1
17	не было	12	1
18	в эпоху	1	1
19	прежде всего	5	1
20	книги в	1	1
21	и в	56	1
22	на самом	1	1
23	так и	11	1
24	на которой	1	1
25	признать его	1	1
26	по теории	1	1
27	в своей	7	1
28	во всяком	8	1
29	и потому	8	1
30	и во	3	1
31	также что	2	1
32	за пределы	3	1
33	по крайней	1	1
34	с другой	3	1
35	об этом	13	1
36	как будто	2	1
37	этой книги	3	1
38	совершенно не	2	1
39	не о	1	1
40	другой стороны	3	1
41	крайней мере	1	1
42	всяком случае	8	1
43	кроме того	12	1
44	было бы	7	1
45	не мешало	2	1
46	не следует	1	1
47	одной из	2	1
48	в значительной	1	1
49	в данном	1	1
50	более что	2	1
51	необходимо отметить	1	1
52	в области	3	1
53	отметим следующие	1	1
54	далеко не	1	1
55	тем более	4	1
56	того замечания	1	1
57	не вполне	3	1
58	то как	2	1
59	и более	1	1
60	что все	2	1
61	никак не	6	1
62	его не	2	1
63	будто бы	2	1
64	более подробно	2	1
65	а не	5	1
66	отметить также	1	1
67	отнюдь не	3	1
68	до конца	8	1
69	и на	7	1
70	между ними	2	1
71	свою книгу	2	1
72	еще не	2	1
73	учебное пособие	1	1
74	к ней	7	1
75	все же	11	1
76	что в	24	1
