N	4gram	Propp_Isto	Mirosoze
1	и вместе с тем	2	5
2	в то время как	3	4
3	не что иное как	3	4
4	в том что он	1	3
5	так же как и	1	3
6	есть не что иное	2	3
7	о том что в	1	2
8	что они не могут	1	1
9	двойственность с одной стороны	1	1
10	я не думаю чтобы	1	1
11	говорят о том что	1	1
12	не сам по себе	1	1
13	после того как он	2	1
14	также в значительной степени	1	1
15	это не значит что	1	1
16	есть вместе с тем	1	1
17	они до сих пор	1	1
18	с тем что в	1	1
19	играет огромную роль в	1	1
20	в тех случаях когда	1	1
21	в ту же минуту	1	1
22	мы увидим что он	1	1
23	не может быть названо	1	1
24	это приводит нас к	1	1
25	не может быть назван	1	1
