N	2gram	Vygotskiy_	PoTuStor
1	может быть	25	17
2	и в	38	16
3	таким образом	36	9
4	в этом	35	9
5	прежде всего	6	9
6	мы можем	13	9
7	и только	4	9
8	совершенно не	1	8
9	точки зрения	27	8
10	и с	5	8
11	не может	11	8
12	и его	5	8
13	не только	16	7
14	в сознание	1	7
15	сказать что	10	7
16	с его	3	7
17	и к	9	6
18	при этом	13	6
19	для него	6	6
20	самом деле	4	6
21	и это	7	6
22	конечно не	1	6
23	с точки	11	6
24	что такое	1	5
25	ни в	12	5
26	все эти	9	5
27	в чем	2	5
28	еще не	6	5
29	как бы	17	5
30	отношение к	1	5
31	нуждается в	1	5
32	в него	4	5
33	все что	4	4
34	для всех	1	4
35	и на	9	4
36	так как	19	4
37	все это	8	4
38	в его	22	4
39	так и	11	4
40	его в	8	4
41	и даже	4	4
42	и все	5	4
43	с ними	3	4
44	только в	16	4
45	и не	16	4
46	но мы	1	4
47	можно сказать	2	4
48	с самого	6	4
49	но и	9	4
50	хотя бы	2	4
51	и может	4	4
52	и их	4	4
53	самого начала	6	4
54	в этой	7	4
55	как мы	14	4
56	отнюдь не	6	4
57	в нем	4	4
58	с ее	5	4
59	в один	4	4
60	и ее	1	4
61	но в	4	4
62	ребенка и	20	3
63	до сих	3	3
64	в основном	6	3
65	в том	59	3
66	мы знаем	10	3
67	полагаем что	1	3
68	те же	6	3
69	с другими	3	3
70	с их	3	3
71	представлений и	1	3
72	на этой	7	3
73	между ними	6	3
74	в конечном	2	3
75	ступенях развития	1	3
76	их в	6	3
77	отношения к	1	3
78	этом смысле	7	3
79	и как	11	3
80	что в	31	3
81	том что	44	3
82	вместе с	18	3
83	на этом	3	3
84	в этих	4	3
85	сравнению с	4	3
86	и оно	1	3
87	во всех	3	3
88	во всяком	10	3
89	и потому	2	3
90	в основе	32	3
91	и притом	1	3
92	тех же	2	3
93	по сравнению	6	3
94	как это	16	3
95	только на	2	3
96	в одном	4	3
97	и значение	2	3
98	даже не	1	3
99	а в	7	3
100	в большинстве	1	3
101	то что	27	3
102	никаких оснований	1	3
103	мы полагаем	2	3
104	на две	2	3
105	и др	1	3
106	могут быть	9	3
107	сих пор	3	3
108	в общем	1	3
109	в области	9	3
110	всяком случае	10	3
111	во время	3	3
112	едва ли	6	3
113	в самом	8	2
114	в свое	2	2
115	мы видим	13	2
116	что оно	8	2
117	и этот	1	2
118	это делает	1	2
119	и мы	2	2
120	к другим	2	2
121	они не	4	2
122	почти не	1	2
123	т.е в	2	2
124	возникает в	2	2
125	мы не	14	2
126	с этой	6	2
127	ни было	2	2
128	что это	8	2
129	аналогии с	2	2
130	ее в	2	2
131	в область	2	2
132	может иметь	1	2
133	для нас	6	2
134	и через	1	2
135	но как	4	2
136	что и	14	2
137	этой ступени	6	2
138	ранних ступенях	3	2
139	быть может	2	2
140	сводится к	1	2
141	у него	3	2
142	не на	2	2
143	не могут	5	2
144	со всеми	9	2
145	в них	3	2
146	из сказанного	1	2
147	и других	4	2
148	эти понятия	1	2
149	не знает	1	2
150	всех его	1	2
151	так называемый	1	2
152	по аналогии	1	2
153	что не	1	2
154	и действительно	1	2
155	конечном счете	1	2
156	здесь же	1	2
157	вообще не	3	2
158	в жизни	3	2
159	но ведь	1	2
160	является по	2	2
161	как и	20	2
162	что он	13	2
163	есть в	1	2
164	же как	10	2
165	не есть	5	2
166	только то	1	2
167	в своей	9	2
168	связанные с	3	2
169	как с	4	2
170	по своему	14	2
171	находится на	1	2
172	только и	2	2
173	войти в	1	2
174	знаем что	1	2
175	не менее	8	2
176	в каком	3	2
177	путь к	3	2
178	и таким	1	2
179	на первый	5	2
180	и вообще	1	2
181	не удается	1	2
182	с этим	6	2
183	не имеющие	2	2
184	к этому	5	2
185	оно не	3	2
186	не существует	1	2
187	между собой	15	2
188	что мы	18	2
189	это нечто	1	2
190	это последнее	1	2
191	мы уже	8	2
192	другими словами	3	2
193	все остальные	2	2
194	из этих	5	2
195	на друга	3	2
196	ту же	2	2
197	на основе	29	2
198	совсем не	1	2
199	и содержание	1	2
200	этих трех	1	2
201	в этот	1	2
202	он не	6	2
203	и исторического	1	2
204	и т.п	3	2
205	в развитии	46	2
206	с помощью	64	2
207	в частности	4	2
208	не будет	2	2
209	характерно для	1	2
210	и лишь	1	2
211	и вся	1	2
212	говорить о	1	2
213	есть и	2	2
214	за пределы	1	2
215	в начале	5	2
216	в мир	1	2
217	в пределах	1	2
218	так же	26	2
219	цели и	2	2
220	момента в	2	2
221	друг на	3	2
222	было бы	15	2
223	что можно	1	2
224	т.е не	1	2
225	нет и	1	2
226	своей жизни	1	2
227	если мы	12	2
228	необходимость и	1	2
229	с нею	2	2
230	находится в	4	2
231	что на	2	2
232	о том	6	2
233	во всей	3	2
234	можем сказать	1	2
235	один из	8	2
236	и по	5	2
237	с ним	4	2
238	определить как	1	2
239	нет никаких	6	2
240	но это	7	2
241	и для	4	2
242	для этого	3	2
243	того же	12	2
244	понятия и	8	2
245	то же	18	2
246	сделать это	1	2
247	не можем	4	2
248	образов и	2	2
249	представлениями и	1	2
250	никогда не	11	2
251	для самого	1	1
252	и ту	1	1
253	что было	1	1
254	чрезвычайно характерная	1	1
255	его состав	4	1
256	во всем	7	1
257	о поведении	1	1
258	бы то	1	1
259	они являются	8	1
260	мире и	1	1
261	по мнению	1	1
262	объекта на	1	1
263	от нее	4	1
264	что они	23	1
265	одних и	1	1
266	и то	9	1
267	никак нельзя	2	1
268	в другой	2	1
269	этих первых	1	1
270	бы сделать	1	1
271	в единую	1	1
272	образом и	1	1
273	или к	1	1
274	но никогда	1	1
275	первый и	1	1
276	мышления не	2	1
277	мышления в	29	1
278	даны в	3	1
279	и здесь	5	1
280	та же	3	1
281	для ребенка	12	1
282	не оставляет	1	1
283	по самым	2	1
284	мы и	4	1
285	самым существенным	1	1
286	и первую	1	1
287	же и	2	1
288	со всем	1	1
289	друга в	1	1
290	данном случае	1	1
291	различие между	2	1
292	только что	5	1
293	на вопрос	1	1
294	в психологии	1	1
295	на нашу	1	1
296	нашим понятием	1	1
297	их лежит	2	1
298	первый этап	1	1
299	которая в	1	1
300	человека имеет	1	1
301	и того	5	1
302	чем на	1	1
303	с одной	8	1
304	уже в	10	1
305	речи для	3	1
306	наших глазах	2	1
307	на ее	1	1
308	ним и	1	1
309	внимание на	4	1
310	при объяснении	1	1
311	мог бы	5	1
312	тогда когда	10	1
313	в состоянии	1	1
314	не чем	1	1
315	комплекс мы	1	1
316	заранее что	1	1
317	дело с	3	1
318	одна и	1	1
319	мы имеем	6	1
320	еще более	1	1
321	в применении	1	1
322	это и	1	1
323	несмотря на	1	1
324	и основной	2	1
325	говорит и	2	1
326	процессы и	1	1
327	без точного	1	1
328	и чрезвычайно	1	1
329	для всего	2	1
330	и сознание	1	1
331	следует что	1	1
332	хотя и	2	1
333	в разных	1	1
334	по принципу	1	1
335	этом отношении	9	1
336	в сновидении	3	1
337	самое важное	3	1
338	и оперирует	1	1
339	с тем	18	1
340	имеем дело	2	1
341	что при	3	1
342	в сущности	3	1
343	он что	1	1
344	только не	2	1
345	похоже на	1	1
346	никакому сомнению	2	1
347	как раз	1	1
348	в некоторых	1	1
349	и внутренними	1	1
350	думается нам	2	1
351	оценок но	1	1
352	говорит о	1	1
353	методический путь	1	1
354	привести к	2	1
355	о нем	2	1
356	день и	1	1
357	что только	1	1
358	в качестве	25	1
359	задолго до	2	1
360	исследования мы	1	1
361	нас в	4	1
362	и определение	2	1
363	не являются	4	1
364	для объяснения	2	1
365	ребенка не	1	1
366	важный момент	1	1
367	у нас	1	1
368	здесь в	2	1
369	теряет свою	1	1
370	для них	3	1
371	могут вступать	1	1
372	и другими	2	1
373	и делает	1	1
374	другую и	1	1
375	в виду	4	1
376	я не	1	1
377	основной вопрос	1	1
378	т.е те	1	1
379	подобно тому	1	1
380	всей ее	1	1
381	в русском	1	1
382	что между	1	1
383	можно было	10	1
384	содержания как	1	1
385	связанная с	1	1
386	есть еще	2	1
387	всего могут	1	1
388	свой метод	1	1
389	несводимый к	1	1
390	связь с	4	1
391	одну и	1	1
392	как они	5	1
393	в своих	3	1
394	наконец мы	1	1
395	ребенком и	4	1
396	не опирается	1	1
397	мы на	1	1
398	связи с	14	1
399	психологии и	1	1
400	или во	1	1
401	приходим к	2	1
402	этой точки	4	1
403	на этот	5	1
404	представляет собою	1	1
405	если бы	12	1
406	столь же	7	1
407	в конкретной	2	1
408	а во-вторых	1	1
409	не говорит	1	1
410	и сам	4	1
411	слов не	1	1
412	с ней	4	1
413	и можно	1	1
414	определения и	2	1
415	из сознания	1	1
416	этой фазе	2	1
417	комплекса при	1	1
418	но эта	1	1
419	это мы	3	1
420	оно есть	1	1
421	он может	1	1
422	и столь	1	1
423	даже более	1	1
424	но не	7	1
425	менее всего	2	1
426	и эта	4	1
427	как его	1	1
428	его мысли	1	1
429	развития в	4	1
430	в эпоху	1	1
431	и новых	1	1
432	из того	4	1
433	основания предполагать	1	1
434	под давлением	1	1
435	и связанные	1	1
436	деятельности не	3	1
437	в конце	1	1
438	и форму	1	1
439	здесь действуют	1	1
440	случае не	1	1
441	в корне	2	1
442	бы оно	1	1
443	в связи	9	1
444	находит себе	1	1
445	те формы	2	1
446	она служит	1	1
447	и они	1	1
448	пределах своего	1	1
449	не подлежит	2	1
450	этой цели	1	1
451	поведения и	2	1
452	может стать	2	1
453	что по	2	1
454	с теми	2	1
455	чем иным	1	1
456	в мире	2	1
457	все же	11	1
458	результатов может	1	1
459	всеми его	1	1
460	том смысле	3	1
461	совершенно новой	1	1
462	не что	2	1
463	в следующем	4	1
464	как ее	1	1
465	от этого	6	1
466	приводит к	5	1
467	на все	2	1
468	не имеет	3	1
469	и могут	2	1
470	может привести	1	1
471	с любым	1	1
472	новым является	1	1
473	выше мы	1	1
474	по его	1	1
475	ступени развития	7	1
476	существенным моментом	1	1
477	в свете	2	1
478	ключом к	4	1
479	он является	1	1
480	зависимости от	7	1
481	к логическому	1	1
482	в себя	3	1
483	комплекса может	1	1
484	своей власти	1	1
485	значение как	3	1
486	роль в	5	1
487	со стороны	1	1
488	на его	5	1
489	первой стадии	1	1
490	словами мы	1	1
491	держится это	1	1
492	с другом	10	1
493	в смысле	9	1
494	выводы в	1	1
495	различные формы	2	1
496	но если	2	1
497	полагает что	2	1
498	говорит об	2	1
499	словами и	1	1
500	сейчас же	1	1
501	отношении и	1	1
502	вовсе не	5	1
503	уже не	3	1
504	основные тенденции	1	1
505	к тому	8	1
506	это самое	1	1
507	притом чисто	1	1
508	ассоциативных связей	3	1
509	чем бы	1	1
510	не входит	1	1
511	всем его	1	1
512	связано с	2	1
513	на одном	2	1
514	развития именно	1	1
515	той или	2	1
516	а вместе	1	1
517	однако не	3	1
518	свое время	2	1
