N	2gram	Trubetskoy	ViktorSh
1	конце концов	3	2
2	в конце	3	2
3	и в	14	2
4	в том	17	2
5	том что	9	2
6	в другом	3	1
7	но это	2	1
8	столь же	1	1
9	том же	2	1
10	по существу	5	1
11	главным образом	3	1
12	в самом	3	1
13	как же	1	1
14	чем больше	1	1
15	и т.д	4	1
16	для них	3	1
17	говорили в	2	1
18	а только	1	1
19	именно в	3	1
20	этому и	1	1
21	ни к	7	1
22	играет ибо	1	1
23	самом деле	7	1
24	другом месте	1	1
25	ясно что	2	1
26	с большой	1	1
27	говоря о	2	1
28	в частности	2	1
29	и то	4	1
30	крайней мере	1	1
31	и заключается	1	1
32	к созданию	1	1
33	этом и	2	1
34	время в	2	1
35	сводится к	3	1
36	даже не	2	1
37	теснейшим образом	1	1
38	к чему	2	1
39	значительной степени	1	1
40	хотя бы	5	1
41	других и	1	1
42	тем более	1	1
43	по крайней	1	1
44	в которых	1	1
45	к этому	1	1
46	только в	5	1
47	не играет	2	1
48	потому что	5	1
49	в значительной	3	1
50	в их	4	1
51	образом связаны	1	1
52	роли не	1	1
53	и только	5	1
54	то же	11	1
55	по своим	1	1
56	и не	19	1
57	дело в	1	1
58	да и	3	1
59	в этом	17	1
60	так как	4	1
61	все это	6	1
62	совершенно ясно	1	1
