N	3gram	Medvedev_F	formyVre
1	и т п	11	32
2	то же время	13	21
3	в то же	13	18
4	в связи с	9	15
5	с точки зрения	17	15
6	для того чтобы	3	12
7	но и в	4	12
8	и в то	4	10
9	до сих пор	7	10
10	в большинстве случаев	5	8
11	в том числе	1	8
12	и прежде всего	2	8
13	и т д	11	7
14	не может быть	11	7
15	в отличие от	2	7
16	в этом отношении	7	7
17	прежде всего в	5	7
18	друг от друга	2	6
19	и в этом	6	6
20	а также и	1	6
21	и в особенности	1	6
22	имеем в виду	1	6
23	во всех этих	1	6
24	с одной стороны	5	6
25	в том что	3	5
26	одной стороны и	4	5
27	том числе и	1	5
28	на первый план	1	5
29	как и в	1	5
30	мы имеем в	1	5
31	в широком смысле	2	5
32	вполне понятно что	1	4
33	по отношению к	4	4
34	и во всех	1	4
35	же что и	1	4
36	прежде всего необходимо	1	4
37	не для того	1	4
38	и в других	1	4
39	не могло быть	1	4
40	как если бы	2	4
41	но все же	2	4
42	с другой стороны	4	4
43	в его целом	8	4
44	в последнем счете	2	4
45	равно как и	1	4
46	бы ни были	2	4
47	связи с этим	4	4
48	в этом случае	1	4
49	во всяком случае	6	4
50	может быть и	4	4
51	но все эти	2	3
52	и как бы	1	3
53	все то что	1	3
54	в литературе и	1	3
55	до известной степени	3	3
56	по сравнению с	1	3
57	во всех ее	1	3
58	в этом процессе	2	3
59	здесь все время	1	3
60	сами по себе	4	3
61	все же в	1	3
62	но при этом	1	3
63	в зависимости от	4	3
64	между этими двумя	2	3
65	не похож на	1	3
66	может быть конечно	1	3
67	к вопросу о	1	3
68	как мы увидим	3	3
69	как раз и	4	3
70	особенно важное значение	1	3
71	вместе с тем	5	3
72	громадное влияние на	1	3
73	же как и	1	3
74	в точном смысле	1	3
75	и в частности	2	3
76	но в то	3	3
77	так же как	1	3
78	как бы ни	3	3
79	с самого начала	2	3
80	так и в	6	3
81	ни в чем	1	3
82	тот или иной	1	3
83	в его основных	1	2
84	так сказать в	2	2
85	во всей ее	1	2
86	место и в	1	2
87	в ее целом	3	2
88	может войти в	2	2
89	бы она ни	3	2
90	в строгом смысле	2	2
91	только на почве	2	2
92	рядом с этим	1	2
93	все более и	3	2
94	в особенности в	1	2
95	или с точки	1	2
96	произведения и в	1	2
97	со всем этим	1	2
98	могут быть названы	1	2
99	людей и вещей	1	2
100	быть и речи	1	2
101	в данном случае	2	2
102	а вовсе не	2	2
103	роль в истории	2	2
104	самому своему существу	1	2
105	но в этом	2	2
106	вовсе не является	1	2
107	и до известной	1	2
108	это значит что	1	2
109	произведения в его	1	2
110	все без исключения	1	2
111	то что было	1	2
112	не может войти	2	2
113	в свою очередь	6	2
114	но он не	1	2
115	т п все	1	2
116	она ни была	3	2
117	как и для	1	2
118	не было и	1	2
119	и в дальнейшем	1	2
120	и других идеологий	2	2
121	мы здесь не	1	2
122	то что уже	1	2
123	в отвлеченном мышлении	1	2
124	т п в	2	2
125	более и более	3	2
126	во всех своих	2	2
127	в виду что	1	2
128	со всех сторон	1	2
129	в узком смысле	1	2
130	и до сих	2	2
131	в этом романе	1	2
132	как и все	2	2
133	и в их	2	2
134	того что было	1	2
135	к тому что	3	2
136	какова бы она	3	2
137	во всей его	1	2
138	по самому своему	1	2
139	оно не может	1	2
140	с тем что	3	2
141	всего того что	1	2
142	дело здесь идет	1	2
143	по своей природе	1	2
144	и до конца	3	2
145	в самом широком	1	2
146	что и в	2	2
147	в целом ряде	2	1
148	игры с ним	1	1
149	подлежит конечно сомнению	1	1
150	что он не	1	1
151	в двух направлениях	1	1
152	в самом начале	1	1
153	как и во	1	1
154	определенное место в	1	1
155	тем более не	1	1
156	жизни и вот	1	1
157	всем этим определяются	1	1
158	же время не	2	1
159	мы наблюдаем в	1	1
160	так и для	1	1
161	но вместе с	1	1
162	становится как бы	1	1
163	и др такая	1	1
164	в применении к	4	1
165	процессе разрешения этой	1	1
166	в той же	2	1
167	более не может	1	1
168	и отчасти в	1	1
169	всех своих моментах	2	1
170	в этом смысле	3	1
171	вопросов связанных с	1	1
172	в нем как	2	1
173	мы говорим о	2	1
174	как своего рода	1	1
175	не выходит за	1	1
