N	4gram	Tiupa_Vved	Myshleni
1	одного и того же	1	17
2	состоит в том что	1	17
3	так же как и	1	16
4	одной и той же	1	15
5	один и тот же	1	12
6	одно и то же	1	12
7	в том числе и	1	10
8	с одной стороны и	3	10
9	не что иное как	1	6
10	в той мере в	2	5
11	в том смысле что	1	5
12	той мере в какой	2	4
13	и то же слово	1	4
14	как более или менее	1	4
15	в той же мере	1	3
16	в свою очередь не	1	3
17	же мере как и	1	3
18	дело в том что	1	3
19	внимание на то что	1	3
20	к тому или иному	1	3
21	одна и та же	1	3
22	только по отношению к	1	2
23	сомневаться в том что	1	2
24	в то же время	4	2
25	начинается с того что	2	2
26	как мы увидим ниже	1	2
27	и в другом случае	1	2
28	к одной и той	1	2
29	в непосредственной связи с	1	2
30	в той или иной	1	2
31	и не может быть	1	2
32	не говорит нам о	1	2
33	но на самом деле	1	2
34	том смысле что они	1	2
35	мы имеем дело с	4	2
36	никогда не может быть	1	1
37	единство слова и мысли	1	1
38	с той или иной	1	1
39	в основе которой лежит	1	1
40	в свою очередь распадается	1	1
41	как раз в том	1	1
42	с другой стороны в	1	1
43	свою очередь распадается на	1	1
44	мы узнаем что в	1	1
45	ничего не говорит нам	1	1
46	между детьми и взрослыми	1	1
47	во всяком случае в	1	1
48	раз в том что	1	1
49	в одном и в	1	1
50	зависит не только от	1	1
51	что это не так	1	1
52	собой не что иное	1	1
53	у нас нет никаких	1	1
54	и в то же	1	1
55	он не может быть	1	1
56	одном и в другом	1	1
57	но на этот раз	1	1
58	говорят о том что	1	1
59	по отношению к ним	2	1
60	это означало бы что	1	1
61	в этом и состоит	1	1
62	состоит в том чтобы	1	1
63	состояла в том чтобы	1	1
64	который в свою очередь	1	1
65	которой не может быть	1	1
66	которая состоит в том	1	1
67	в этом отношении только	1	1
68	и в конечном счете	1	1
69	в том что на	1	1
70	одних и тех же	1	1
71	тем не менее не	1	1
72	в том что одно	1	1
73	как в случае с	1	1
74	и тем более не	1	1
75	не могло бы возникнуть	1	1
