N	2gram	Medvedev_B	Otkroven
1	и в	1	19
2	и не	2	13
3	а не	1	11
4	не только	1	11
5	вопрос о	1	10
6	прежде всего	1	9
7	не было	1	9
8	до конца	1	7
9	все это	2	6
10	что в	1	4
11	чем на	1	3
12	было бы	1	3
13	и ее	1	3
14	еще не	1	3
15	всего в	1	2
16	и потому	1	2
17	так и	1	2
18	все же	1	2
19	к ней	1	2
20	его не	1	2
21	не все	1	2
22	и о	1	2
23	и на	1	2
24	что все	1	2
25	в своей	1	2
26	и нет	1	2
27	во всяком	1	1
28	совершенно не	1	1
29	что опять-таки	1	1
30	должна быть	1	1
31	в ней	2	1
32	всяком случае	1	1
33	видеть в	2	1
34	на самом	1	1
35	у нас	3	1
36	можно было	2	1
37	же не	1	1
38	не вполне	1	1
39	было и	1	1
40	и более	1	1
41	будто бы	1	1
42	в эпоху	1	1
43	полно не	1	1
44	как будто	1	1
