N	4gram	Tiupa_Vved	VLabPisa
1	в то же время	4	5
2	и в то же	1	3
3	в том числе и	1	2
4	с одной стороны и	3	2
5	и не может быть	1	2
6	не в том что	2	2
7	никогда не может быть	1	1
8	она к тому что	1	1
9	в том смысле что	1	1
10	в противном случае он	1	1
11	может быть определена как	1	1
12	не следует смешивать с	1	1
13	и в конечном счете	1	1
14	них не может быть	1	1
15	одна из них не	1	1
16	одно и то же	1	1
17	ни одна из них	1	1
18	не следует забывать что	1	1
19	с большей или меньшей	1	1
20	отнюдь не в том	1	1
21	в качестве одной из	1	1
22	из них не может	1	1
23	может быть сведена к	1	1
24	в той или иной	1	1
25	в сумасшедшем доме или	1	1
26	с другой стороны в	1	1
27	но в то же	1	1
28	так же как и	1	1
29	мы имеем дело с	4	1
30	в том или ином	1	1
