N	3gram	Propp_Isto	TeoriaLi
1	в том что	6	10
2	по отношению к	6	10
3	в отличие от	3	7
4	того или иного	1	6
5	с другой стороны	7	6
6	более или менее	5	6
7	не может быть	8	5
8	для того чтобы	1	5
9	так или иначе	1	5
10	в силу своей	1	4
11	в этом смысле	1	3
12	тем не менее	7	3
13	подобно тому как	3	3
14	тех или иных	1	3
15	мы имеем в	4	3
16	в связи с	5	3
17	с одной стороны	7	3
18	но он не	1	2
19	в противном случае	1	2
20	до известной степени	1	2
21	и то же	1	2
22	но в то	1	2
23	в соответствии с	1	2
24	том что он	1	2
25	не только не	1	2
26	мы имеем дело	1	2
27	тем или иным	1	2
28	то ни было	2	2
29	не могут быть	1	2
30	к тому что	1	2
31	это своего рода	1	2
32	бы то ни	2	2
33	приводит к тому	1	2
34	в значительной степени	1	2
35	может быть названо	1	2
36	что он не	4	1
37	в этих случаях	10	1
38	не что иное	3	1
39	при этом они	1	1
40	но в отличие	3	1
41	в реальной действительности	1	1
42	между ним и	1	1
43	в последней главе	1	1
44	иметь в виду	2	1
45	и прежде всего	1	1
46	по себе а	2	1
47	еще не есть	1	1
48	никак не может	1	1
49	в большинстве случаев	4	1
50	легко может быть	1	1
51	лежат в основе	1	1
52	не содержит в	1	1
53	в себя и	1	1
54	а в русской	1	1
55	один из видов	2	1
56	дает ключ к	2	1
57	о том что	5	1
58	дело не в	2	1
59	именно такого рода	1	1
60	какой бы то	1	1
61	ни к каким	1	1
62	как один из	2	1
63	нами не как	1	1
64	на котором он	1	1
65	простой и ясный	1	1
66	а для нас	1	1
67	друг от друга	1	1
68	на вопрос о	1	1
69	что он должен	1	1
70	здесь мы имеем	2	1
71	одной стороны и	1	1
72	в одной из	1	1
73	которая при этом	1	1
74	том что она	1	1
75	а по своей	1	1
76	со всех сторон	4	1
77	имеем дело не	1	1
78	может быть назван	2	1
79	с которыми он	1	1
80	в том случае	1	1
81	дело в том	3	1
82	именно потому что	1	1
83	в иных случаях	1	1
84	и здесь мы	1	1
85	в лес но	1	1
86	в первом случае	1	1
87	в то время	3	1
88	между собой и	1	1
89	содержит в себе	1	1
90	в зависимости от	3	1
91	точно так же	8	1
92	так же как	6	1
93	глубже чем это	1	1
94	не было и	1	1
95	в отдельности и	1	1
96	в этом случае	3	1
97	это еще одна	1	1
98	можно говорить о	1	1
99	восходит к тому	1	1
100	и глубже чем	1	1
101	к тому же	1	1
102	не только на	2	1
103	есть не что	2	1
104	том что в	1	1
105	и в пределах	1	1
106	на первый взгляд	2	1
107	ни к какой	1	1
108	то же самое	3	1
109	при всей своей	1	1
110	что иное как	3	1
111	только то что	1	1
112	едва ли не	1	1
113	как это делает	1	1
114	в таких случаях	4	1
115	на этом пути	1	1
116	в одном случае	1	1
117	может быть признано	1	1
118	а не только	1	1
119	таким образом и	1	1
120	в виду что	1	1
121	могли бы быть	2	1
122	шире и глубже	1	1
123	в чистом виде	2	1
124	это было бы	1	1
