N	4gram	Bakhtin_Pr	Stilisti
1	в то же время	10	7
2	одной и той же	1	4
3	но для того чтобы	1	2
4	в зависимости от того	1	2
5	но в то же	5	2
6	и в то же	3	2
7	само по себе не	1	1
8	том и другом случае	2	1
9	в том и другом	2	1
10	и противоречащих друг другу	1	1
11	и по отношению к	1	1
12	о котором мы говорили	1	1
13	в виду прежде всего	1	1
14	находит свое внешнее выражение	1	1
15	не может быть понято	1	1
16	и не может быть	1	1
17	его согласие или несогласие	1	1
18	то же время и	1	1
19	тем не менее и	1	1
20	нет и не может	1	1
21	одного и того же	1	1
22	ни на минуту не	1	1
