N	4gram	Vygotskiy_	Hudozhes
1	состоит в том что	4	4
2	одно и то же	6	3
3	одного и того же	5	3
4	в том числе и	3	2
5	в том что он	1	2
6	бы то ни было	1	2
7	приводит к тому что	1	2
8	с этой точки зрения	4	2
9	бы они ни были	1	1
10	оно состоит в том	1	1
11	перейдем к вопросу о	1	1
12	по отношению к которому	1	1
13	с логической точки зрения	2	1
14	вступает в противоречие с	1	1
15	том что он не	1	1
16	и того же типа	1	1
17	не что иное как	2	1
18	в том отношении что	1	1
19	заключается в том что	16	1
20	в том что она	1	1
21	что в основе его	1	1
22	с одной стороны и	1	1
23	в том случае если	2	1
24	тем не менее не	1	1
25	не содержит в себе	1	1
26	с точки зрения логики	1	1
27	в русском языке обозначают	1	1
28	одним и тем же	4	1
29	одном и том же	2	1
30	в связи с этим	2	1
31	точно так же как	1	1
32	есть не что иное	1	1
33	даже в том случае	2	1
