text	Bakhtin_FransuaRableINarodnaiaKultura_part1	Bakhtin_FransuaRableINarodnaiaKultura_part2	Bakhtin_FransuaRableINarodnaiaKultura_part3	Bakhtin_FransuaRableINarodnaiaKultura_part4	Bakhtin_KFilosofiiPostupka_part1	Bakhtin_ProblemaSoderzhaniaMateriala_part1	Bakhtin_ProblemyPoetikiDostoevskogo_part1	Bakhtin_ProblemyPoetikiDostoevskogo_part2	Bakhtin_ProblemyTvorchestvaDostoevskogo_part1	Bakhtin_formyVremeniIChronotopaVRomane_part1	Bakhtin_slovoVRomane_part1	Berdyaev_MirosozercanieDostoevskogo_part1	Berdyaev_NovoeSrednevekovje_part1	Berdyaev_OtkrovenieoChelovekeDostoevskij_part1	Berdyaev_VelikijInkvizitor_part1	Ircho_Komedia_part1	Ircho_Komedia_part2	Kanaev_SovremennyiVitalizm_part1	Losev_DialektikaMifa_part1	Losev_DialektikaMifa_part2	Losev_ProblemaSimvolaiRealistich_part1	Losev_ProblemaSimvolaiRealistich_part2	Losev_ProblemaSimvolaiRealistich_part3	Losev_VeschiImya_part1	Losev_VladivirSolovjev_part1	Medvedev_BTomashevskiyTeoriaLiteratury_part1	Medvedev_FormalnyjMetodvLiteraturovedenii_part1	Medvedev_IolandNeifeldDostoevskiy_part1	Medvedev_SotsiologizmBezSotsiologii_part1	Medvedev_UchenyiSalierizm_part1	Medvedev_VLabPisatelia_part1	Medvedev_ViktorShklovskiyTeoriaProsy_part1	Nazirov_TragedijnoeNachaloPetrVerxovenskij_part1	Nazirov_TvorcheskiePrincipyDostoevskogo_part1	Nazirov_VrazhdaKakSotrPrototypStavrogina_part1	Potebnia_Myslijsyk_part1	Potebnia_Myslijsyk_part2	Propp_IstoricheskieKorniVolshebnoiSkazki_part1	Propp_IstoricheskieKorniVolshebnoiSkazki_part2	Propp_IstoricheskieKorniVolshebnoiSkazki_part3	Propp_IstoricheskieKorniVolshebnoiSkazki_part4	Propp_MorfologiaSkazki_part1	Propp_RusskieAgrarnyePrazdniki_part1	Savitsky_EvropaiEvraziaMigracijaKulturyKontinentOkean_part1	Savitsky_PoddanstvoIdeiDvaMiraStepiOsedlast_part1	Tiupa_AnalitikaHudozhestvennogo_part1	Tiupa_AnalitikaHudozhestvennogo_part2	Tiupa_DiskursIZhanr_part1	Tiupa_HudozhestvennostChehovskogoRasskasa_part1	Tiupa_HudozhestvennyiDiskurs_part1	Tiupa_LitereturaIMentalnost_part1	Tiupa_Narrotologia_part1	Tiupa_NarrotologicheskiyChehov_part1	Tiupa_TeoriaLiteretury3glavy_part1	Tiupa_VvedenieVSravnitelnuyuNarrotologiu_part1	Trubetskoy_EvropaiChelovechestvo_part1	Trubetskoy_RusskajaProblemaSoblaznyObIstinnomiLozhnom_part1	Trubetskoy_VerxiiNizyReligiiIndii_part1	Vinokur_KulturaYazyka_part1	Vinokur_StatiiOPushkine_part1	Vinokur_VvedenieVizuchenieFilologicheskichNauk_part1	Voloshinov_Freidism_part1	Voloshinov_MarksizmFilosofijaJazyka_part1	Voloshinov_OGranitsachLingvistikiIPoetiki_part1	Voloshinov_PoTuStoronuSotsialnogo_part1	Voloshinov_RetstnziiaNaVinogradova_part1	Voloshinov_SlovoVZhizniISlovoVPoezii_part1	Voloshinov_StilistikaHudozestvennoyRechi_part1	Vygotskiy_Myshlenieirech_part1	Vygotskiy_Myshlenieirech_part2	Vygotskiy_Myshlenieirech_part3	Vygotskiy_Myshlenieirech_part4	Vygotskiy_Psychologia_part1	Vygotskiy_Psychologia_part2	Vygotskiy_Psychologia_part3
Bakhtin_FransuaRableINarodnaiaKultura	0	0	0	0	37	68	146	232	118	259	146	60	16	16	5	60	57	37	75	70	95	98	78	76	75	0	114	6	11	24	71	5	13	52	16	55	76	61	57	54	59	49	54	54	17	57	85	60	63	54	40	47	59	60	53	64	46	50	94	85	72	116	117	24	47	4	59	47	108	101	80	85	97	67	84
Bakhtin_KFilosofiiPostupka	12	10	17	14	0	30	23	19	24	24	25	10	3	2	0	5	15	14	31	22	22	22	13	21	14	0	23	0	4	7	12	1	5	11	4	18	19	14	6	12	8	20	6	15	5	21	10	11	16	13	10	10	15	14	20	12	13	13	20	19	17	19	34	8	11	1	20	11	19	13	16	15	20	9	16
Bakhtin_ProblemaSoderzhaniaMateriala	20	22	28	22	30	0	36	28	36	33	39	13	4	4	5	12	14	13	39	28	38	32	31	30	27	1	62	0	12	14	26	1	5	19	4	30	25	20	10	12	14	25	7	15	6	109	12	27	33	31	21	13	18	31	17	20	21	7	33	27	17	43	42	10	26	2	32	15	18	26	24	19	37	17	25
Bakhtin_ProblemyPoetikiDostoevskogo	163	108	107	102	49	73	0	0	24475	118	159	89	18	34	11	38	56	34	111	72	108	96	80	60	75	3	137	2	9	23	56	4	20	273	12	78	74	46	52	40	49	48	35	39	14	92	94	80	76	107	39	44	66	106	59	61	51	43	83	85	76	111	136	34	43	6	78	52	95	105	99	88	88	72	71
Bakhtin_ProblemyTvorchestvaDostoevskogo	58	62	57	54	40	51	15219	3597	0	82	128	63	14	22	10	25	36	25	87	59	70	69	54	48	57	1	103	1	9	19	45	3	11	151	12	51	58	35	30	27	32	37	20	31	10	52	38	37	56	45	25	29	44	45	41	44	40	32	67	73	55	76	110	27	31	4	57	34	62	61	61	60	63	54	49
Bakhtin_formyVremeniIChronotopaVRomane	93	117	106	206	32	41	69	79	77	0	92	31	13	10	4	35	29	17	54	36	54	60	39	31	29	0	63	3	5	9	44	5	7	35	8	33	36	27	27	27	32	30	27	30	9	116	35	126	46	87	25	94	88	60	119	43	26	33	46	56	49	56	79	17	30	2	32	40	64	68	42	50	47	49	46
Bakhtin_slovoVRomane	71	62	66	46	30	46	96	71	130	97	0	27	11	3	1	21	24	14	48	39	54	43	30	22	31	0	58	0	9	13	41	2	8	25	11	42	42	23	22	20	24	25	17	35	10	38	33	36	35	25	26	21	79	27	76	36	32	15	54	39	43	57	91	14	22	5	41	22	46	55	32	48	51	38	40
Berdyaev_MirosozercanieDostoevskogo	19	28	26	16	14	17	62	44	50	29	23	0	37	1095	504	22	21	15	43	31	45	36	29	33	24	0	29	1	2	9	26	0	10	50	9	33	37	25	15	22	21	15	23	18	6	25	16	14	22	20	11	11	15	21	20	22	13	13	34	27	28	24	28	11	7	2	16	13	26	33	34	35	36	25	32
Berdyaev_NovoeSrednevekovje	5	8	5	4	3	4	13	3	11	11	7	27	0	3	2	5	4	5	10	8	14	10	8	11	3	0	9	0	3	1	5	0	1	9	0	11	9	9	6	9	7	5	8	6	2	8	2	8	8	3	1	5	6	3	6	8	6	6	7	10	6	6	6	1	5	0	4	3	11	15	14	13	11	14	11
Berdyaev_OtkrovenieoChelovekeDostoevskij	5	4	5	2	2	4	18	14	15	10	1	871	3	0	275	5	7	1	5	2	9	4	6	7	8	0	5	0	0	0	3	0	3	12	4	2	8	4	3	0	9	1	1	1	1	4	0	5	6	3	2	4	4	3	7	4	2	0	8	7	9	4	6	3	0	1	3	1	4	3	2	7	9	5	9
