3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part2_wordlist_3gram
в русской сказке	5	2
в немецких сказках	2	2
мы имеем в	5	2
о том что	2	2
в пермской сказке	2	6
но все же	4	2
в северной сказке	2	2
в лес и	4	2
в сказках типа	2	4
мы уже видели	3	3
мы видим что	5	4
по отношению к	3	2
не что иное	2	3
в этих случаях	8	7
в том что	5	5
к тому же	2	2
в русских сказках	2	2
в вятской сказке	4	4
в этом случае	5	5
с другой стороны	2	7
в некоторых случаях	2	3
мы уже знаем	3	2
с одной стороны	3	2
в немецкой сказке	2	3
и т д	18	15
в связи с	4	3
точно так же	6	2
мы увидим ниже	4	2
что иное как	2	3
случай мы имеем	2	2
в запретном чулане	3	2
до сих пор	6	5
в царство мертвых	5	2
