3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram
же точно как	3	2
в конце концов	3	2
и в самом	4	2
на то что	6	16
в том и	2	2
по сравнению с	2	4
для того чтобы	13	19
о том что	4	6
и таким образом	2	2
сам по себе	4	3
в сущности говоря	4	8
и когда он	2	2
одной и той	4	2
и то что	2	3
с таким образом	8	2
мы знаем что	4	2
на самом деле	5	2
заключается в том	10	6
мы видим что	2	3
на этот вопрос	2	3
в том что	17	14
к тому что	2	6
в этом отношении	5	3
в самом деле	11	5
имеет дело с	2	2
сами по себе	3	2
с тем что	3	3
ту же самую	2	2
с точки зрения	10	2
и той же	4	2
указывает на то	2	2
то же самое	6	3
так же точно	7	5
в данном случае	4	2
и что в	2	3
с другой стороны	2	5
можно было бы	4	3
и т п	8	3
потому что все	2	2
само по себе	3	2
том и заключается	2	2
и т д	2	3
заключает в себе	2	4
не может быть	8	2
совершенно ясно что	6	5
таким образом все	2	2
так же как	4	2
до сих пор	5	5
в том чтобы	3	2
состоит в том	2	2
когда говорит что	2	2
