2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
никогда не	9	8
так же	18	12
к нему	2	2
утверждает что	5	2
социальной психологии	6	11
произведения с	2	2
к тому	7	4
для нас	2	5
с этим	4	3
этого материала	2	2
и как	7	2
точки зрения	17	15
же самое	6	2
в психологии	7	6
говорит что	7	5
главным образом	3	2
мы получаем	2	2
точно и	2	2
что они	7	2
в целом	4	5
как бы	6	5
в русском	2	2
что в	20	23
в жизни	4	2
отличается от	2	2
что всякое	2	5
совершенно верно	2	2
но как	3	2
никак не	4	4
той же	8	3
и у	2	4
в него	2	2
то чтобы	2	2
было бы	11	6
только на	5	3
в нас	3	2
таким образом	21	20
а в	4	6
художественного произведения	5	17
этой области	2	2
этой теории	2	6
очевидно что	2	6
жизни и	4	3
к ним	2	2
приходит к	3	2
том случае	4	2
это только	3	2
но только	4	3
как она	4	2
в произведении	4	3
ли это	2	2
по существу	3	4
в себе	2	4
психологии и	2	3
художественное произведение	6	10
только в	7	14
в искусстве	21	4
на искусство	3	2
но даже	2	2
согласии с	3	2
и это	4	3
говорит о	2	2
что самое	2	3
и его	7	7
и только	2	3
до конца	3	6
не может	17	17
он не	6	3
но что	2	2
по себе	12	9
что по	2	3
и тем	4	2
принадлежат к	2	2
в них	2	2
а только	3	2
отказаться от	3	2
и следовательно	2	2
слова в	2	3
не существует	2	2
когда говорит	3	3
в том	37	30
но в	3	3
всякого поэтического	2	2
все же	4	5
таким путем	4	2
в частности	3	3
ровно столько	3	2
мы имеем	4	4
как будто	7	5
что это	8	6
из этого	4	2
так и	3	3
действия и	2	2
с точки	10	2
в ее	2	5
психология искусства	2	9
и в	32	31
вместе с	2	8
она не	2	5
другой стороны	2	5
все это	5	8
при этом	13	19
представить себе	3	3
в сознании	4	2
и с	4	2
психологии искусства	15	19
эта теория	2	5
все что	2	3
тому как	3	7
с и	12	5
столь же	4	4
что он	13	7
показывает что	3	5
в стихе	7	2
с тем	11	3
в этом	13	12
видим что	3	2
что искусство	4	11
формы и	6	5
в полном	2	2
в то	5	5
этой точки	2	5
как раз	5	2
в самом	12	11
к психологии	6	5
отличие от	2	4
что для	7	2
до сих	5	3
конце концов	3	3
т п	8	16
произведение как	2	2
мысль что	2	3
и не	10	16
показать что	5	8
мы можем	3	4
состоит в	3	3
в одном	2	2
на самом	5	2
при помощи	10	20
формы в	3	4
совершенно не	4	5
только из	5	4
и без	2	2
но и	10	2
и когда	4	3
того чтобы	14	7
психологической теории	3	2
этих двух	2	2
представление о	3	3
казалось бы	2	2
для того	13	6
и поэтому	4	2
увидим что	2	2
потому что	21	10
искусство как	4	9
в которой	2	4
в каждом	2	3
художественном произведении	5	3
когда он	10	2
в его	2	6
том и	2	2
в каком	3	2
в своих	9	4
же как	4	4
мы не	3	12
одной и	4	4
указывает на	3	4
из которых	2	3
чтобы показать	3	3
не было	2	3
и совершенно	3	5
том чтобы	3	7
искусства которые	4	2
что на	4	3
это в	2	2
иначе говоря	4	5
а потому	2	3
далеко не	5	2
в какой	2	5
художественной формы	12	5
такой же	7	2
это можно	2	2
в художественном	6	3
в нем	4	2
если же	4	2
несмотря на	4	5
что она	16	6
в своей	3	3
с в	2	3
но это	2	3
в состоянии	2	3
но не	2	3
то есть	21	26
если бы	6	6
тот же	6	2
в поэзии	3	2
и т	10	26
и так	3	4
что оно	2	3
противоречие с	2	3
искусства и	9	15
по самому	3	5
для выражения	2	5
что с	3	2
так что	3	5
искусства является	4	2
в таком	2	3
дело с	8	3
во всем	3	3
и их	3	2
роль в	2	3
совершенно ясно	7	19
когда она	4	2
стоит только	2	2
и для	4	5
и той	4	3
точка зрения	2	4
с на	3	4
например в	3	3
если мы	12	12
должны быть	3	3
искусства как	2	4
тогда когда	3	5
мы видим	4	5
искусства с	2	4
одного и	2	2
как совершенно	2	3
во внимание	2	2
из всех	2	2
что же	3	2
как он	2	2
в этих	2	4
и таким	2	2
то что	21	32
если она	2	2
что все	9	3
и здесь	2	2
с этой	4	4
надо сказать	2	3
как говорит	3	2
заключается в	12	7
не только	12	13
том что	21	16
искусства но	5	2
могут быть	4	11
от того	4	3
а не	7	13
и даже	5	6
само по	3	5
есть только	5	2
во всяком	2	8
из которого	4	2
произведению искусства	2	2
ничего не	4	2
как прием	3	2
все время	6	4
всяком случае	2	6
и другой	3	3
и от	2	2
в сущности	7	10
сказать что	7	7
начинает с	2	2
между тем	4	4
как на	5	3
есть нечто	2	2
потебни и	2	2
искусства в	5	9
в процессе	2	5
утверждать что	4	5
на деле	8	3
отношение к	2	2
вслед за	5	6
как к	3	2
подобно тому	2	5
того что	8	10
чувства и	2	2
не менее	8	2
в чем	4	2
что при	9	3
тем не	4	2
то же	13	5
и тот	2	2
сих пор	5	3
в которых	3	3
том же	2	2
то или	2	2
того же	2	2
теории искусства	3	5
так как	12	18
же точно	10	3
с исчерпывающей	2	2
легче всего	3	3
на то	11	10
вовсе не	2	6
на вопрос	2	2
могло бы	2	4
не могут	3	3
точно так	3	3
как это	4	4
не в	8	11
может быть	18	22
поэзии и	7	2
всякий раз	2	8
ни в	2	9
с таким	8	11
мы знаем	7	3
и сейчас	3	2
и все	4	5
о том	6	7
в этой	6	3
и к	3	3
на примере	2	3
что у	5	3
этом отношении	5	2
форму и	2	2
совершенно правильно	4	4
то время	3	5
из них	4	2
когда мы	2	3
что и	17	13
но совершенно	3	2
как в	9	9
искусство в	2	2
как и	10	16
т д	2	8
один из	3	4
ясно что	7	19
как нельзя	2	4
к которым	3	3
самом деле	16	9
и то	3	2
та же	3	3
отнюдь не	5	6
и другого	3	2
в виду	3	4
ту же	4	2
их в	2	2
и других	3	3
на это	3	2
бы и	3	2
в конечном	3	3
целый ряд	6	6
тому что	4	4
есть не	4	2
в конце	3	3
те же	6	4
сущности говоря	4	3
в основе	11	2
там где	2	4
и что	22	8
с другой	3	5
конечном счете	3	3
и вот	3	3
время как	3	5
и по	4	3
