3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part4_wordlist_3gram
с начала и	3	3
для того чтобы	3	2
о том что	2	2
в романе рабле	8	14
в эпоху рабле	15	5
по всему роману	2	2
как мы видели	2	2
как мы уже	5	2
и до конца	3	4
в то время	2	2
и т.п в	2	2
в большинстве случаев	5	6
мы уже говорили	5	7
начала и до	3	3
в то же	8	10
в узком смысле	2	2
в своем романе	2	2
с точки зрения	2	2
кн iii гл	4	2
и в то	4	5
с другой стороны	3	2
том числе и	2	2
с одной стороны	2	2
брата жана и	2	2
более или менее	3	2
то же время	8	10
таким образом и	3	3
в том числе	3	3
