2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram
между тем	6	4
можно говорить	2	10
мы имеем	5	2
связи с	3	6
что такое	3	4
слова как	3	2
в зависимости	4	7
в свое	2	2
что это	7	3
так же	4	2
можно было	9	11
что она	3	5
так и	4	6
в своей	2	4
речь идет	2	3
с точки	8	16
после того	2	6
это не	6	3
прежде всего	8	9
говорить и	2	3
говорить о	4	6
но это	3	5
речи в	6	7
в данном	4	7
наших газет	3	3
и в	23	23
но не	6	3
зависимости от	5	8
в процессе	3	3
в силу	7	6
в кругу	2	2
того или	2	3
вместе с	5	2
если бы	12	8
тот же	5	6
к тому	4	3
в качестве	8	2
она не	2	3
данном случае	2	4
и т	39	54
лингвистическое воспитание	2	2
для нас	4	4
ставит себе	2	3
здесь не	3	2
также что	2	2
чтобы не	2	2
в большей	3	2
другой стороны	7	3
все это	5	2
при этом	2	6
и сосновский	2	2
указывает что	2	2
именно в	3	3
в результате	4	3
этот вопрос	6	3
по поводу	2	3
и есть	2	5
и с	7	3
уже в	3	3
п а	2	2
что мы	6	2
что слово	3	3
того что	3	11
слов и	2	5
в отношении	2	3
точки зрения	14	23
того как	2	7
языка и	8	2
не все	3	2
не менее	7	12
что он	5	6
в своем	2	4
п и	2	4
не знает	3	2
главным образом	3	2
тем не	6	9
материал для	2	2
но для	3	3
также и	5	5
на письме	3	3
обстоятельство что	7	3
с тем	2	6
что они	2	2
то же	6	6
п но	2	3
на этом	3	2
для обозначения	2	2
а также	3	4
как бы	4	5
если и	3	2
в русском	10	2
что в	10	13
уже не	8	8
в которых	2	3
бы например	2	2
в этом	18	16
п в	3	3
нашем смысле	2	2
приемов и	2	2
должно быть	4	7
отличается от	3	2
то или	3	2
лишь в	5	8
того же	3	4
должна быть	5	3
уже что	2	2
все они	2	2
с одной	2	4
разговорной речи	2	2
в языке	10	7
или иного	2	3
русском языке	10	3
никак не	3	2
всякого рода	2	5
газетном языке	2	2
той же	2	3
в их	2	6
и о	4	4
еще не	5	9
в то	4	3
т е	22	32
этом случае	2	4
так как	15	9
как раз	3	4
в статье	3	2
было бы	15	16
в корне	2	2
то обстоятельство	7	3
в самом	12	13
языка но	3	3
смысле этого	2	2
отличие от	2	2
тем же	2	2
таким образом	5	9
а в	3	5
газетного языка	6	5
это и	3	3
вопрос этот	2	2
случаи когда	3	2
что если	2	2
вопросе о	2	2
или иное	3	2
своего рода	4	2
мы говорим	2	4
подобного рода	5	2
чтобы понять	2	2
на том	2	2
очевидно что	2	3
о значении	2	2
а именно	2	3
то и	3	2
вопрос о	9	11
вовсе не	9	5
как мы	3	5
области языка	2	2
все эти	12	7
речь в	5	2
культура языка	3	2
слово это	6	2
не могут	5	5
письменной речи	21	4
установка на	2	3
как это	5	7
придаточных предложений	5	2
т п	24	41
том случае	2	4
если мы	4	7
между прочим	2	8
не в	8	5
это так	3	2
у нас	12	10
но все	4	2
но также	4	5
только как	2	4
и не	16	10
может быть	15	14
ни в	4	3
смысле слова	2	2
культуры языка	8	2
е на	2	2
конечно не	2	2
состоит в	2	2
с помощью	7	6
на самом	2	3
так в	3	2
не как	2	2
по существу	5	3
в связи	4	5
я не	5	5
совершенно не	3	5
да рядом	2	2
газеты как	3	3
мы должны	2	3
только о	2	2
ни на	2	2
только в	5	6
не просто	2	2
но и	7	3
что не	6	4
сплошь да	2	2
для этого	3	6
дело не	2	2
о газете	4	2
того чтобы	11	11
что же	5	5
сказать что	4	7
не имеет	4	3
в газетном	2	2
не то	2	2
не более	2	2
и более	2	3
что и	3	6
бы привести	2	2
для того	9	12
вопроса о	6	3
как в	3	4
только для	2	2
то что	9	4
как и	2	5
мы видели	2	3
т д	14	8
потому что	25	12
может служить	2	2
что все	5	2
один из	5	4
в особенности	4	2
что значит	2	4
в области	11	14
ясно что	5	4
и здесь	5	2
тех пор	2	4
слова и	5	7
был бы	2	3
и пр	8	3
с этой	2	3
придаточного предложения	2	2
самом деле	9	14
он не	3	3
не может	9	6
язык и	2	2
по преимуществу	2	3
в его	5	11
в нашей	4	4
бы сказать	2	3
газетной речи	14	21
чем в	3	2
говоря уже	2	2
и если	2	2
в той	2	4
заключается в	2	4
тех же	2	4
по себе	10	6
не только	20	17
можно сказать	4	2
том что	11	11
тем самым	2	4
на этот	2	2
и тем	5	6
отнюдь не	4	3
в каком	4	3
не говоря	2	2
свое время	2	2
быть не	2	2
литературный язык	2	4
могут быть	4	6
от того	4	5
в виду	3	8
смысл и	3	2
тем что	3	5
а не	10	11
хотя и	4	5
русский язык	6	4
этого слова	5	4
речи но	2	3
карпинский и	2	2
язык не	2	2
в ней	3	3
бы и	4	3
на фоне	3	7
целый ряд	5	4
во всяком	5	2
говорим о	2	2
иными словами	8	8
не было	4	4
в отличие	2	2
к вопросу	3	2
хотя бы	9	9
лишь с	2	4
те же	3	7
что на	4	3
слова в	6	4
ничего не	4	6
когда в	2	2
еще и	2	2
дает нам	2	2
русским языком	2	2
там где	5	3
в том	19	22
это в	2	2
вообще и	2	3
языка как	2	4
в таких	3	2
но в	11	2
русского языка	4	7
это конечно	2	2
речи а	3	2
уже о	3	2
и что	8	7
с другой	8	7
и вот	5	3
языка в	3	6
в сущности	9	4
в нашем	7	7
дворянской интеллигенции	2	2
то не	2	2
в пределах	4	2
все же	7	5
в газетной	4	6
в частности	2	2
