2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_2gram
между тем	2	2
не так	2	2
и ее	10	6
связи с	3	13
в зависимости	2	3
всего в	3	2
задачи и	4	3
никогда не	4	2
в художественном	3	2
каждый элемент	2	4
всего этого	2	5
в нем	14	13
на почве	13	9
если же	2	2
оно не	4	4
его в	3	3
так и	18	8
в своей	11	7
со всею	5	2
самой литературы	6	2
это не	2	2
с точки	13	7
литературного произведения	4	3
прежде всего	22	15
формалистов не	3	3
в ее	8	2
но это	3	2
раз и	2	4
со стороны	5	2
как о	4	4
произведения искусства	3	2
не о	3	4
и в	24	38
но не	3	2
в процессе	9	9
зависимости от	3	3
того или	2	4
вместе с	2	6
художественная конструкция	2	2
если бы	4	5
есть лишь	2	2
к тому	3	4
значение и	3	3
она не	6	2
и т	12	14
независимо от	4	4
для него	3	7
входит в	6	4
отношение к	3	2
здесь не	3	4
именно в	8	5
по аналогии	3	2
все это	9	3
в художественную	2	3
при этом	5	9
как к	3	3
не приходится	2	3
формализма в	2	4
о литературе	6	3
они были	2	2
от нее	2	4
в результате	2	6
одним словом	5	4
с этим	2	5
и с	8	9
произведений в	2	2
общения и	2	2
к действительности	2	3
элементы художественной	3	2
и как	3	3
а лишь	2	3
того что	5	3
в систему	3	2
сводится к	3	5
точки зрения	16	8
метод в	4	4
этом пункте	2	2
значения и	2	2
что он	3	5
так сказать	3	3
сами по	2	2
была бы	2	3
главным образом	4	3
в большинстве	3	4
конструктивные задачи	6	2
ни стало	2	2
с тем	2	11
и отчасти	3	3
место в	7	3
в целом	6	3
то же	10	6
как бы	6	4
и их	10	3
между ними	3	2
что в	4	7
является для	2	2
уже не	2	7
в этом	15	27
истории литературы	12	6
должно быть	11	2
формального метода	16	15
как таковое	2	4
лишь в	8	7
борьба с	3	2
формы и	5	2
должна быть	7	5
самый предмет	2	2
или иного	3	5
нового направления	3	3
он в	2	2
в их	11	6
не оказалось	2	2
в то	9	5
т е	34	26
они не	3	4
как раз	2	6
с другими	4	10
конструкции и	2	4
было бы	6	6
в самом	5	16
быть и	4	3
и др	5	3
и всякое	3	2
только на	5	3
и до	5	3
таким образом	13	20
науки о	2	2
менее всего	2	3
и может	4	3
а в	6	6
дело идет	3	4
это и	3	5
художественного произведения	23	6
лишь для	2	4
применении к	2	2
однако не	2	3
пр и	2	4
эти определения	3	2
специфических особенностях	2	2
как мы	5	7
вовсе не	10	11
произведения в	8	2
все эти	6	6
жизни и	7	3
русский формальный	2	2
как это	6	2
только и	4	3
как ее	2	3
во всех	5	5
т п	4	9
как таковой	6	3
если мы	2	5
социального общения	6	4
не в	8	15
но все	2	3
на литературу	6	2
произведение как	3	2
чем же	2	3
лишь как	5	4
как она	3	2
всех этих	3	3
и не	20	20
язык поэзии	2	2
произведения и	8	3
может быть	14	23
его с	2	3
ни в	2	2
формалистов и	2	3
и наконец	3	4
произведения как	2	2
даже и	2	4
большинстве случаев	2	3
и все	6	3
с помощью	3	10
на самом	7	3
в этой	6	6
не как	4	4
более того	3	5
формальный метод	9	10
по существу	2	7
и к	4	4
в связи	4	10
но ведь	2	3
ничем не	3	2
художественное произведение	6	2
ни на	3	2
только в	2	6
бы в	3	5
но и	7	13
для этого	4	2
всякого искусства	2	2
от этого	2	3
в истории	4	6
не по	3	2
самое понятие	2	2
и более	2	2
то ни	3	2
что и	2	8
как в	8	4
своей статье	3	3
материала и	3	4
в искусстве	5	2
идет о	2	2
то что	8	6
и лишь	2	2
мы видели	2	4
как и	11	9
т д	8	5
как такового	2	6
произведение искусства	2	2
в которой	4	2
как их	2	2
один из	3	2
в особенности	3	4
в области	3	3
и методы	2	2
и это	2	2
и здесь	6	3
специфических особенностей	2	3
говорит он	3	5
и пр	17	21
на язык	3	2
и его	10	21
русского формализма	2	2
идеологического смысла	3	2
до конца	7	2
самом деле	6	8
смысла с	2	2
не может	16	14
он не	3	6
в его	23	10
не есть	2	3
идеологического кругозора	16	5
с ним	2	2
к другим	2	2
с его	4	11
не только	7	9
по себе	5	7
единства и	2	2
в понимании	5	2
тем самым	3	2
отнюдь не	6	8
или же	3	2
литературных произведений	3	2
а как	2	3
произведения а	2	3
литературы с	3	2
художественной конструкции	7	6
индивидуального потребления	2	2
же как	2	3
в единстве	7	2
мы не	3	3
а не	10	6
а только	2	2
в ней	10	6
от всех	3	2
и даже	3	4
и других	3	2
литературы и	2	4
на фоне	3	4
же время	8	5
и на	8	3
мы ни	2	2
в общем	3	5
во всяком	4	5
не было	3	6
его как	3	2
особенно в	3	3
поэтического произведения	3	8
все более	2	2
е как	2	2
подхода к	2	2
хотя бы	5	6
ничего не	2	4
именно как	12	4
все время	2	6
в основе	3	5
всяком случае	4	5
в том	6	11
в применении	2	2
но в	5	4
конструктивное значение	4	8
во всей	2	2
в широком	3	2
метода в	6	2
с другой	5	3
и от	7	2
и должно	2	5
в пределах	6	12
все же	3	8
его не	2	2
приводит к	2	2
художественную конструкцию	2	3
