2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_2gram
между тем	2	2
в античности	2	4
никогда не	6	2
в нем	17	10
влияние на	2	12
в своей	3	3
так и	4	6
есть в	6	3
это не	5	6
для достоевского	2	3
с точки	9	2
прежде всего	9	15
но это	6	3
в одной	2	2
в заключение	2	2
и в	46	53
карнавальный смех	4	5
карнавального мироощущения	2	13
одна из	2	7
но не	4	5
вместе с	2	2
то есть	40	48
на площади	5	2
перед нами	12	5
во сне	2	5
отношение к	3	6
здесь не	4	4
и так	2	3
в большей	2	2
все это	6	8
при этом	5	3
и одновременно	2	4
живет в	2	2
времени и	2	2
человека и	3	7
и другие	3	9
с этим	2	2
и с	7	6
уже в	4	2
да и	4	2
точки зрения	11	4
не менее	2	3
что он	6	4
так сказать	5	5
не знает	4	4
также и	3	4
в большинстве	9	4
есть и	2	2
во всем	4	2
большей или	2	3
то же	6	6
обычной жизни	3	3
на все	2	2
как бы	19	14
и их	3	2
между ними	10	2
сих пор	8	5
что в	4	2
произведениях достоевского	3	3
творчестве достоевского	2	5
в этом	16	8
братьях карамазовых	2	2
в жизни	5	8
того же	3	2
кроме того	4	3
здесь в	2	10
здесь конечно	2	4
отчасти и	2	2
мы и	3	2
той же	3	5
карнавального типа	2	15
в их	4	2
в духе	2	8
в мире	3	5
на некоторых	2	2
еще не	7	5
в то	5	5
и для	3	4
они не	2	3
но здесь	3	2
так как	5	7
в сне	2	7
значение для	3	2
было бы	3	5
карнавальное мироощущение	2	10
к самому	2	4
в самом	9	2
и до	3	5
таким образом	4	6
а в	2	2
у достоевского	16	17
его творчества	3	6
до сих	8	5
своего рода	4	3
образов и	2	4
вовсе не	9	3
и т.п	14	31
что я	6	2
как мы	12	5
эпохи возрождения	2	5
произведений достоевского	6	2
и т.д	3	2
например в	4	5
все эти	4	9
жизни и	5	9
преступлении и	2	2
достоевского в	8	3
здесь и	3	4
во всех	5	12
не в	10	2
мир наизнанку	2	3
значение в	2	4
себе самому	4	6
карнавализации в	3	4
и не	27	15
может быть	23	12
в себя	4	6
а между	2	2
на пороге	12	10
и наконец	4	2
конечно не	8	4
большинстве случаев	8	4
мы можем	4	5
к себе	6	6
о себе	5	2
настасьи филипповны	6	2
и все	9	10
о том	5	2
и во	3	4
почти всегда	3	3
более того	3	6
по существу	3	5
и к	9	5
в себе	7	5
правда в	3	2
только в	6	4
себя и	3	2
но и	12	7
мы здесь	2	3
для понимания	2	2
сказать что	2	10
как он	3	2
этих двух	4	2
творчество достоевского	2	2
в этих	4	5
что и	3	3
как в	4	7
творчества достоевского	2	10
слово в	6	2
то что	4	9
как и	12	11
потому что	4	5
достоевского и	2	6
и мысли	2	2
в карнавализованной	3	2
в каждом	6	4
оба полюса	2	2
смех в	3	2
и это	3	3
жизнь в	3	2
том числе	4	11
слова и	7	3
он сам	2	4
в братьях	2	2
более или	3	3
и его	6	10
числе и	3	10
смешного человека	3	18
не может	19	2
он не	4	3
еще более	3	5
в его	9	8
в известной	2	2
одним из	3	3
и наказании	2	2
в той	3	2
с ним	2	2
к другим	2	2
с его	5	2
не только	14	4
том что	4	5
можно сказать	4	8
мы уже	3	5
у рабле	2	3
или меньшей	2	3
с самим	5	5
бытия и	3	2
меньшей степени	2	2
и они	2	2
и тем	2	2
могут быть	2	4
тем что	3	2
а не	11	11
их в	3	2
хотя и	6	4
мы не	4	4
и даже	3	2
пороге в	2	3
мы находим	5	2
и идеи	3	4
и других	4	9
же время	5	5
карнавализации для	2	3
и на	11	18
в рассказе	2	2
героев достоевского	3	2
в условиях	3	4
не было	2	4
самим собою	3	4
по своей	3	9
особенно в	5	4
по отношению	5	2
в конце	3	3
или менее	3	3
например у	2	3
хотя бы	2	2
ничего не	2	6
смен и	3	5
в том	9	14
но в	6	5
и через	2	3
конечно и	3	4
с другой	3	2
и элементы	2	2
в преступлении	2	2
но он	3	2
в сущности	7	10
и по	2	3
все равно	2	4
далеко не	3	2
к одному	6	2
