3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
то что ребенок	6	3
на то что	4	3
по сравнению с	14	3
с тем и	2	4
для того чтобы	8	7
ступень в развитии	4	6
как показывает исследование	6	2
в зависимости от	5	5
одной и той	3	2
и то что	2	2
на данной ступени	3	2
друг с другом	5	5
заключается в том	5	7
общего к частному	2	3
то время как	5	4
мы могли бы	9	7
то что мы	2	2
по отношению к	10	2
как мы видели	4	3
в том что	19	17
в то время	6	4
в основе этого	2	2
вместе с тем	2	10
в силу того	5	2
в этом отношении	3	3
силу того что	5	2
с тем что	2	3
с самого начала	7	6
и той же	3	2
независимо от того	2	3
так же точно	3	3
в последнее время	2	3
бы сказать что	2	3
на этой стадии	2	2
и того же	4	4
с другой стороны	2	3
в мышлении ребенка	2	4
можно было бы	5	5
мы не станем	2	4
вполне совпадает с	2	2
в развитии понятий	5	3
в связи с	2	5
не может быть	2	2
в этом смысле	2	2
так же как	6	6
могли бы сказать	2	3
одного и того	4	4
мы видели что	3	3
состоит в том	2	3
