3gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_3gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_3gram
по большей части	3	3
свидетеля и судии	2	2
той или иной	4	3
о том что	2	4
мы имеем дело	2	2
в отличие от	2	5
в соответствии с	4	3
и тем самым	4	2
в равной степени	2	2
по отношению к	3	5
в том что	5	8
не только в	6	6
в этом отношении	3	3
к тому же	5	4
в современной нарратологии	2	2
подобно тому как	3	2
дамы с собачкой	2	7
в то же	4	3
имеем дело с	2	2
тем не менее	3	4
в данном рассказе	2	2
но и в	2	2
в данном случае	8	6
можно сказать что	2	3
в известном смысле	2	3
и все же	2	2
не может быть	4	2
не сводится к	2	6
то же время	4	3
состоит в том	2	4
