3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram
есть не что	2	2
и не просто	2	2
в бесконечный ряд	14	11
хотя и не	2	2
той или иной	11	4
во всяком случае	4	3
то есть в	6	4
же самое время	2	4
для того чтобы	2	8
в каком случае	3	3
о том что	3	5
вовсе не является	2	3
сам по себе	6	7
не говоря уже	2	2
сама по себе	2	4
и в других	2	3
по своему содержанию	5	2
тех или иных	3	2
на самом деле	3	4
по крайней мере	6	2
можно ли сказать	2	2
на нечто иное	2	2
то и другое	3	2
не что иное	2	2
в том что	8	5
не есть ни	2	5
необходимо сказать что	3	2
ни в каком	5	3
того или иного	3	2
не имеет ничего	2	2
не только не	4	3
в то же	2	4
содержит в себе	8	7
сами по себе	2	3
с точки зрения	11	3
и тем не	3	8
тем не менее	10	18
вовсе не являются	2	4
имеет ничего общего	2	2
даже и не	2	2
то же самое	6	9
ничего общего с	2	7
каком случае не	3	2
в данном случае	5	8
функции в бесконечный	2	4
с другой стороны	6	3
здесь перед нами	5	3
можно было бы	4	2
и т д	3	10
в связи с	3	4
точно так же	3	4
у нас выше	3	2
что иное как	2	2
в этом смысле	3	6
более или менее	2	3
а также и	2	2
вовсе не есть	2	6
всякий символ есть	4	2
мы должны сказать	2	2
в буквальном смысле	2	3
