3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram
должна была бы	2	3
том что здесь	2	2
на то что	3	4
во всяком случае	4	6
о том что	4	11
тем что в	2	2
но все же	2	3
заключается в том	2	3
не в том	3	2
тем более что	2	2
по крайней мере	4	2
в том что	11	17
в то время	4	2
что в этой	2	2
не только в	3	4
в этом отношении	4	7
и в этом	2	3
в то же	3	4
во время чумы	2	2
с точки зрения	4	8
тем не менее	2	2
но и в	2	2
в этой области	2	5
с другой стороны	4	6
по этому поводу	2	2
то обстоятельство что	5	2
и т п	6	9
с одной стороны	2	2
в борисе годунове	38	2
к борису годунову	2	2
и т д	2	21
бориса годунова в	2	2
не может быть	5	5
в том смысле	2	2
то же время	3	4
до сих пор	2	7
