3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram
смысле этого слова	4	7
тому или иному	2	2
комплексного мышления ребенка	3	2
комплексного мышления в	2	2
на то что	3	4
в свою очередь	2	2
во всяком случае	4	3
по сравнению с	3	3
для того чтобы	7	5
в готовом виде	2	5
в собственном смысле	6	7
о том что	3	3
по внешнему виду	3	2
в целом мы	2	2
в своеобразном сочетании	2	2
ступень в развитии	6	3
в отличие от	6	2
к выводу что	2	2
в том виде	2	2
и то что	2	4
ряда конкретных предметов	2	2
формы комплексного мышления	2	4
одной и той	2	4
могли бы сказать	3	2
же как и	4	4
друг с другом	5	7
заключается в том	7	14
общего к частному	3	2
процесс образования понятий	9	6
и в отношении	2	2
мышления в понятиях	7	5
с помощью которого	2	2
в детском возрасте	2	2
только в том	2	2
в его развитии	2	2
в том что	17	31
как мы видели	3	2
как мы уже	2	3
мы могли бы	7	9
вместе с тем	10	3
в основе этого	2	2
процесса образования понятий	14	5
в этом отношении	3	7
в образовании понятия	2	2
с этой точки	2	4
мы уже говорили	5	2
в качестве средства	4	2
в переходном возрасте	9	3
это значит что	4	2
с тем что	3	3
в образовании понятий	2	4
и той же	2	4
в процессе образования	7	2
как уже сказано	5	4
бы сказать что	3	3
этой точки зрения	2	4
между ребенком и	2	2
мы имели возможность	4	2
и того же	4	5
с другой стороны	3	8
собственном смысле этого	4	4
в высшей степени	6	2
можно было бы	5	5
а с другой	3	2
в мышлении ребенка	4	6
с помощью речи	2	2
таким образом что	2	4
то обстоятельство что	3	3
с одной стороны	5	9
в развитии понятий	3	2
от мышления в	3	2
функционального употребления слова	2	2
на первый план	2	4
в связи с	5	3
и в мышлении	2	2
мышлением в понятиях	2	3
в этом смысле	2	8
так же как	6	5
развития детского мышления	2	10
одного и того	4	5
мы видели что	3	2
состоит в том	3	3
