2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram
связи с	4	3
ходе развития	7	5
наряду с	2	3
никогда не	4	5
их развития	2	5
так же	14	11
к нему	3	2
к общему	2	2
в данном	5	2
стадии в	2	2
к тому	7	6
отнесенности и	2	2
перед нами	2	5
одно и	3	6
для нас	2	4
к мысли	4	2
между словом	8	2
по сравнению	9	4
у ребенка	9	13
с этим	2	5
что слово	2	2
едва ли	4	2
точки зрения	28	24
того как	2	2
же самое	5	7
говорит что	2	3
экспериментальное исследование	2	2
что они	10	14
в целом	5	11
как бы	6	7
что в	12	19
слова к	5	3
отличается от	3	2
никак не	5	2
той же	8	6
нас к	6	3
то как	2	2
иначе как	6	2
было бы	6	8
смысле этого	3	7
только на	3	2
таким образом	23	25
а в	2	2
что если	2	2
когда ребенок	2	2
в эксперименте	2	3
что эти	3	2
с помощью	13	31
в себе	9	10
которые в	2	4
является не	2	4
только в	8	10
не имеет	2	2
действительности в	2	2
и которые	2	2
сравнению с	8	3
школьного возраста	8	2
что этот	5	2
и его	12	5
и только	4	4
мы пытались	8	2
функциональное значение	3	2
собственном смысле	3	7
не может	11	6
могли бы	5	9
не есть	4	2
значения слова	9	8
со всеми	2	3
а затем	2	2
и тем	6	8
содержит в	3	2
является общим	2	2
нашего исследования	5	4
тем что	9	7
мысли и	11	2
слова в	5	9
в том	18	42
но в	4	3
в другую	3	3
все же	6	5
приводит к	4	3
между двумя	3	2
для ребенка	2	2
по мере	7	4
что это	6	2
и при	2	4
его в	2	6
так и	3	5
с точки	21	11
является в	5	3
и в	26	20
вместе с	12	8
не совпадают	4	5
в качестве	5	21
нас в	2	3
представить себе	3	2
в сознании	6	4
о развитии	4	5
словом и	10	4
думается нам	5	2
и с	5	4
уже в	2	6
что мы	9	7
что он	8	6
показывает что	2	2
столь же	2	3
этого понятия	2	3
развития как	2	3
но для	2	2
также и	2	2
с тем	5	6
детской речи	4	2
своему значению	2	3
мы говорили	2	3
развития ребенка	5	7
в этом	29	24
должно быть	2	3
нашему мнению	2	2
от слова	6	2
к пониманию	3	3
представляется нам	3	4
мы и	2	2
в их	2	12
в мышлении	2	21
еще не	4	2
этой точки	4	4
в самом	9	6
в ходе	12	4
мышления и	9	14
отличие от	2	2
к выводу	3	2
ключом к	2	4
это положение	3	5
предметной отнесенности	3	7
связь между	6	2
и не	18	8
для других	15	2
находит свое	3	2
мы можем	3	5
состоит в	3	4
совершенно не	2	3
из основных	2	4
бы в	5	3
но и	11	9
не по	4	2
того чтобы	19	7
привести к	3	2
оно имеет	2	2
ребенка и	8	9
проявляются в	2	2
для того	18	5
потому что	16	12
в собственном	3	7
в которой	11	3
только не	11	5
слова и	10	5
что ребенок	5	12
в слове	11	2
не означает	3	3
в его	4	11
совершается в	3	2
бы сказать	2	3
чем в	4	3
одним из	2	2
в той	4	2
и речи	19	2
житейских понятий	2	9
тем самым	8	7
раз в	2	2
одной из	4	3
ребенка с	4	4
же как	8	6
одной и	2	5
этого слова	3	11
в ней	3	2
обратимся к	3	4
детского развития	6	3
в детском	3	4
что на	2	2
в начале	5	2
на всем	5	2
в какой	6	3
в действительности	2	5
значения слов	3	3
такой же	3	2
это мы	2	2
мы в	3	2
в нем	2	2
мышлением и	2	4
приводят к	2	3
можно было	2	6
в своей	3	7
