2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram
между тем	2	4
никогда не	2	4
как будто	2	4
что это	2	4
наконец в	2	4
в нем	10	16
его в	2	4
так и	6	8
с чертом	2	2
в своей	3	4
это не	6	3
для достоевского	3	2
с точки	2	2
прежде всего	15	12
в ее	3	3
говорить о	2	3
в форме	6	3
но это	3	6
в одной	2	3
не о	2	4
и в	53	35
но не	5	6
вместе с	2	2
то есть	48	16
тот же	2	4
отношение к	6	6
и так	3	4
мне все	2	3
все это	8	14
при этом	3	2
здесь еще	2	2
мире и	2	2
времени и	2	2
именно тем	2	2
с этим	2	3
и с	6	12
уже в	2	3
б я	2	2
да и	2	5
самого начала	4	8
точки зрения	4	7
не менее	3	2
что он	4	24
так сказать	5	2
не знает	4	6
в большинстве	4	2
из подполья	5	35
во всем	2	4
и отчасти	2	2
то же	6	15
как бы	14	31
на протяжении	5	5
что в	2	6
произведениях достоевского	3	2
если б	7	3
творчестве достоевского	5	7
в этом	8	14
мы остановимся	2	3
братьях карамазовых	2	3
в жизни	8	2
здесь в	10	2
он в	2	4
той же	5	2
в мире	5	4
еще не	5	7
в то	5	11
всей своей	2	2
и для	4	8
и вообще	3	2
так как	7	4
и у	7	4
с другими	3	2
было бы	5	3
к самому	4	5
в самом	2	6
смысле этого	2	2
быть и	2	2
и прежде	6	4
таким образом	6	7
а в	2	7
и тон	2	3
у достоевского	17	12
мне не	2	2
своего рода	3	2
вовсе не	3	7
и т.п	31	6
в творчестве	8	4
что я	2	13
как мы	5	8
и т.д	2	3
например в	5	2
все эти	9	3
нет ни	2	2
достоевского в	3	3
во всех	12	3
по своему	6	4
не в	2	10
конечно в	2	2
себе самому	6	18
и не	15	27
может быть	12	14
для других	2	3
себя самого	3	7
а между	2	3
и наконец	2	7
конечно не	4	2
даже и	2	3
большинстве случаев	4	2
к себе	6	18
мы можем	5	2
о себе	2	17
настасьи филипповны	2	7
и все	10	15
о том	2	2
и во	4	3
и к	5	12
с самого	3	8
я не	4	8
а я	2	10
в себе	5	5
мы должны	4	3
ивана карамазова	4	4
и пусть	2	2
и без	3	4
только в	4	6
себя и	2	8
но и	7	14
в дальнейшем	7	2
уже говорили	2	5
над собой	2	4
сказать что	10	3
из них	4	3
как он	2	2
этих двух	2	2
в этих	5	2
что и	3	3
как в	7	5
слово в	2	2
то что	9	10
как и	11	18
мы видели	2	2
потому что	5	8
достоевского и	6	2
и мысли	2	3
в которой	2	2
в каждом	4	6
в последующем	2	3
и это	3	5
в братьях	2	3
слова и	3	11
говорит о	2	2
диалога с	2	3
не могу	3	3
он сам	4	6
и его	10	14
это было	3	2
не может	2	18
он не	3	13
в его	8	21
в той	2	4
с ним	2	7
к другим	2	2
с его	2	7
не только	4	10
том что	5	3
с самим	5	15
со всеми	8	3
а затем	4	2
одной из	4	2
в них	2	4
тем что	2	4
а не	11	4
их в	2	2
хотя и	4	2
и даже	2	5
в ней	7	2
же время	5	10
и на	18	6
в рассказе	2	2
героев достоевского	2	3
самим собою	4	9
по своей	9	2
особенно в	4	2
по отношению	2	6
в конце	3	5
хотя бы	2	2
него он	2	2
ничего не	6	3
все его	2	4
в начале	2	3
тому же	2	3
в том	14	5
в эту	3	4
но в	5	19
на его	3	4
с другой	2	4
от него	3	6
и от	3	3
но он	2	4
в сущности	10	14
и по	3	2
все равно	4	2
мы уже	5	8
человек и	2	4
к одному	2	3
