2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram
между тем	4	6
можно говорить	10	2
мы имеем	2	5
связи с	6	3
что такое	4	3
слова как	2	3
в зависимости	7	4
в свое	2	2
что это	3	7
так же	2	4
можно было	11	9
что она	5	3
так и	6	4
в своей	4	2
речь идет	3	2
с точки	16	8
после того	6	2
это не	3	6
прежде всего	9	8
говорить и	3	2
говорить о	6	4
но это	5	3
речи в	7	6
в данном	7	4
наших газет	3	3
и в	23	23
но не	3	6
зависимости от	8	5
в процессе	3	3
в силу	6	7
в кругу	2	2
того или	3	2
вместе с	2	5
если бы	8	12
тот же	6	5
к тому	3	4
в качестве	2	8
она не	3	2
данном случае	4	2
и т	54	39
лингвистическое воспитание	2	2
для нас	4	4
ставит себе	3	2
здесь не	2	3
также что	2	2
чтобы не	2	2
в большей	2	3
другой стороны	3	7
все это	2	5
при этом	6	2
и сосновский	2	2
указывает что	2	2
именно в	3	3
в результате	3	4
этот вопрос	3	6
по поводу	3	2
и есть	5	2
и с	3	7
уже в	3	3
п а	2	2
что мы	2	6
что слово	3	3
того что	11	3
слов и	5	2
в отношении	3	2
точки зрения	23	14
того как	7	2
языка и	2	8
не все	2	3
не менее	12	7
что он	6	5
в своем	4	2
п и	4	2
не знает	2	3
главным образом	2	3
тем не	9	6
материал для	2	2
но для	3	3
также и	5	5
на письме	3	3
обстоятельство что	3	7
с тем	6	2
что они	2	2
то же	6	6
п но	3	2
на этом	2	3
для обозначения	2	2
а также	4	3
как бы	5	4
если и	2	3
в русском	2	10
что в	13	10
уже не	8	8
в которых	3	2
бы например	2	2
в этом	16	18
п в	3	3
нашем смысле	2	2
приемов и	2	2
должно быть	7	4
отличается от	2	3
то или	2	3
лишь в	8	5
того же	4	3
должна быть	3	5
уже что	2	2
все они	2	2
с одной	4	2
разговорной речи	2	2
в языке	7	10
или иного	3	2
русском языке	3	10
никак не	2	3
всякого рода	5	2
газетном языке	2	2
той же	3	2
в их	6	2
и о	4	4
еще не	9	5
в то	3	4
т е	32	22
этом случае	4	2
так как	9	15
как раз	4	3
в статье	2	3
было бы	16	15
в корне	2	2
то обстоятельство	3	7
в самом	13	12
языка но	3	3
смысле этого	2	2
отличие от	2	2
тем же	2	2
таким образом	9	5
а в	5	3
газетного языка	5	6
это и	3	3
вопрос этот	2	2
случаи когда	2	3
что если	2	2
вопросе о	2	2
или иное	2	3
своего рода	2	4
мы говорим	4	2
подобного рода	2	5
чтобы понять	2	2
на том	2	2
очевидно что	3	2
о значении	2	2
а именно	3	2
то и	2	3
вопрос о	11	9
вовсе не	5	9
как мы	5	3
области языка	2	2
все эти	7	12
речь в	2	5
культура языка	2	3
слово это	2	6
не могут	5	5
письменной речи	4	21
установка на	3	2
как это	7	5
придаточных предложений	2	5
т п	41	24
том случае	4	2
если мы	7	4
между прочим	8	2
не в	5	8
это так	2	3
у нас	10	12
но все	2	4
но также	5	4
только как	4	2
и не	10	16
может быть	14	15
ни в	3	4
смысле слова	2	2
культуры языка	2	8
е на	2	2
конечно не	2	2
состоит в	2	2
с помощью	6	7
на самом	3	2
так в	2	3
не как	2	2
по существу	3	5
в связи	5	4
я не	5	5
совершенно не	5	3
да рядом	2	2
газеты как	3	3
мы должны	3	2
только о	2	2
ни на	2	2
только в	6	5
не просто	2	2
но и	3	7
что не	4	6
сплошь да	2	2
для этого	6	3
дело не	2	2
о газете	2	4
того чтобы	11	11
что же	5	5
сказать что	7	4
не имеет	3	4
в газетном	2	2
не то	2	2
не более	2	2
и более	3	2
что и	6	3
бы привести	2	2
для того	12	9
вопроса о	3	6
как в	4	3
только для	2	2
то что	4	9
как и	5	2
мы видели	3	2
т д	8	14
потому что	12	25
может служить	2	2
что все	2	5
один из	4	5
в особенности	2	4
что значит	4	2
в области	14	11
ясно что	4	5
и здесь	2	5
тех пор	4	2
слова и	7	5
был бы	3	2
и пр	3	8
с этой	3	2
придаточного предложения	2	2
самом деле	14	9
он не	3	3
не может	6	9
язык и	2	2
по преимуществу	3	2
в его	11	5
в нашей	4	4
бы сказать	3	2
газетной речи	21	14
чем в	2	3
говоря уже	2	2
и если	2	2
в той	4	2
заключается в	4	2
тех же	4	2
по себе	6	10
не только	17	20
можно сказать	2	4
том что	11	11
тем самым	4	2
на этот	2	2
и тем	6	5
отнюдь не	3	4
в каком	3	4
не говоря	2	2
свое время	2	2
быть не	2	2
литературный язык	4	2
могут быть	6	4
от того	5	4
в виду	8	3
смысл и	2	3
тем что	5	3
а не	11	10
хотя и	5	4
русский язык	4	6
этого слова	4	5
речи но	3	2
карпинский и	2	2
язык не	2	2
в ней	3	3
бы и	3	4
на фоне	7	3
целый ряд	4	5
во всяком	2	5
говорим о	2	2
иными словами	8	8
не было	4	4
в отличие	2	2
к вопросу	2	3
хотя бы	9	9
лишь с	4	2
те же	7	3
что на	3	4
слова в	4	6
ничего не	6	4
когда в	2	2
еще и	2	2
дает нам	2	2
русским языком	2	2
там где	3	5
в том	22	19
это в	2	2
вообще и	3	2
языка как	4	2
в таких	2	3
но в	2	11
русского языка	7	4
это конечно	2	2
речи а	2	3
уже о	2	3
и что	7	8
с другой	7	8
и вот	3	5
языка в	6	3
в сущности	4	9
в нашем	7	7
дворянской интеллигенции	2	2
то не	2	2
в пределах	2	4
все же	5	7
в газетной	6	4
в частности	2	2
