3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
есть не что	2	2
и не просто	2	2
в бесконечный ряд	11	14
хотя и не	2	2
той или иной	4	11
во всяком случае	3	4
то есть в	4	6
же самое время	4	2
для того чтобы	8	2
в каком случае	3	3
о том что	5	3
вовсе не является	3	2
сам по себе	7	6
не говоря уже	2	2
сама по себе	4	2
и в других	3	2
по своему содержанию	2	5
тех или иных	2	3
на самом деле	4	3
по крайней мере	2	6
можно ли сказать	2	2
на нечто иное	2	2
то и другое	2	3
не что иное	2	2
в том что	5	8
не есть ни	5	2
необходимо сказать что	2	3
ни в каком	3	5
того или иного	2	3
не имеет ничего	2	2
не только не	3	4
в то же	4	2
содержит в себе	7	8
сами по себе	3	2
с точки зрения	3	11
и тем не	8	3
тем не менее	18	10
вовсе не являются	4	2
имеет ничего общего	2	2
даже и не	2	2
то же самое	9	6
ничего общего с	7	2
каком случае не	2	3
в данном случае	8	5
функции в бесконечный	4	2
с другой стороны	3	6
здесь перед нами	3	5
можно было бы	2	4
и т д	10	3
в связи с	4	3
точно так же	4	3
у нас выше	2	3
что иное как	2	2
в этом смысле	6	3
более или менее	3	2
а также и	2	2
вовсе не есть	6	2
всякий символ есть	2	4
мы должны сказать	2	2
в буквальном смысле	3	2
