3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram
к частному и	2	2
истории умственного развития	2	2
спонтанных и научных	2	3
на то что	4	4
того же ребенка	2	3
обучения и развития	4	5
на высшую ступень	2	2
по сравнению с	3	14
для того чтобы	5	8
что научные понятия	6	4
ступень в развитии	3	4
в процессе обучения	4	7
между обучением и	2	5
одной и той	4	3
и то что	4	2
одного и того	5	4
и научных понятий	4	7
друг с другом	7	5
заключается в том	14	5
общего к частному	2	2
спонтанные понятия ребенка	2	3
умственного развития ребенка	6	2
и тем самым	4	5
частного к общему	2	2
мы могли бы	9	9
у одного и	2	2
как мы видели	2	4
в том что	31	19
не могут быть	2	2
вместе с тем	3	2
в основе этого	2	2
развитие научных понятий	5	6
в этом отношении	7	3
не только не	5	2
в первую очередь	4	3
с точки зрения	11	10
с тем что	3	2
развития житейских понятий	3	2
и той же	4	3
то же самое	7	6
обучением и развитием	2	5
в этом случае	3	2
бы сказать что	3	2
в этой области	2	2
категория причинных отношений	2	2
тех и других	3	5
особенности детской мысли	3	2
и того же	5	4
с другой стороны	8	2
развитии научных понятий	2	3
можно было бы	5	5
в мышлении ребенка	6	2
житейских и научных	2	6
научных понятий и	2	2
ступени в развитии	5	2
научных и житейских	2	5
в развитии понятий	2	5
в школьном возрасте	5	8
и других понятий	2	4
в связи с	3	2
в том смысле	2	2
в этом смысле	8	2
так же как	5	6
научных понятий в	5	5
развития научных понятий	8	5
понятий в школьном	2	2
могли бы сказать	2	2
мы видим в	2	2
мы видели что	2	3
состоит в том	3	2
научные понятия ребенка	2	2
