3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram
то что ребенок	3	6
на то что	3	4
по сравнению с	3	14
с тем и	4	2
для того чтобы	7	8
ступень в развитии	6	4
как показывает исследование	2	6
в зависимости от	5	5
одной и той	2	3
и то что	2	2
на данной ступени	2	3
друг с другом	5	5
заключается в том	7	5
общего к частному	3	2
то время как	4	5
мы могли бы	7	9
то что мы	2	2
по отношению к	2	10
как мы видели	3	4
в том что	17	19
в то время	4	6
в основе этого	2	2
вместе с тем	10	2
в силу того	2	5
в этом отношении	3	3
силу того что	2	5
с тем что	3	2
с самого начала	6	7
и той же	2	3
независимо от того	3	2
так же точно	3	3
в последнее время	3	2
бы сказать что	3	2
на этой стадии	2	2
и того же	4	4
с другой стороны	3	2
в мышлении ребенка	4	2
можно было бы	5	5
мы не станем	4	2
вполне совпадает с	2	2
в развитии понятий	3	5
в связи с	5	2
не может быть	2	2
в этом смысле	2	2
так же как	6	6
могли бы сказать	3	2
одного и того	4	4
мы видели что	3	3
состоит в том	3	2
