2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram
связи с	9	9
интеллектуальных операций	2	4
наряду с	2	3
формы мышления	2	7
которую мы	2	5
никогда не	8	4
так же	4	17
и мышления	3	2
к тому	7	4
перед нами	2	10
мы склонны	2	3
для нас	4	2
по сравнению	5	4
у ребенка	15	19
в результате	3	3
с этим	3	4
но на	3	3
переход от	4	3
и как	2	5
едва ли	7	2
точки зрения	26	6
форм поведения	2	3
того как	4	3
эту пору	3	2
что они	3	10
в целом	10	13
как бы	7	10
что в	14	17
и речь	2	4
исследования пиаже	3	2
этом смысле	2	2
что как	3	2
той же	2	4
нас к	2	2
с другими	3	2
было бы	10	10
смысле этого	3	4
таким образом	14	17
а в	4	4
мышления с	2	2
высшей степени	7	6
развития мышления	3	5
пользу того	2	2
по этому	6	3
когда ребенок	2	2
и т.д	12	5
речь в	3	2
экспериментальных исследований	2	2
в эксперименте	2	4
отношению к	5	2
и другое	2	5
в себя	2	3
с помощью	5	42
в связи	6	6
как показывают	2	2
в себе	2	2
только в	4	10
помощью которого	2	2
от этого	2	6
речевого развития	3	2
и сам	3	3
или иной	2	3
в генетическом	7	4
мы увидим	2	4
сравнению с	5	3
интеллектуальной деятельности	2	7
и это	3	4
и его	4	2
и только	3	2
ребенка в	10	12
собственном смысле	3	6
для всего	2	2
не может	9	6
он не	7	4
могли бы	4	11
склонны видеть	2	2
по себе	7	7
интересующей нас	4	2
имеет свое	2	2
в них	4	2
различным линиям	2	2
тем что	2	8
первых слов	6	2
корни и	2	2
знаем о	2	2
в котором	2	3
в том	33	23
развитии речи	11	5
в эту	4	2
все же	4	6
в совершенно	4	2
приводит к	5	4
в частности	6	4
мы имеем	3	4
для ребенка	9	10
что это	6	5
так и	8	5
об этом	3	2
является то	2	7
показал что	5	3
и в	15	25
не можем	3	3
вместе с	6	14
оба эти	2	3
в качестве	4	12
этой проблемы	2	2
не станем	2	4
слов ребенка	3	2
употребление знака	3	3
все это	4	6
при этом	3	5
этот вопрос	5	3
со всей	4	2
уже в	5	7
к которому	6	3
что мы	9	7
все что	5	2
тому как	2	2
между мышлением	5	3
столь же	2	7
что он	12	6
с несомненностью	2	3
вытекает из	3	2
детской речи	19	6
по пути	2	4
для обозначения	2	2
что речь	2	4
в этом	19	14
должно быть	2	2
шимпанзе с	2	3
в мышлении	2	11
в поведении	2	5
как уже	2	6
в самом	11	3
речь не	2	2
мышления и	16	23
отличие от	3	6
к выводу	6	2
об отношении	3	2
которые не	2	4
это обстоятельство	2	3
связь между	5	4
на основе	7	22
мышления в	9	17
значение в	3	3
и не	7	10
речи для	2	2
у животных	6	3
смысле слова	5	2
речь мы	2	2
мы можем	10	7
в одном	2	2
состоит в	3	3
связи или	2	2
но и	10	4
того чтобы	12	8
ребенка и	4	17
для того	10	7
таким же	3	2
потому что	7	6
в собственном	3	6
в пользу	4	5
когда он	3	3
что ребенок	8	7
в его	2	15
